C1,C2,C3,C4,time
-6.957500274846955,-6.71348344787201,-6.853912517971122,-6.64523294780161,10
-6.803751711450129,-6.564712704620045,-6.6560157814408765,-6.456898539580129,11
-6.592347436779494,-6.360152932648594,-6.383907768711786,-6.197938728275593,12
-6.3377013786535,-6.113751389137526,-6.05614129883356,-5.886009864658768,13
-6.0542274648906025,-5.839455331266717,-5.6912691908559125,-5.538768299500416,14
-5.756339623309253,-5.551212016216036,-5.307844263828553,-5.173870383571301,15
-5.458451781727902,-5.262968701165353,-4.924419336801192,-4.808972467642186,16
-5.174977867965005,-4.988672643294543,-4.559547228823543,-4.461730902483836,17
-4.920331809839013,-4.742271099783477,-4.231780758945315,-4.149802038867016,18
-4.708927535168376,-4.537711327812026,-3.959672746216222,-3.8908422275624854,19
-4.55517897177155,-4.3889405845600615,-3.7617760096859723,-3.7025078193410113,20
-4.44274161903258,-4.27994734345315,-3.6171985308204624,-3.5648581664954366,21
-4.345146864913738,-4.1849194617957846,-3.4920010547823956,-3.445542017585642,22
-4.261622470100815,-4.103103272586219,-3.3851655461666974,-3.343599817782941,23
-4.1913961952796015,-4.033745108822716,-3.295673969568291,-3.258072012258652,24
-4.133695801135891,-3.97609130350353,-3.2225082895821022,-3.18799904618409,25
-4.0877490483554695,-3.92938818962692,-3.164650470803055,-3.13242136473057,26
-4.0527836976241325,-3.892882100191145,-3.121082477826076,-3.090379413069409,27
-4.028027509627667,-3.865819368194462,-3.0907862752460886,-3.0609136363719234,28
-4.012708245051866,-3.8474463266351284,-3.072743827658016,-3.043064479809426,29
-4.006053664582519,-3.8370093085114023,-3.0659370996567854,-3.0358723885532353,30
-4.007291528905417,-3.8337546468215424,-3.0693480558373194,-3.0383778077746677,31
-4.015649598706351,-3.836928674563806,-3.0819586607945446,-3.049621182645037,32
-4.030355634671113,-3.8457777247364517,-3.102750879123386,-3.068642958335661,33
-4.0506373974854935,-3.8595481303377372,-3.1307066754187654,-3.0944835800178536,34
-4.07572264783528,-3.8774862243659207,-3.16480801427561,-3.126183492862932,35
-4.104839146406266,-3.898838339819259,-3.204036860288844,-3.162783142042212,36
-4.137214653884243,-3.9228508096960115,-3.2473751780533924,-3.2033229727270096,37
-4.172076930955,-3.9487699669944347,-3.2938049321641794,-3.2468434300886395,38
-4.208653738304328,-3.975842144712788,-3.3423080872161295,-3.2923849592984187,39
-4.246172836618019,-4.003313675849329,-3.3918666078041673,-3.338988005527663,40
-4.2838619865818615,-4.030430893402315,-3.4414624585232185,-3.3856930139476873,41
-4.32094894888165,-4.056440130370004,-3.4900776039682078,-3.431540429729809,42
-4.35666148420317,-4.080587719750654,-3.5366940087340586,-3.475570698045343,43
-4.390227353232217,-4.102119994542523,-3.580293637415697,-3.516824264065605,44
-4.420874316654579,-4.120283287743871,-3.6198584546080466,-3.554341572961912,45
-4.447830135156049,-4.1343239323529515,-3.654370424906033,-3.587163069905578,46
-4.470322569422416,-4.143488261368026,-3.68281151290458,-3.6143292000679197,47
-4.48757938013947,-4.147022607787352,-3.7041636831986136,-3.6348804086202544,48
-4.498828327993004,-4.144173304609186,-3.7174089003830577,-3.6478571407338967,49
-4.503297173668808,-4.134186684831787,-3.721529129052837,-3.6522998415801617,50
-4.504422466299425,-4.115271779268814,-3.7204583223629064,-3.652102333616293,51
-4.506057015449004,-4.0877968434510645,-3.7189029170249763,-3.6518154424862934,52
-4.508052972450754,-4.054247047452507,-3.7170036029691147,-3.6514651181416204,53
-4.510262488637873,-4.017107561347106,-3.7149010701253826,-3.6510773105337315,54
-4.512537715343569,-3.9788635552088323,-3.712736008423844,-3.650677969614083,55
-4.514730803901045,-3.9420001991116513,-3.710649107794563,-3.650293045334134,56
-4.516693905643505,-3.9090026631295305,-3.7087810581676046,-3.64994848764534,57
-4.518279171904152,-3.8823561173364367,-3.707272549473031,-3.649670246499159,58
-4.51933875401619,-3.8645457318063374,-3.706264271640907,-3.6494842718470486,59
-4.519724803312825,-3.858056676613201,-3.7058969146012957,-3.6494165136404653,60
-4.520729714505307,-3.853796365811941,-3.707158776904299,-3.650574875028322,61
-4.523457330599184,-3.842232665065665,-3.7105838317267343,-3.653718998795361,62
-4.52747697536911,-3.825191421860626,-3.7156312809387453,-3.6583524443467867,63
-4.532357972589734,-3.80449848368308,-3.721760326410474,-3.663978771087805,64
-4.537669646035706,-3.7819796980192795,-3.72843017001206,-3.670101538423618,65
-4.5429813194816795,-3.759460912355478,-3.7351000136136467,-3.6762243057594315,66
-4.547862316702303,-3.7387679741779323,-3.7412290590853745,-3.6818506325004488,67
-4.551881961472229,-3.721726730972893,-3.7462765082973855,-3.686484078051875,68
-4.554609577566106,-3.7101630302266173,-3.749701563119822,-3.6896282018189144,69
-4.555614488758588,-3.7059027194253575,-3.7509634254228246,-3.6907865632067707,70
-4.554539155451238,-3.70190884675149,-3.752310625801575,-3.6917549489058437,71
-4.551620393617002,-3.6910683352081333,-3.7559673125438953,-3.6943834243747555,72
-4.547319060387601,-3.675092844512661,-3.7613561140588954,-3.6982569671710466,73
-4.542096012894758,-3.655694034382446,-3.767899658755681,-3.7029605548522584,74
-4.536412108270193,-3.634583564534857,-3.775020575043359,-3.7080791649759286,75
-4.530728203645628,-3.6134730946872695,-3.782141491331038,-3.7131977750995997,76
-4.525505156152786,-3.5940742845570535,-3.7886850360278235,-3.7179013627808106,77
-4.521203822923384,-3.578098793861581,-3.794073837542823,-3.721774905577102,78
-4.518285061089149,-3.567258282318225,-3.7977305242851447,-3.724403381046014,79
-4.517209727781799,-3.5632644096443573,-3.7990777246638943,-3.725371766745087,80
-4.515973007967784,-3.5585969885713524,-3.800193523055761,-3.726497318684349,81
-4.512616197044028,-3.54592827423034,-3.803222118690828,-3.729552388233775,82
-4.507669317787966,-3.527258589938321,-3.807685312258295,-3.734054595990823,83
-4.501662392977035,-3.504588259012299,-3.8131049044473624,-3.7395215625529534,84
-4.495125445388668,-3.4799176047692746,-3.81900269594723,-3.7454709085176248,85
-4.4885884978003014,-3.4552469505262495,-3.824900487447097,-3.751420254482296,86
-4.48258157298937,-3.4325766196002276,-3.830320079636164,-3.7568872210444257,87
-4.477634693733309,-3.413906935308209,-3.834783273203631,-3.7613894288014746,88
-4.474277882809553,-3.4012382209671967,-3.837811868838698,-3.7644444983509007,89
-4.473041162995538,-3.396570799894192,-3.838927667230565,-3.7655700502901626,90
-4.469192949741994,-3.3966630535712143,-3.8441950267168545,-3.770908721900936,91
-4.4587477994823725,-3.3969134564088463,-3.8584921453224976,-3.7853994019873207,92
-4.443354946468193,-3.397282471116936,-3.8795615832676544,-3.806754088430413,93
-4.424663624950977,-3.3977305604053303,-3.905145900772489,-3.8326847791113123,94
-4.40432306918224,-3.3982181869838772,-3.9329876580571614,-3.8609034719111133,95
