ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,mean,points
54958,3.9457566855643844e-5,1.8968908030696195e-5,3.2988123615735863e-7,3.496549755903027e-5,3.0145926159044605e-5,1.4614741707275858e-5,5.419319875355643e-6,4.09259077366336e-6,0,2.6363288568878077e-5,1.4864615208200171e-5,5.073449956431095e-4,5.7308316342972414e-5,2.1414707830261803e-5,2.4467156540867547e-5,3.576323578024748e-5,6.530918925172463e-6,9.788709027923811e-6,5.010825741555885e-5,17
55282,1.9208463864890354e-4,1.0770481678446145e-4,1.6955895538488234e-4,8.505121027872226e-5,3.97528696602786e-6,0,3.3870749220972767e-6,7.775922469960384e-5,5.086531266773841e-6,8.583396278239373e-6,0,0,0,2.6115497353977806e-7,0,3.1574748706885165e-5,9.329884178817804e-7,3.3754169061806245e-7,5.2792120693741275e-5,13
55316,0,2.379151176731387e-5,4.1894916991984545e-5,4.725067237706793e-6,3.478376095274378e-5,1.1189411619633079e-4,1.0906381249153232e-4,8.773491471040827e-5,6.077066302935062e-5,4.7515229397396534e-5,5.81843509578121e-5,1.4017366889933333e-4,1.3327515428598235e-6,0,0,1.643175698011371e-5,0,5.636946233321643e-5,5.676185596343592e-5,14
55331,4.335996357763059e-7,3.215069157745118e-7,7.5872684316192485e-6,6.237088753772966e-5,2.481241614629056e-4,1.735500577739008e-4,9.822517274082103e-5,5.7040483907933075e-5,3.988911361838433e-5,2.3910889632238255e-5,1.5714021791525895e-5,0,2.6655030857196472e-5,2.6115497353977806e-7,0,0,3.1099613929392683e-7,0,5.388531038704564e-5,14
55353,0,9.323700557460842e-5,1.4118916907534948e-4,1.1529164060004574e-4,2.186407831315323e-5,0,3.7257824143070045e-5,4.118169465998756e-5,3.399944583580409e-5,2.5137089100558166e-5,3.992210941630903e-5,4.498110270650249e-5,2.932053394291612e-5,4.309057063406338e-5,0,0,5.349133595855541e-5,2.464054341511856e-5,5.318601024114584e-5,14
55361,2.254718106036791e-5,2.9900143167029594e-5,1.5834299335553212e-5,2.9484419563290386e-4,1.8948867871399467e-4,2.0095269847504303e-5,5.419319875355643e-6,1.688193694136136e-5,1.873985203548257e-6,5.824447474519575e-6,2.6331604083097447e-5,1.3180509165161195e-4,7.223513362300244e-5,3.4994766454330265e-05,1.3087083731161712e-5,3.9629531540274235e-5,4.0429498108210484e-6,1.6877084530903124e-6,5.147351814441821e-5,18
55367,1.313806896402207e-4,2.8614115503931548e-5,4.4204085645086054e-5,7.654608925085005e-5,2.981465224520895e-6,0,8.670911800569029e-5,6.087728775824248e-5,7.603025682967214e-5,8.889946145319352e-5,1.5714021791525895e-5,2.8243948211059703e-5,5.677521572582849e-5,7.834649206193342e-7,2.4182654720624903e-5,2.996379214020735e-5,0,0,5.0127044454751556e-5,15
55376,0,0,3.2988123615735863e-7,1.890026895082717e-6,5.731038709356832e-5,8.266463278177908e-5,1.3683782685272998e-4,5.7040483907933075e-5,4.256623533773898e-5,7.357196809919463e-5,9.51335373324811e-5,1.3912759674336816e-4,2.3989527771476824e-5,1.488583349176735e-5,2.4467156540867547e-5,2.2875583246824966e-5,2.7989652536453412e-5,3.274154398995206e-5,5.208886711608597e-5,16
55400,0,0,1.0226318320878117e-5,2.646037653115804e-5,6.095440014576052e-5,1.4614741707275858e-4,5.961251862891207e-5,5.192474544085388e-5,4.845590312031922e-5,4.720867953031656e-5,8.961239454086388e-5,6.381040151387563e-5,5.597556480011259e-5,1.90643130684038e-5,0,1.0503436814739351e-4,3.1099613929392683e-7,0,5.605702835720717e-5,14
55403,4.995067804143044e-4,3.986685755603946e-5,5.1791354076705306e-5,7.560107580330868e-5,7.453663061302238e-5,9.590924245399782e-6,6.774149844194553e-6,9.20832924074256e-6,9.905350361612216e-6,7.970296544079418e-6,0,0,0,2.6115497353977806e-7,3.385571660887486e-5,2.770845294685841e-5,0,0,6.512131332528321e-5,13
55435,0,3.215069157745118e-7,7.25738719546189e-6,0,3.31273913835655e-7,4.5671067835237057e-7,1.7409565099580002e-4,8.901384932717808e-5,8.138450026838145e-5,8.338156384575392e-5,8.961239454086388e-5,3.347430899088557e-5,5.06445586286733e-5,3.708400624264849e-5,5.519335312707331e-5,2.5130922440173905e-05,0,3.847975273045912e-5,5.105744932275437e-5,15
