C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-5.910395962748245,-4.270285125168287,-5.258523912523233,-5.59656518031168,-4.70484396926961,-4.28217546934722,-4.419494425260122,-3.719652585665285,-4.931681885194657,-3.3163539158695454,-5.297285156708637,-3.7465944643993128,-3.7154530569796,10
-5.906779084331694,-4.2297943877495205,-5.23685400127204,-5.565408091296446,-4.737284527208946,-4.254769677086965,-4.400076733553281,-3.7225266131432155,-4.917833250439553,-3.31533976233536,-5.323917878821428,-3.7408307066953275,-3.7321986388663615,11
-5.903481310470689,-4.188558012569153,-5.2170287281297725,-5.537643553541934,-4.768312221676285,-4.230058938364817,-4.382944705474485,-3.725200801696262,-4.9046308308974265,-3.314630170622748,-5.346525391876795,-3.7356429244076703,-3.747623362460922,12
-5.900502641165227,-4.146575999627181,-5.199048093096433,-5.513271567048143,-4.79792705267163,-4.208043253180774,-4.3680983410237335,-3.7276751513244237,-4.892074626568272,-3.314225140731708,-5.365107695874735,-3.7310311175363404,-3.761727227763283,13
-5.89784307641531,-4.10384834892361,-5.182912096172026,-5.492292131815074,-4.826129020194978,-4.188722621534839,-4.355537640201026,-3.729949662027703,-4.8801646374520935,-3.3141246726622415,-5.379664790815249,-3.7269952860813387,-3.774510234773442,14
-5.895502616220935,-4.060375060458436,-5.168620737356549,-5.474705247842729,-4.85291812424633,-4.1720970434270095,-4.345262603006365,-3.732024333806097,-4.86890086354889,-3.3143287664143486,-5.390196676698339,-3.723535430042664,-3.7859723834914014,15
-5.8934812605821065,-4.01615613423166,-5.156174016650006,-5.460510915131104,-4.878294364825687,-4.1581665188572865,-4.337273229439748,-3.7338991666596075,-4.85828330485866,-3.3148374219880288,-5.3967033535240025,-3.720651549420318,-3.7961136739171604,16
-5.891779009498821,-3.971191570243282,-5.145571934052397,-5.449709133680202,-4.902257741933049,-4.146931047825671,-4.3315695195011745,-3.7355741605882335,-4.848311961381407,-3.315650639383282,-5.399184821292243,-3.7183436442142996,-3.8049341060507182,17
-5.89039586297108,-3.925481368493303,-5.136814489563726,-5.4422999034900235,-4.924808255568414,-4.138390630332163,-4.328151473190645,-3.7370493155919746,-4.8389868331171275,-3.316768418600108,-5.397641080003058,-3.716611714424609,-3.812433679892076,18
-5.889331820998882,-3.879025528981722,-5.129901683183992,-5.438283224560566,-4.945945905731784,-4.132545266376759,-4.327019090508159,-3.738324631670832,-4.830307920065824,-3.3181907596385067,-5.392072129656445,-3.715455760051246,-3.8186123954412325,19
-5.888586883582227,-3.83182405170854,-5.124833514913199,-5.437659096891831,-4.965670692423158,-4.129394955959464,-4.328172371453718,-3.7394001088248046,-4.8222752222274945,-3.31991766249848,-5.38247797025241,-3.714875781094211,-3.823470252698189,20
-5.889905588745993,-3.7842937154919434,-5.125325783488819,-5.442106833348551,-4.979359367242236,-4.129524301428096,-4.3332133832621915,-3.7389519331371224,-4.815462189405488,-3.3213538800815594,-5.359635898046567,-3.714037177343995,-3.824751190478932,21
