n_neighbour,cluster_type,cluster_size,sample_name
65,single,2,clone_rm
66,single,3,clone_rm
2,complete,3,clone_rm
3,complete,3,clone_rm
4,complete,2,clone_rm
5,complete,3,clone_rm
6,complete,3,clone_rm
7,complete,3,clone_rm
8,complete,3,clone_rm
9,complete,3,clone_rm
10,complete,2,clone_rm
11,complete,3,clone_rm
12,complete,3,clone_rm
13,complete,2,clone_rm
14,complete,3,clone_rm
15,complete,3,clone_rm
16,complete,2,clone_rm
17,complete,3,clone_rm
18,complete,2,clone_rm
19,complete,2,clone_rm
20,complete,3,clone_rm
21,complete,2,clone_rm
22,complete,3,clone_rm
23,complete,3,clone_rm
24,complete,3,clone_rm
25,complete,2,clone_rm
26,complete,2,clone_rm
27,complete,3,clone_rm
28,complete,3,clone_rm
29,complete,2,clone_rm
30,complete,2,clone_rm
31,complete,2,clone_rm
32,complete,2,clone_rm
33,complete,2,clone_rm
34,complete,2,clone_rm
35,complete,2,clone_rm
36,complete,2,clone_rm
37,complete,2,clone_rm
38,complete,2,clone_rm
39,complete,2,clone_rm
40,complete,2,clone_rm
41,complete,3,clone_rm
42,complete,2,clone_rm
43,complete,3,clone_rm
44,complete,2,clone_rm
45,complete,3,clone_rm
46,complete,3,clone_rm
47,complete,2,clone_rm
48,complete,2,clone_rm
49,complete,2,clone_rm
50,complete,2,clone_rm
51,complete,2,clone_rm
52,complete,2,clone_rm
53,complete,2,clone_rm
54,complete,2,clone_rm
55,complete,2,clone_rm
56,complete,2,clone_rm
57,complete,2,clone_rm
58,complete,2,clone_rm
59,complete,2,clone_rm
60,complete,3,clone_rm
61,complete,2,clone_rm
62,complete,2,clone_rm
63,complete,2,clone_rm
64,complete,2,clone_rm
65,complete,3,clone_rm
66,complete,2,clone_rm
2,average,3,clone_rm
3,average,7,clone_rm
4,average,7,clone_rm
5,average,3,clone_rm
6,average,3,clone_rm
7,average,3,clone_rm
8,average,2,clone_rm
9,average,3,clone_rm
10,average,2,clone_rm
11,average,3,clone_rm
12,average,3,clone_rm
13,average,3,clone_rm
14,average,3,clone_rm
15,average,3,clone_rm
16,average,2,clone_rm
17,average,2,clone_rm
18,average,2,clone_rm
19,average,3,clone_rm
20,average,3,clone_rm
21,average,2,clone_rm
22,average,3,clone_rm
23,average,3,clone_rm
24,average,3,clone_rm
25,average,2,clone_rm
26,average,2,clone_rm
27,average,3,clone_rm
28,average,3,clone_rm
29,average,2,clone_rm
30,average,3,clone_rm
31,average,2,clone_rm
32,average,3,clone_rm
33,average,2,clone_rm
34,average,2,clone_rm
35,average,2,clone_rm
36,average,2,clone_rm
37,average,3,clone_rm
38,average,2,clone_rm
39,average,2,clone_rm
40,average,2,clone_rm
41,average,3,clone_rm
42,average,2,clone_rm
43,average,2,clone_rm
44,average,2,clone_rm
45,average,3,clone_rm
46,average,2,clone_rm
47,average,2,clone_rm
48,average,2,clone_rm
49,average,2,clone_rm
50,average,2,clone_rm
51,average,2,clone_rm
52,average,2,clone_rm
53,average,2,clone_rm
54,average,2,clone_rm
55,average,2,clone_rm
56,average,2,clone_rm
57,average,2,clone_rm
58,average,2,clone_rm
59,average,2,clone_rm
60,average,2,clone_rm
61,average,3,clone_rm
62,average,2,clone_rm
63,average,2,clone_rm
64,average,2,clone_rm
65,average,3,clone_rm
66,average,2,clone_rm
2,mcquitty,7,clone_rm
3,mcquitty,3,clone_rm
4,mcquitty,7,clone_rm
5,mcquitty,3,clone_rm
6,mcquitty,3,clone_rm
7,mcquitty,3,clone_rm
8,mcquitty,3,clone_rm
9,mcquitty,2,clone_rm
10,mcquitty,2,clone_rm
11,mcquitty,3,clone_rm
12,mcquitty,3,clone_rm
13,mcquitty,3,clone_rm
14,mcquitty,3,clone_rm
15,mcquitty,2,clone_rm
16,mcquitty,2,clone_rm
17,mcquitty,3,clone_rm
18,mcquitty,2,clone_rm
19,mcquitty,2,clone_rm
20,mcquitty,2,clone_rm
21,mcquitty,3,clone_rm
22,mcquitty,3,clone_rm
23,mcquitty,2,clone_rm
24,mcquitty,2,clone_rm
25,mcquitty,3,clone_rm
26,mcquitty,3,clone_rm
27,mcquitty,3,clone_rm
28,mcquitty,3,clone_rm
29,mcquitty,2,clone_rm
30,mcquitty,3,clone_rm
31,mcquitty,2,clone_rm
32,mcquitty,2,clone_rm
33,mcquitty,2,clone_rm
34,mcquitty,2,clone_rm
35,mcquitty,2,clone_rm
36,mcquitty,2,clone_rm
37,mcquitty,2,clone_rm
38,mcquitty,2,clone_rm
39,mcquitty,2,clone_rm
40,mcquitty,2,clone_rm
41,mcquitty,2,clone_rm
42,mcquitty,3,clone_rm
43,mcquitty,3,clone_rm
44,mcquitty,2,clone_rm
45,mcquitty,2,clone_rm
46,mcquitty,2,clone_rm
47,mcquitty,2,clone_rm
48,mcquitty,3,clone_rm
49,mcquitty,2,clone_rm
50,mcquitty,2,clone_rm
51,mcquitty,3,clone_rm
52,mcquitty,2,clone_rm
53,mcquitty,2,clone_rm
54,mcquitty,2,clone_rm
55,mcquitty,2,clone_rm
56,mcquitty,2,clone_rm
57,mcquitty,2,clone_rm
58,mcquitty,2,clone_rm
59,mcquitty,2,clone_rm
60,mcquitty,2,clone_rm
61,mcquitty,2,clone_rm
62,mcquitty,2,clone_rm
63,mcquitty,2,clone_rm
64,mcquitty,2,clone_rm
65,mcquitty,2,clone_rm
66,mcquitty,2,clone_rm
2,median,6,clone_rm
3,median,7,clone_rm
4,median,3,clone_rm
5,median,3,clone_rm
6,median,3,clone_rm
7,median,3,clone_rm
8,median,3,clone_rm
9,median,2,clone_rm
10,median,2,clone_rm
11,median,3,clone_rm
12,median,3,clone_rm
13,median,3,clone_rm
14,median,3,clone_rm
15,median,2,clone_rm
16,median,2,clone_rm
17,median,2,clone_rm
18,median,2,clone_rm
19,median,2,clone_rm
20,median,3,clone_rm
21,median,3,clone_rm
22,median,2,clone_rm
23,median,2,clone_rm
24,median,2,clone_rm
25,median,3,clone_rm
26,median,2,clone_rm
27,median,2,clone_rm
28,median,3,clone_rm
29,median,3,clone_rm
30,median,3,clone_rm
31,median,2,clone_rm
32,median,2,clone_rm
33,median,2,clone_rm
34,median,2,clone_rm
35,median,3,clone_rm
36,median,2,clone_rm
37,median,2,clone_rm
38,median,2,clone_rm
39,median,2,clone_rm
40,median,3,clone_rm
41,median,3,clone_rm
42,median,2,clone_rm
43,median,3,clone_rm
44,median,2,clone_rm
45,median,4,clone_rm
46,median,2,clone_rm
47,median,4,clone_rm
48,median,2,clone_rm
49,median,2,clone_rm
50,median,2,clone_rm
51,median,3,clone_rm
52,median,2,clone_rm
53,median,2,clone_rm
54,median,2,clone_rm
55,median,2,clone_rm
56,median,2,clone_rm
57,median,2,clone_rm
58,median,2,clone_rm
59,median,2,clone_rm
60,median,3,clone_rm
61,median,2,clone_rm
62,median,3,clone_rm
63,median,3,clone_rm
64,median,2,clone_rm
65,median,2,clone_rm
66,median,2,clone_rm
2,centroid,3,clone_rm
3,centroid,3,clone_rm
4,centroid,3,clone_rm
5,centroid,3,clone_rm
6,centroid,3,clone_rm
7,centroid,3,clone_rm
