n_neighbour,cluster_type,cluster_size,sample_name
2,average,3,gf
3,average,3,gf
4,average,3,gf
5,average,4,gf
6,average,3,gf
7,average,4,gf
8,average,2,gf
9,average,2,gf
10,average,2,gf
11,average,3,gf
12,average,3,gf
13,average,3,gf
14,average,2,gf
15,average,2,gf
16,average,3,gf
17,average,3,gf
18,average,3,gf
19,average,3,gf
20,average,2,gf
21,average,3,gf
22,average,2,gf
23,average,3,gf
24,average,2,gf
25,average,3,gf
26,average,3,gf
27,average,3,gf
28,average,2,gf
29,average,3,gf
30,average,3,gf
31,average,3,gf
32,average,3,gf
33,average,2,gf
34,average,3,gf
35,average,3,gf
36,average,3,gf
37,average,3,gf
38,average,3,gf
39,average,3,gf
40,average,3,gf
41,average,3,gf
42,average,2,gf
43,average,2,gf
44,average,2,gf
45,average,3,gf
46,average,2,gf
47,average,3,gf
48,average,3,gf
49,average,3,gf
50,average,3,gf
51,average,3,gf
52,average,2,gf
53,average,3,gf
54,average,3,gf
55,average,3,gf
56,average,3,gf
57,average,3,gf
58,average,3,gf
59,average,2,gf
60,average,2,gf
61,average,3,gf
62,average,2,gf
63,average,2,gf
64,average,2,gf
2,mcquitty,4,gf
3,mcquitty,3,gf
4,mcquitty,3,gf
5,mcquitty,4,gf
6,mcquitty,2,gf
7,mcquitty,4,gf
8,mcquitty,2,gf
9,mcquitty,2,gf
10,mcquitty,2,gf
11,mcquitty,3,gf
12,mcquitty,3,gf
13,mcquitty,3,gf
14,mcquitty,3,gf
15,mcquitty,2,gf
16,mcquitty,3,gf
17,mcquitty,3,gf
18,mcquitty,3,gf
19,mcquitty,3,gf
20,mcquitty,3,gf
21,mcquitty,3,gf
22,mcquitty,2,gf
23,mcquitty,3,gf
24,mcquitty,2,gf
25,mcquitty,3,gf
26,mcquitty,3,gf
27,mcquitty,3,gf
28,mcquitty,2,gf
29,mcquitty,2,gf
30,mcquitty,3,gf
31,mcquitty,3,gf
32,mcquitty,3,gf
33,mcquitty,2,gf
34,mcquitty,2,gf
35,mcquitty,3,gf
36,mcquitty,3,gf
37,mcquitty,3,gf
38,mcquitty,3,gf
39,mcquitty,2,gf
40,mcquitty,2,gf
41,mcquitty,2,gf
42,mcquitty,3,gf
43,mcquitty,2,gf
44,mcquitty,2,gf
45,mcquitty,3,gf
46,mcquitty,2,gf
47,mcquitty,3,gf
48,mcquitty,3,gf
49,mcquitty,3,gf
50,mcquitty,2,gf
51,mcquitty,3,gf
52,mcquitty,3,gf
53,mcquitty,3,gf
54,mcquitty,2,gf
55,mcquitty,3,gf
56,mcquitty,3,gf
57,mcquitty,3,gf
58,mcquitty,3,gf
59,mcquitty,2,gf
60,mcquitty,2,gf
61,mcquitty,2,gf
62,mcquitty,3,gf
63,mcquitty,2,gf
64,mcquitty,2,gf
2,median,4,gf
3,median,3,gf
4,median,3,gf
5,median,4,gf
6,median,4,gf
7,median,4,gf
8,median,2,gf
9,median,2,gf
10,median,2,gf
11,median,3,gf
12,median,4,gf
13,median,3,gf
14,median,3,gf
15,median,4,gf
16,median,3,gf
17,median,3,gf
18,median,3,gf
19,median,3,gf
20,median,3,gf
21,median,3,gf
22,median,2,gf
23,median,3,gf
24,median,2,gf
25,median,3,gf
26,median,3,gf
27,median,3,gf
28,median,2,gf
29,median,3,gf
30,median,3,gf
31,median,3,gf
32,median,3,gf
33,median,2,gf
34,median,3,gf
35,median,3,gf
36,median,2,gf
37,median,3,gf
38,median,3,gf
39,median,2,gf
40,median,3,gf
41,median,3,gf
42,median,2,gf
43,median,2,gf
44,median,2,gf
45,median,2,gf
46,median,2,gf
47,median,3,gf
48,median,3,gf
49,median,3,gf
50,median,2,gf
51,median,3,gf
52,median,3,gf
53,median,2,gf
54,median,3,gf
55,median,3,gf
56,median,3,gf
57,median,2,gf
58,median,2,gf
59,median,2,gf
60,median,2,gf
61,median,3,gf
62,median,2,gf
63,median,2,gf
64,median,3,gf
2,centroid,5,gf
3,centroid,2,gf
4,centroid,3,gf
5,centroid,4,gf
6,centroid,4,gf
7,centroid,4,gf
8,centroid,2,gf
9,centroid,2,gf
10,centroid,2,gf
11,centroid,3,gf
12,centroid,3,gf
13,centroid,3,gf
14,centroid,2,gf
15,centroid,2,gf
16,centroid,3,gf
17,centroid,3,gf
18,centroid,3,gf
19,centroid,3,gf
20,centroid,3,gf
21,centroid,3,gf
22,centroid,2,gf
23,centroid,3,gf
24,centroid,3,gf
25,centroid,3,gf
26,centroid,3,gf
27,centroid,3,gf
28,centroid,3,gf
29,centroid,2,gf
30,centroid,3,gf
31,centroid,3,gf
32,centroid,3,gf
33,centroid,2,gf
34,centroid,2,gf
35,centroid,3,gf
36,centroid,3,gf
37,centroid,3,gf
38,centroid,3,gf
39,centroid,3,gf
40,centroid,2,gf
41,centroid,2,gf
42,centroid,2,gf
43,centroid,2,gf
44,centroid,2,gf
45,centroid,2,gf
46,centroid,2,gf
47,centroid,3,gf
48,centroid,3,gf
49,centroid,3,gf
50,centroid,3,gf
51,centroid,3,gf
52,centroid,2,gf
53,centroid,3,gf
54,centroid,3,gf
55,centroid,3,gf
56,centroid,2,gf
57,centroid,3,gf
58,centroid,2,gf
59,centroid,2,gf
60,centroid,2,gf
61,centroid,3,gf
62,centroid,2,gf
63,centroid,2,gf
64,centroid,2,gf
