n_neighbour,cluster_type,cluster_size,sample_name
10,single,5,rm
11,single,2,rm
12,single,2,rm
13,single,2,rm
14,single,2,rm
15,single,2,rm
16,single,2,rm
17,single,2,rm
18,single,2,rm
19,single,2,rm
20,single,2,rm
21,single,2,rm
22,single,2,rm
23,single,6,rm
24,single,2,rm
25,single,2,rm
26,single,2,rm
27,single,2,rm
28,single,2,rm
29,single,2,rm
30,single,2,rm
31,single,2,rm
32,single,2,rm
33,single,5,rm
34,single,2,rm
35,single,2,rm
36,single,2,rm
37,single,2,rm
38,single,2,rm
39,single,2,rm
40,single,2,rm
41,single,2,rm
42,single,2,rm
43,single,2,rm
44,single,5,rm
45,single,2,rm
46,single,2,rm
47,single,2,rm
48,single,2,rm
49,single,3,rm
50,single,2,rm
51,single,2,rm
52,single,2,rm
53,single,2,rm
54,single,7,rm
55,single,4,rm
56,single,2,rm
57,single,2,rm
58,single,2,rm
59,single,2,rm
60,single,2,rm
61,single,2,rm
62,single,2,rm
63,single,2,rm
64,single,2,rm
65,single,2,rm
66,single,2,rm
2,complete,6,rm
3,complete,6,rm
4,complete,7,rm
5,complete,4,rm
6,complete,3,rm
7,complete,6,rm
8,complete,2,rm
9,complete,5,rm
10,complete,2,rm
11,complete,2,rm
12,complete,2,rm
13,complete,2,rm
14,complete,2,rm
15,complete,2,rm
16,complete,2,rm
17,complete,2,rm
18,complete,2,rm
19,complete,2,rm
20,complete,2,rm
21,complete,2,rm
22,complete,2,rm
23,complete,2,rm
24,complete,2,rm
25,complete,2,rm
26,complete,2,rm
27,complete,2,rm
28,complete,2,rm
29,complete,2,rm
30,complete,2,rm
31,complete,7,rm
32,complete,2,rm
33,complete,7,rm
34,complete,2,rm
35,complete,2,rm
36,complete,2,rm
37,complete,2,rm
38,complete,2,rm
39,complete,2,rm
40,complete,3,rm
41,complete,2,rm
42,complete,2,rm
43,complete,2,rm
44,complete,2,rm
45,complete,2,rm
46,complete,2,rm
47,complete,2,rm
48,complete,2,rm
49,complete,2,rm
50,complete,3,rm
51,complete,2,rm
52,complete,2,rm
53,complete,2,rm
54,complete,2,rm
55,complete,2,rm
56,complete,2,rm
57,complete,2,rm
58,complete,2,rm
59,complete,3,rm
60,complete,3,rm
61,complete,2,rm
62,complete,2,rm
63,complete,2,rm
64,complete,2,rm
65,complete,2,rm
66,complete,2,rm
2,average,5,rm
3,average,6,rm
4,average,7,rm
5,average,2,rm
6,average,3,rm
7,average,3,rm
8,average,2,rm
9,average,3,rm
10,average,2,rm
11,average,2,rm
12,average,2,rm
13,average,2,rm
14,average,2,rm
15,average,2,rm
16,average,2,rm
17,average,2,rm
18,average,2,rm
19,average,2,rm
20,average,2,rm
21,average,2,rm
22,average,2,rm
23,average,2,rm
24,average,2,rm
25,average,2,rm
26,average,2,rm
27,average,2,rm
28,average,2,rm
29,average,2,rm
30,average,2,rm
31,average,2,rm
32,average,2,rm
33,average,2,rm
34,average,2,rm
35,average,2,rm
36,average,2,rm
37,average,2,rm
38,average,2,rm
39,average,2,rm
40,average,2,rm
41,average,2,rm
42,average,2,rm
43,average,2,rm
44,average,2,rm
45,average,2,rm
46,average,2,rm
47,average,2,rm
48,average,2,rm
49,average,2,rm
50,average,3,rm
51,average,2,rm
52,average,2,rm
53,average,2,rm
54,average,2,rm
55,average,2,rm
56,average,2,rm
57,average,2,rm
58,average,2,rm
59,average,3,rm
60,average,3,rm
61,average,2,rm
62,average,2,rm
63,average,2,rm
64,average,2,rm
65,average,2,rm
66,average,3,rm
2,mcquitty,7,rm
3,mcquitty,6,rm
4,mcquitty,7,rm
5,mcquitty,2,rm
6,mcquitty,3,rm
7,mcquitty,3,rm
8,mcquitty,2,rm
9,mcquitty,3,rm
10,mcquitty,2,rm
11,mcquitty,2,rm
12,mcquitty,2,rm
13,mcquitty,2,rm
14,mcquitty,2,rm
15,mcquitty,2,rm
16,mcquitty,2,rm
17,mcquitty,2,rm
18,mcquitty,2,rm
19,mcquitty,2,rm
20,mcquitty,4,rm
21,mcquitty,2,rm
22,mcquitty,2,rm
23,mcquitty,2,rm
24,mcquitty,2,rm
25,mcquitty,2,rm
26,mcquitty,2,rm
27,mcquitty,2,rm
28,mcquitty,2,rm
29,mcquitty,2,rm
30,mcquitty,2,rm
31,mcquitty,2,rm
32,mcquitty,2,rm
33,mcquitty,7,rm
34,mcquitty,2,rm
35,mcquitty,2,rm
36,mcquitty,2,rm
37,mcquitty,2,rm
38,mcquitty,2,rm
39,mcquitty,2,rm
40,mcquitty,3,rm
41,mcquitty,2,rm
42,mcquitty,2,rm
43,mcquitty,3,rm
44,mcquitty,4,rm
45,mcquitty,2,rm
46,mcquitty,2,rm
47,mcquitty,2,rm
48,mcquitty,2,rm
49,mcquitty,2,rm
50,mcquitty,3,rm
51,mcquitty,2,rm
52,mcquitty,2,rm
53,mcquitty,2,rm
54,mcquitty,4,rm
55,mcquitty,2,rm
56,mcquitty,2,rm
57,mcquitty,2,rm
58,mcquitty,3,rm
59,mcquitty,3,rm
60,mcquitty,3,rm
61,mcquitty,2,rm
62,mcquitty,2,rm
63,mcquitty,2,rm
64,mcquitty,2,rm
65,mcquitty,2,rm
66,mcquitty,2,rm
2,median,3,rm
3,median,6,rm
4,median,4,rm
5,median,2,rm
6,median,3,rm
7,median,3,rm
8,median,2,rm
9,median,3,rm
10,median,3,rm
11,median,2,rm
12,median,2,rm
13,median,2,rm
14,median,2,rm
15,median,2,rm
16,median,2,rm
17,median,2,rm
18,median,2,rm
19,median,2,rm
20,median,7,rm
21,median,2,rm
22,median,2,rm
23,median,2,rm
24,median,2,rm
25,median,2,rm
26,median,2,rm
27,median,2,rm
28,median,2,rm
29,median,2,rm
30,median,2,rm
31,median,2,rm
32,median,2,rm
33,median,2,rm
34,median,2,rm
35,median,2,rm
36,median,4,rm
37,median,2,rm
38,median,2,rm
39,median,2,rm
40,median,2,rm
41,median,2,rm
42,median,4,rm
43,median,2,rm
44,median,2,rm
45,median,2,rm
46,median,2,rm
47,median,2,rm
48,median,2,rm
49,median,2,rm
50,median,2,rm
51,median,2,rm
52,median,2,rm
53,median,2,rm
54,median,2,rm
55,median,2,rm
56,median,3,rm
57,median,2,rm
58,median,2,rm
59,median,3,rm
60,median,3,rm
61,median,2,rm
62,median,2,rm
63,median,2,rm
64,median,2,rm
65,median,2,rm
66,median,3,rm
2,centroid,2,rm
3,centroid,6,rm
4,centroid,4,rm
5,centroid,2,rm
6,centroid,3,rm
7,centroid,3,rm
8,centroid,2,rm
9,centroid,3,rm
10,centroid,3,rm
11,centroid,2,rm
12,centroid,2,rm
13,centroid,2,rm
14,centroid,2,rm
15,centroid,2,rm
16,centroid,2,rm
17,centroid,2,rm
18,centroid,2,rm
19,centroid,2,rm
20,centroid,2,rm
21,centroid,2,rm
22,centroid,2,rm
23,centroid,2,rm
24,centroid,2,rm
25,centroid,2,rm
26,centroid,2,rm
27,centroid,2,rm
28,centroid,2,rm
29,centroid,2,rm
30,centroid,2,rm
31,centroid,2,rm
32,centroid,2,rm
33,centroid,2,rm
34,centroid,2,rm
35,centroid,2,rm
36,centroid,2,rm
37,centroid,2,rm
38,centroid,2,rm
39,centroid,2,rm
40,centroid,2,rm
41,centroid,2,rm
42,centroid,2,rm
43,centroid,2,rm
44,centroid,2,rm
45,centroid,2,rm
46,centroid,2,rm
47,centroid,2,rm
48,centroid,2,rm
49,centroid,2,rm
50,centroid,3,rm
51,centroid,2,rm
52,centroid,2,rm
53,centroid,2,rm
54,centroid,2,rm
55,centroid,2,rm
56,centroid,2,rm
57,centroid,2,rm
58,centroid,2,rm
59,centroid,2,rm
60,centroid,3,rm
61,centroid,2,rm
62,centroid,2,rm
63,centroid,2,rm
64,centroid,2,rm
65,centroid,3,rm
66,centroid,2,rm
2,kmeans,5,rm
3,kmeans,4,rm
4,kmeans,4,rm
5,kmeans,3,rm
6,kmeans,3,rm
7,kmeans,6,rm
8,kmeans,2,rm
9,kmeans,3,rm
10,kmeans,3,rm
11,kmeans,3,rm
12,kmeans,2,rm
13,kmeans,2,rm
14,kmeans,3,rm
15,kmeans,3,rm
16,kmeans,2,rm
17,kmeans,2,rm
18,kmeans,4,rm
19,kmeans,2,rm
20,kmeans,4,rm
21,kmeans,3,rm
22,kmeans,2,rm
23,kmeans,3,rm
24,kmeans,2,rm
25,kmeans,2,rm
26,kmeans,2,rm
27,kmeans,2,rm
28,kmeans,6,rm
29,kmeans,2,rm
30,kmeans,2,rm
31,kmeans,2,rm
32,kmeans,2,rm
