n_neighbour,cluster_type,cluster_size,sample_name
22,complete,2,gf_without_gf3
23,complete,3,gf_without_gf3
24,complete,2,gf_without_gf3
25,complete,2,gf_without_gf3
26,complete,2,gf_without_gf3
27,complete,3,gf_without_gf3
28,complete,3,gf_without_gf3
29,complete,2,gf_without_gf3
30,complete,2,gf_without_gf3
31,complete,2,gf_without_gf3
32,complete,3,gf_without_gf3
33,complete,3,gf_without_gf3
34,complete,2,gf_without_gf3
35,complete,3,gf_without_gf3
36,complete,2,gf_without_gf3
37,complete,3,gf_without_gf3
38,complete,3,gf_without_gf3
39,complete,2,gf_without_gf3
40,complete,3,gf_without_gf3
41,complete,3,gf_without_gf3
42,complete,2,gf_without_gf3
43,complete,2,gf_without_gf3
44,complete,2,gf_without_gf3
45,complete,3,gf_without_gf3
46,complete,3,gf_without_gf3
47,complete,4,gf_without_gf3
48,complete,3,gf_without_gf3
2,average,2,gf_without_gf3
3,average,3,gf_without_gf3
4,average,4,gf_without_gf3
5,average,3,gf_without_gf3
6,average,4,gf_without_gf3
7,average,4,gf_without_gf3
8,average,4,gf_without_gf3
9,average,3,gf_without_gf3
10,average,2,gf_without_gf3
11,average,3,gf_without_gf3
12,average,2,gf_without_gf3
13,average,3,gf_without_gf3
14,average,2,gf_without_gf3
15,average,2,gf_without_gf3
16,average,2,gf_without_gf3
17,average,2,gf_without_gf3
18,average,3,gf_without_gf3
19,average,3,gf_without_gf3
20,average,3,gf_without_gf3
21,average,2,gf_without_gf3
22,average,2,gf_without_gf3
23,average,2,gf_without_gf3
24,average,2,gf_without_gf3
25,average,2,gf_without_gf3
26,average,2,gf_without_gf3
27,average,3,gf_without_gf3
28,average,2,gf_without_gf3
29,average,2,gf_without_gf3
30,average,3,gf_without_gf3
31,average,2,gf_without_gf3
32,average,2,gf_without_gf3
33,average,3,gf_without_gf3
34,average,2,gf_without_gf3
35,average,3,gf_without_gf3
36,average,3,gf_without_gf3
37,average,3,gf_without_gf3
38,average,3,gf_without_gf3
39,average,2,gf_without_gf3
40,average,2,gf_without_gf3
41,average,3,gf_without_gf3
42,average,2,gf_without_gf3
43,average,3,gf_without_gf3
44,average,3,gf_without_gf3
45,average,2,gf_without_gf3
46,average,2,gf_without_gf3
47,average,4,gf_without_gf3
48,average,3,gf_without_gf3
2,mcquitty,7,gf_without_gf3
3,mcquitty,3,gf_without_gf3
4,mcquitty,7,gf_without_gf3
5,mcquitty,3,gf_without_gf3
6,mcquitty,7,gf_without_gf3
7,mcquitty,4,gf_without_gf3
