C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,time
-4.14993131679672,-3.672074253629517,-3.808680224871079,-4.348083811003056,-4.108480949979887,-3.894146199573935,-3.9752816732433742,-3.8818848461846787,-3.8868556135531946,-4.02931424170107,-3.836384087761041,-3.8674485026081253,-3.941523944275449,-4.141324494407593,-4.12544752887716,-4.1751468213621,-4.127891678890851,-4.306696176778836,-4.0094681693773015,-4.0608250407581785,-4.248912784870281,-4.080805371378152,-3.617060716817575,-4.242882091198992,-4.456876692469677,10
-4.148953073618483,-3.6732548249067962,-3.8097706877655506,-4.3484091908816644,-4.108679130999027,-3.894217165662915,-3.975724650702569,-3.8812115974860384,-3.885939176864865,-4.0309926796231945,-3.8372809816803684,-3.8683585562754383,-3.943293648932561,-4.139899707702193,-4.12567254995809,-4.17503859546897,-4.126776712956299,-4.308616964416741,-4.008730376161243,-4.059511196144302,-4.250822353577315,-4.085182449899403,-3.6161705350842834,-4.241367931204547,-4.452605684417904,11
-4.1462978421346985,-3.6764592326594125,-3.812730515621974,-4.349292364837888,-4.109217050908122,-3.8944097879044333,-3.9769270180918124,-3.879384208161158,-3.883451705853684,-4.03554843969753,-3.8397154080328275,-3.870828701943859,-3.9480971330018644,-4.136032429501821,-4.126283321463471,-4.17474483947333,-4.123750376848227,-4.313830530862485,-4.006727794574801,-4.055945046478067,-4.256005468639269,-4.097063091599941,-3.6137543275224906,-4.237258068362481,-4.4410129482773755,12
-4.142384869421752,-3.68118151776853,-3.817092367199861,-4.350593884352322,-4.1100097749846825,-3.8946936522603535,-3.9786989279285914,-3.876691213366597,-3.879785959100364,-4.042262191386024,-3.8433029837101356,-3.87446891661311,-3.9551759516303107,-4.130333282680219,-4.127183405787189,-4.174311935900809,-4.119290513110015,-4.321513681414107,-4.0037766217105695,-4.050689668022562,-4.263643743467409,-4.114571405684945,-3.6101936005893225,-4.231201428384698,-4.42392891607028,13
-4.137633402556032,-3.6869157211153163,-3.8223889012587238,-4.352174300905564,-4.1109723685062205,-3.895038344692544,-3.980850532730395,-3.873421148258916,-3.875334695185619,-4.050414604150626,-3.84765932560401,-3.8788891772829155,-3.963771659964853,-4.123412890111132,-4.128276365323133,-4.173786267277034,-4.113874964285044,-4.330843221369648,-4.000193054661145,-4.044308137040876,-4.272918791473008,-4.1358315013595925,-3.6058698607419037,-4.223846936983106,-4.4031840198188075,14
-4.132462688613925,-3.6931558835809364,-3.828152776558075,-4.353894165978209,-4.1120198967502475,-3.8954134511628675,-3.9831919850147104,-3.869862547994675,-3.8704906726901607,-4.0592863474532805,-3.8524000506061675,-3.8836994609529976,-3.9731258131524436,-4.115881874668302,-4.12946576246519,-4.173214216127631,-4.107981572916694,-4.3409959560271485,-3.996293290519125,-4.037363529796102,-4.283012226067336,-4.158967487829061,-3.6011646144373604,-4.215843519869608,-4.380608691545147,15
-4.1272919746718175,-3.699396046046557,-3.8339166518574257,-4.355614031050855,-4.113067424994274,-3.8957885576331917,-3.9855334372990256,-3.866303947730434,-3.8656466501947024,-4.068158090755936,-3.8571407756083254,-3.8885097446230796,-3.9824799663400343,-4.108350859225472,-4.130655159607247,-4.172642164978228,-4.102088181548343,-4.351148690684649,-3.9923935263771053,-4.030418922551328,-4.293105660661664,-4.182103474298531,-3.596459368132817,-4.20784010275611,-4.358033363271486,16
-4.1225405078060975,-3.705130249393343,-3.8392131859162886,-4.357194447604098,-4.1140300185158125,-3.896133250065382,-3.9876850421008294,-3.8630338826227533,-3.8611953862799577,-4.076310503520537,-3.8614971175022,-3.892930005292885,-3.991075674674577,-4.101430466656385,-4.131748119143191,-4.1721164963544535,-4.096672632723372,-4.360478230640191,-3.988809959327681,-4.024037391569642,-4.302380708667263,-4.203363569973179,-3.5921356282853987,-4.200485611354519,-4.337288467020013,17
-4.118627535093151,-3.709852534502461,-3.8435750374941753,-4.358495967118532,-4.114822742592374,-3.896417114421303,-3.9894569519376084,-3.8603408878281926,-3.857529639526638,-4.083024255209033,-3.865084693179508,-3.896570219962137,-3.9981544933030237,-4.095731319834784,-4.1326482034669105,-4.171683592781932,-4.092212768985162,-4.368161381191813,-3.9858587864634494,-4.018782013114138,-4.310018983495404,-4.220871884058183,-3.5885749013522306,-4.194428971376737,-4.3202044348129185,18
-4.115972303609366,-3.7130569422550765,-3.846534865350599,-4.359379141074756,-4.115360662501469,-3.8966097366628203,-3.990659319326851,-3.858513498503312,-3.855042168515457,-4.087580015283368,-3.867519119531967,-3.8990403656305572,-4.0029579773723265,-4.091864041634412,-4.133258974972291,-4.171389836786292,-4.0891864328770895,-4.373374947637557,-3.9838562048770063,-4.015215863447902,-4.315202098557356,-4.23275252575872,-3.586158693790438,-4.19031910853467,-4.308611698672389,19
