C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-6.012960714575475,-3.1175392233478165,-4.897197010692548,-5.149715472746495,-3.586868348593112,-4.244890824229002,-3.9951966821844302,-4.738761048535199,-5.027959432839872,-4.345666441051643,-3.3360902004619684,-4.346109585687842,-3.467182532465992,20
-6.074290104873993,-3.061153631920013,-5.008298572958907,-5.1737644822525635,-3.6028852950797026,-4.219301217125871,-3.9835162758645413,-4.692716937153247,-5.098716568952482,-4.287319642684282,-3.3171973110649966,-4.445594054950665,-3.4485043972982066,21
-6.123269669171497,-3.013941052976317,-5.098251064843242,-5.199877158047637,-3.615845049530228,-4.199412375708273,-3.976415643528187,-4.659551741161444,-5.154995519566432,-4.241882277032107,-3.3022829952284223,-4.53205122896798,-3.4347830455800317,22
-6.15989940746799,-2.9759014865167286,-5.167054486345557,-5.228053500131718,-3.625747611944689,-4.185224299976208,-3.9738947851753683,-4.639265460559793,-5.196796284681722,-4.20935434409512,-3.2913472529522445,-4.605481107739782,-3.426018477311468,23
-6.1841793197634685,-2.947034932541247,-5.214708837465845,-5.2582935085048055,-3.632592982323085,-4.176736989929676,-3.9759537008060843,-4.631858095348289,-5.224118864298353,-4.189735843873319,-3.284390084236462,-4.665883691266074,-3.4222106924925138,24
-6.196109406057932,-2.927341391049872,-5.24121411820411,-5.290597183166899,-3.636381160665417,-4.173950445568677,-3.9825923904203355,-4.637329645526936,-5.236963258416323,-4.183026776366706,-3.2814114890810777,-4.713258979546855,-3.4233596911231707,25
-6.195689666351384,-2.916820862042605,-5.24657032856035,-5.324964524117999,-3.6371121469716843,-4.17686466689321,-3.993810854018123,-4.655680111095733,-5.235329467035634,-4.18922714157528,-3.282411467486089,-4.747606972582126,-3.4294654732034386,26
-6.182920100643821,-2.915473345519444,-5.230777468534564,-5.361395531358106,-3.634785941241887,-4.185479653903276,-4.009609091599446,-4.686909492054679,-5.219217490156285,-4.208336939499041,-3.2873900194514976,-4.768927670371887,-3.440528038733317,27
-6.157800708935241,-2.9232988414803907,-5.193835538126752,-5.399890204887219,-3.6294025434760253,-4.199795406598877,-4.029987103164302,-4.731017788403774,-5.188627327778275,-4.240356170137988,-3.296347144977302,-4.777221072916136,-3.4565473877128055,28
-6.12033149122565,-2.9402973499254443,-5.135744537336915,-5.4404485447053395,-3.6209619536740996,-4.21981192498001,-4.054944888712695,-4.788005000143019,-5.143558979901606,-4.285284833492124,-3.309282844063504,-4.772487180214876,-3.477523520141905,29
-6.070512447515043,-2.966468870854605,-5.05650446616505,-5.4830705508124655,-3.6094641718361093,-4.245529209046676,-4.084482448244623,-4.857871127272414,-5.084012446526275,-4.343122929561446,-3.326197116710102,-4.754725992268104,-3.5034564360206146,30
-6.000889016180026,-3.0036205171297667,-4.938416509179834,-5.537442757967491,-3.5921260199433083,-4.282726913973326,-4.122207686708028,-4.9602175531981185,-4.997857397902264,-4.427763390543601,-3.346077051618174,-4.713793641185064,-3.533572636583008,31
-5.907319774096489,-3.0527562403408712,-4.771647991141643,-5.608946574369801,-3.5674012879852812,-4.334615959301319,-4.170124995740653,-5.1059339353679984,-4.878354761946228,-4.546924512103945,-3.3683599202883165,-4.644054644804221,-3.5674424002924585,32
-5.794774429013367,-3.1126712985799885,-4.567998122338028,-5.691124310180131,-3.537145427974527,-4.397343241581023,-4.225829105377207,-5.2819526848446134,-4.73359142515818,-4.69134433944405,-3.3937209969198134,-4.552271581719418,-3.6055813929929177,33
-5.6682226886795855,-3.18216094993919,-4.339266113056536,-5.777518275559224,-3.503213891923542,-4.467055657362804,-4.286914745652394,-5.475206212690526,-4.571654274038133,-4.8517609177654855,-3.4228355557119454,-4.4452070305244895,-3.648505280528337,34
-5.532634260844078,-3.2600204525105445,-4.097251173584721,-5.861670780667812,-3.4674621318448238,-4.53990010319703,-4.350976646600919,-5.672626929968293,-4.400630195086104,-5.018912292269821,-3.4563788708639964,-4.329623569813277,-3.696729728742667,35
-5.392978853255773,-3.3450450643861247,-3.8537525142101288,-5.93712413566664,-3.4317455997508715,-4.612023475634066,-4.41560953825749,-5.861147247740478,-4.228606074802102,-5.183536508158627,-3.4950262165752473,-4.212283778179619,-3.7507704034798612,36
-5.254226173663604,-3.4360300436580005,-3.6205693452203125,-5.997420650716443,-3.3979197476541816,-4.67957267122428,-4.478408150656813,-6.027699577069639,-4.0636687996861465,-5.336371610633475,-3.5394528670449796,-4.099950234217355,-3.81114297058387,37
-5.121345929816498,-3.531770648418241,-3.409500876902821,-6.03610263597796,-3.367840027567252,-4.7386945865180365,-4.536967213833591,-6.159216329018339,-3.9139052562382473,-5.46815564489593,-3.590334096472477,-3.999385516520321,-3.878363095898644,38
