Time	[Eubacterium] coprostanoligenes group	Acholeplasmataceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Lachnospiraceae	Lactobacillaceae	Oscillospiraceae	Ruminococcaceae	Sutterellaceae
1	0	0.011390216617512458	0.46526076384715664	0	0	3.790575335373464e-4	0.09489381766408106	0	0	0.4269389717371005
2	0	0.010341028890915767	0.5055495670508523	0	0	2.7244406012721955e-4	0.09562786510465406	2.3690787837149524e-5	0	0.38769974295495196
3	0	0.4326383723034239	0.34163332596151913	0	0	8.041979131064156e-5	0.032358913528619394	0	0	0.19328896841512697
4	0	0.20361954917554123	0.3645509274497521	0	0	2.0173492031470649e-4	0.1691388042428039	0	0	0.26245713132943316
5	0	0.3185216562533093	0.3279678068410463	4.235941967595044e-5	0	9.530869427088849e-5	0.10219209996823043	0	0	0.2511807688234671
6	0	0.3311312452746	0.33496114326793175	0.011378143553005045	0	0	0.08569551691228418	0	0	0.23683395099217908
7	0	0.33604141355448736	0.3615762505942634	0.005493634778934023	0	0.015508953568221436	0.06067297026041942	0	0	0.21951296814748297
8	0	0.3292525417554395	0.27789859472109685	0.00516630421583671	0	0.1534878073012684	0.03422124587413205	0	0	0.1938026427633104
9	0	0.2662628781805766	0.24763714458200964	0.0039686074245618205	6.531872569104243e-4	0.21449283968211552	0.017180804212068128	2.4741941549637285e-4	0	0.24928000950090554
10	0	0.17467104538141104	0.24018646271847655	0.001983645941239999	9.257014392453329e-4	0.23047761786162968	0.011582288245795774	0.02061889753366688	0	0.31817680897489586
11	0	0.24861789920679433	0.15330302059129877	0.001632481371684961	0.0017426488262158482	0.2964906658120343	0.007271051999038538	0.011006730229949524	0	0.2788538578639532
12	0	0.21500107021753578	0.14192211069428956	0.002399540369731995	0.0020728423851205965	0.31572543850755347	0.00867439476381989	0.0023432131310058917	4.055561188279428e-4	0.30967589306837
13	0	0.2817921577816037	0.10357473945864447	0.002832081987754811	0.004961237151210766	0.3492425708784548	0.009993785719379387	1.0187345279693565e-4	0.0059799716791801225	0.23802732246004013
14	5.575534554375401e-5	0.24550937154433014	0.15327144489977976	0.0014868092145001069	0.0036612676907065134	0.2917584306728741	0.004729911813628465	3.717023036250267e-5	0.014384879150288533	0.2819826600875359
15	0.007659854254561394	0.15389841652512193	0.12988877321790587	7.122897375486275e-4	0.0011615801873869926	0.3030518875678045	0.0018409950139718371	0.004383321461837708	0.12607528354610706	0.2699578105309298
16	0.017493873626695744	0.2542239731729337	0.11462473765052118	0.0014421893137289388	0.0026967767655093977	0.21948245336334962	0.006226036793415175	0.012241021492138309	0.1232309730674077	0.246696448462251
17	0.0317931326833404	0.2253477058479178	0.10941884172066452	0.001019398857465835	0.002977452108439815	0.22077555057631362	0.0044914108076465	0.01165748198389148	0.08964654110902522	0.301186943620178
18	0.03373750221545711	0.25939093174306954	0.08701272975593481	4.1702722145188026e-4	0.0035968597850224676	0.2559191801244826	0.004952198254741078	0.013251039961633496	0.06315877268888727	0.2763847910172337
