Time	[Eubacterium] coprostanoligenes group	Acholeplasmataceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Lachnospiraceae	Lactobacillaceae	Oscillospiraceae	Ruminococcaceae	Sutterellaceae
1	0	0.29413696060037525	0.3967753283302064	0	0	8.208255159474672e-5	0.0637546904315197	0	0	0.24525093808630394
2	0	0.502540031131973	0.28658308496132634	0	0	6.0333281044489764e-5	0.04453802806704234	0	0	0.16627852255861378
3	0	0.07411368497701724	0.4458198698402585	0	0	1.479087971601511e-4	0.17132389751058116	0	0	0.30859463887498295
4	0	0.2883560839438808	0.38519147552239075	0	0	9.033994922894854e-5	0.08046579277822447	0	0	0.24587823981642923
5	0	0.33385320086944775	0.3602313615207967	0	0	0.0033034102491680075	0.04788102810968795	0	0	0.25473099925089954
6	0	0.3069781508908278	0.3639837964660166	0.003555979177359044	0	0.03514737150817509	0.045366229195688834	0	0	0.2449684727619327
7	0	0.1616380118787121	0.24501406689590496	0.002525789309159112	0	0.39586120662707097	0.026695842450765863	0	0	0.16821506720850266
8	0	0.17110798329959515	0.4071830718623482	0.0025145495951417003	0	0.16036184210526316	0.04218591852226721	0.003922064777327935	1.5814777327935223e-5	0.2121077935222672
9	0	0.19196896624030194	0.2686621933319354	0.003263262738519606	0.00027521492975466553	0.3059603690501153	0.017076431117634724	0.018190396309498844	7.732228978821556e-4	0.1904749423359195
10	0	0.24204323981326203	0.22843674930879754	0.0019670942301590897	0.0019670942301590897	0.2542627929112088	0.0074151294021665235	0.01180256538095454	0.006907492181480306	0.2431582287086978
11	0	0.22480599693818298	0.1719104682468458	0.0018916398317760299	0.0028946488588572736	0.2950958137570606	0.006563550300022876	0.0011789755230604093	0.01569621144134157	0.27817663516866387
12	0	0.19583650445449255	0.17918252227246273	0.00142364686394771	0.0011102654788019877	0.2532569279670502	0.005273761024309442	9.222366477145543e-4	0.024345256748891972	0.33676859023145456
13	0	0.14292255363683937	0.15965681144252575	7.195185766614338e-4	0.0015589569160997733	0.2932147217861504	0.0024965114250828533	0.013649049363335077	0.03027428920286063	0.3529565672422815
14	0	0.05699903629337849	0.0819150628280579	4.397496234059076e-4	0.001253754245455141	0.3871387269716221	7.391536223205681e-4	0.12632977479205457	0.05164718981277893	0.2919563244416583
15	0	0.10802207569399946	0.12130263130697204	1.6536100374129272e-4	0.0014262386572686497	0.27092333450464046	0.0010335062733830794	0.04796502614770872	0.10165567704995969	0.3465243184026127
16	0.051450179009614225	0.11901122329940866	0.0860553521863309	1.307373587030854e-4	0.0010559555895249205	0.29271088941630796	6.23516633814715e-4	0.049418721589766276	0.06781246228730037	0.3311979564745163
17	0.04744289179903182	0.13107717977145741	0.08076927298872655	1.6465603354592258e-4	0.0023820239519643464	0.28344987321485415	0.0038639282538776494	0.02459961141176083	0.0604507184491597	0.3646911601664124
18	0.03251055437428738	0.0865407332080162	0.09108091173358808	2.978850163836759e-4	0.001992748040635625	0.3387774388051729	0.0038519614187544297	0.02154016825367477	0.05016794551785769	0.37246926134787833
