Time	[Eubacterium] coprostanoligenes group	Acholeplasmataceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Lachnospiraceae	Lactobacillaceae	Oscillospiraceae	Ruminococcaceae	Sutterellaceae
1	0	3.9087234890829354e-4	0.4945629656266856	2.3452340934497612e-5	0	1.2507915165065392e-4	0.08862639639146648	0	0	0.415919449026337
2	0	4.2753728805324784e-4	0.5287275907302142	0	0	0	0.041869503959578294	0	0	0.4287907496477676
3	0	2.4291716524665088e-4	0.6666186830290871	5.398159227703353e-5	0	0	0.05809319022213425	0	0	0.27455037832099255
4	0	0.003055297761186248	0.5095777849612614	3.336843971261431e-4	0	7.299346187134381e-5	0.10611163828611352	0	0	0.3797119886547305
5	0	0.17033825141382689	0.39781159968570845	0	0	1.55205696049045e-4	0.09136765319287218	0	0	0.3400362793314515
6	0	0.19869980803862974	0.354811897646989	0.0036512240011082305	0	0.052759692070214324	0.05459025152876452	0	0	0.33539807247036474
7	0	0.24653533690861784	0.2735942229066001	0.004619550788509531	0	0.23635108585992673	0.03158285987362608	0	0	0.2073169436627197
8	0	0.17221958590374384	0.3549788955768126	0.0030595169709533208	0	0.1582457104323285	0.043370214041309724	0	0	0.26802617447988214
9	0	0.30576310771729115	0.2556495242265831	0.007645218089425331	0.00033755736194360057	0.12533413617246444	0.04352665334683563	0	0	0.26174380308545675
10	0	0.255847147439974	0.3009708737864078	0.003956981953335877	4.663585873574427e-4	0.1025423609050183	0.02785432653580362	0	0	0.308361950792103
11	0	0.24494277416286342	0.27014035762353394	0.0036126655805057734	0.0016697193859480464	0.15085155688683352	0.014106598933403495	3.035853428996448e-5	0	0.31371497384106295
12	0	0.12941191906998714	0.2899992127430656	0.00148266722649382	8.528616789566222e-4	0.23460256645760622	0.01011625160731624	9.184664234917469e-5	3.9362846721074867e-5	0.33058230771249375
13	0	0.07920265201081741	0.29075285701823256	0.001596440722323999	0.0014830323650004361	0.2784262409491407	0.0123004449097095	0.015440984035592777	1.7447439588240426e-4	0.3179708627758876
14	0	0.22640241148606777	0.22281038955582863	0.0026677589774290788	0.00213210658432324	0.1596244131455399	0.02160464652193549	0.029723456323323984	0.0031508964300343448	0.3293737068195902
15	0	0.11638458048491652	0.11885299477865015	4.2293702852133527e-4	6.536299531693363e-4	0.40236690940688846	0.005467422314157625	0.019162892274093953	0.02842905808078866	0.30765208431057417
16	1.0401738246035782e-4	0.21077388932550506	0.09855069113771901	9.245989552031807e-4	0.0026582219962091444	0.24304239286209606	0.009199759604271647	0.03300818270075355	0.05274837039434145	0.3484813462160788
17	0.052271180673698535	0.20877636951343995	0.07023009527050017	0.0015736645117386866	0.004933650901667234	0.28939477713507994	0.008644521946240219	0.03134569581490303	0.038427186117727115	0.2900008506294658
18	0.04185466581749356	0.1995855796054933	0.04180084498703815	7.893721800127376e-4	0.00150698325275159	0.35580951014074147	0.0050950386164458515	0.05218826526493304	0.042410814398866174	0.2568688834868722
