C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,time
-5.544915615603815,-3.1579271096596906,-4.255339174777631,-4.909143263813183,-3.88455567524579,-4.23653586452028,-5.027959432839869,-4.5025578422504715,-4.834380563993337,-4.388695117431288,-4.817989723249408,-4.2776044010803504,-4.718018861356171,-3.366861939857001,20
-5.587727758279018,-3.097851305245637,-4.2030971862966515,-5.017374994258531,-3.8985695193286545,-4.198550663873269,-5.098716568952479,-4.4933099492511035,-4.85262383962732,-4.403344080693516,-4.787830454200744,-4.234940885523497,-4.877750173533534,-3.347887110572475,21
-5.625286717008795,-3.0475513878408567,-4.161783450234049,-5.105050214069399,-3.9083580231020667,-4.168672324662984,-5.154995519566429,-4.490014330373845,-4.866838333436783,-4.423963789321618,-4.765127563811276,-4.202204011225862,-5.0163107685165365,-3.3336317646876283,22
-5.657592491793144,-3.0070273574453505,-4.131397966589824,-5.1721689232457875,-3.913921186566028,-4.146900846889425,-5.196796284681721,-4.4926709856187,-4.877024045421726,-4.450554243315598,-4.749881052081001,-4.179393778187447,-5.1337006463051775,-3.3240959022024628,23
-5.684645082632068,-2.9762792140591183,-4.111940735363976,-5.218731121787699,-3.9152590097205353,-4.133236230552592,-5.224118864298351,-4.501279914985664,-4.883180975582147,-4.483115442675454,-4.742090919009919,-4.166510186408249,-5.229919806899458,-3.319279523116976,24
-5.706444489525565,-2.955306957682159,-4.103411756556504,-5.244736809695135,-3.9123714925655917,-4.127678475652486,-5.236963258416322,-4.51584111847474,-4.885309123918049,-4.5216473874011855,-4.741757164598032,-4.163553235888272,-5.304968250299377,-3.3191826274311698,25
-5.722990712473636,-2.9441105883144747,-4.105811030167409,-5.250185986968096,-3.905258635101196,-4.1302275821891055,-5.235329467035633,-4.536354596085927,-4.883408490429429,-4.566150077492795,-4.748879788845339,-4.170522926627513,-5.358845976504937,-3.3238052151450437,26
-5.734283751476282,-2.942690105956064,-4.119138556196691,-5.235078653606585,-3.893920437327348,-4.140883550162451,-5.219217490156285,-4.562820347819224,-4.8774790751162875,-4.61662351295028,-4.763458791751839,-4.187419258625973,-5.391552985516136,-3.3331472862585967,27
-5.7403236065335,-2.951045510606927,-4.143394334644349,-5.1994148096106025,-3.8783568992440474,-4.159646379572523,-5.188627327778275,-4.595238373674632,-4.867520877978627,-4.673067693773641,-4.7854941733175345,-4.214242231883653,-5.403089277332974,-3.3472088407718297,28
-5.741110277645293,-2.9691768022670644,-4.178578365510385,-5.143194454980151,-3.8585680208512962,-4.186516070419323,-5.143558979901605,-4.6336086736521525,-4.853533899016445,-4.735482619962879,-4.814985933542424,-4.250991846400551,-5.393454851955452,-3.3659898786847426,29
-5.73664376481166,-2.997083980936475,-4.224690648794798,-5.066417589715231,-3.834553802149092,-4.221492622702848,-5.084012446526275,-4.677931247751782,-4.835518138229743,-4.803868291517992,-4.851934072426507,-4.297668102176668,-5.362649709383569,-3.3894903999973347,30
-5.72781958567015,-3.037679753681092,-4.2922221649311,-4.952111767091183,-3.802284940276843,-4.272573945087755,-4.997857397902264,-4.737323574987535,-4.811363852565301,-4.890409703552773,-4.905710605758064,-4.364811136372509,-5.294563122884889,-3.416634269280293,31
-5.7151352500194,-3.092582291093098,-4.3870012363823525,-4.790847850038748,-3.7595229336453295,-4.3442033201655175,-4.878354761946228,-4.816850921478306,-4.779898962549108,-5.0018762977971045,-4.9815222089750275,-4.458276580743912,-5.18024468871917,-3.446823633517331,32
-5.697993746101045,-3.159849788461872,-4.502033876192882,-4.593940803041035,-3.7089539841616155,-4.431048808826366,-4.733591425158179,-4.910434967881419,-4.742529963549978,-5.130144744175128,-5.073120871551876,-4.571037677183872,-5.0304348913747035,-3.480775916327992,33
