C1,C2,C3,C4,C5,C6,time
-6.27644568506269,-5.702790198393293,-2.724059038091316,-6.148189760563666,-6.44862763359661,-3.492565263042819,10
-6.246488214617629,-5.618214444144148,-2.749954732534821,-5.943515998060882,-6.141804548390975,-3.461186124252734,11
-6.218687020665958,-5.538635279325965,-2.779755421106163,-5.751967049818697,-5.857530517278415,-3.4316487487909746,12
-6.193042103207679,-5.464052703938744,-2.813461103805343,-5.573542915837108,-5.595805540258929,-3.4039531366575404,13
-6.169553462242791,-5.394466717982492,-2.8510717806323607,-5.408243596116119,-5.356629617332516,-3.3780992878524336,14
-6.148221097771294,-5.329877321457208,-2.8925874515872154,-5.2560690906557275,-5.140002748499177,-3.354087202375653,15
-6.129045009793187,-5.2702845143628965,-2.938008116669909,-5.117019399455934,-4.945924933758913,-3.3319168802271983,16
-6.112025198308471,-5.21568829669956,-2.98733377588044,-4.991094522516738,-4.774396173111722,-3.3115883214070703,17
-6.097161663317144,-5.166088668467201,-3.0405644292188088,-4.878294459838142,-4.6254164665576045,-3.2931015259152683,18
-6.0844544048192075,-5.121485629665819,-3.097700076685015,-4.778619211420143,-4.498985814096562,-3.2764564937517924,19
-6.073903422814661,-5.081879180295422,-3.1587407182790592,-4.692068777262742,-4.395104215728592,-3.261653224916643,20
-6.067657441521025,-5.051017585663515,-3.234989176866062,-4.61861087586849,-4.326269638257198,-3.2488568857670996,21
-6.0669101966147,-5.030983215385379,-3.3327247984821997,-4.558227573072138,-4.299425396573214,-3.2381592353905373,22
-6.070229205284005,-5.01927722592267,-3.444412367884061,-4.510940389871984,-4.3062395128076405,-3.2294501628821064,23
-6.076181984717263,-5.013400773737048,-3.5625166698282307,-4.476770847266328,-4.338380009091473,-3.2226195573369516,24
-6.083336052102789,-5.010855015290168,-3.6795024890712953,-4.455740466253471,-4.387514907555711,-3.217557307850222,25
-6.090258924628906,-5.009141107043692,-3.787834610369842,-4.447870767831711,-4.445312230331357,-3.2141533035170635,26
-6.095518119483934,-5.005760205459276,-3.8799778184804574,-4.453183272999347,-4.503439999549406,-3.2122974334326244,27
-6.097681153856191,-4.998213466998576,-3.948396898159726,-4.47169950275468,-4.553566237340857,-3.211879586692051,28
-6.095315544933997,-4.984002048123252,-3.985556634164238,-4.503440978096009,-4.587358965836712,-3.212789652390492,29
-6.086988809905673,-4.9606271052949635,-3.9839218112505765,-4.548429220021633,-4.596486207167966,-3.2149175196230937,30
-6.078796280234199,-4.932220811765471,-3.9336178566146494,-4.617178699537676,-4.583966648751516,-3.216732175911405,31
-6.075609788907415,-4.903670212640331,-3.8369731937658695,-4.715508471353008,-4.560117908794227,-3.21749724785391,32
-6.0741616054009375,-4.873608772161892,-3.7047571019310856,-4.836396932020044,-4.527556405612063,-3.218294583161163,33
-6.07118399919038,-4.840669954572504,-3.547738860337146,-4.972822478091206,-4.488898557520982,-3.2202060295437165,34
-6.063409239751353,-4.803487224114512,-3.376687748210897,-5.117763506118909,-4.446760782836945,-3.2243134347121214,35
-6.047569596559471,-4.7606940450302675,-3.2023730447791863,-5.264198412655571,-4.403759499875911,-3.231698646376931,36
-6.02039733909035,-4.710923881562119,-3.035564029268862,-5.405105594253612,-4.362511126953843,-3.2434435122486978,37
-5.9786247368196,-4.6528101979524115,-2.8870299809067723,-5.53346344746545,-4.325632082386698,-3.260629880037975,38
-5.918984059222836,-4.584986458443497,-2.7675401789197647,-5.6422503688434995,-4.295738784490438,-3.2843395974553142,39
-5.838207575775671,-4.506086127277722,-2.687863902534687,-5.724444754940182,-4.275447651581024,-3.315654512211268,40
-5.726971607290399,-4.408671160295549,-2.6453526630985396,-5.780733377112575,-4.2667881003463375,-3.354412497056319,41
-5.583485089576912,-4.290026458934796,-2.6273669366058856,-5.818779437838029,-4.268174261803838,-3.3994015651520146,42
-5.415779214607232,-4.1558699058338515,-2.6296894492549225,-5.842025980349372,-4.276799625763847,-3.450128774825504,43
-5.231885174353383,-4.011919383631107,-2.6481029272438468,-5.853916047879428,-4.289857682036688,-3.5061011844039354,44
-5.0398341607873824,-3.863892774964948,-2.678390096770853,-5.857892683661026,-4.30454192043268,-3.5668258522144587,45
