C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,time
-4.149931316796721,-3.672074253629517,-4.3480838110030575,-4.108480949979887,-3.8941461995739344,-3.8818848461846787,-3.9133878777202304,-3.8868556135531933,-4.02931424170107,-3.83638408776104,-3.8674485026081262,-3.9415239442754486,-4.141324494407595,-4.12544752887716,-4.1751468213621,-4.12789167889085,-4.306696176778836,-4.0094681693773015,-4.0608250407581785,-4.080805371378153,-3.617060716817575,-4.242882091198993,-4.456876692469679,10
-4.148953073618484,-3.6732548249067962,-4.348409190881665,-4.108679130999027,-3.8942171656629148,-3.881211597486039,-3.914816722637328,-3.8859391768648637,-4.0309926796231945,-3.8372809816803675,-3.8683585562754392,-3.9432936489325607,-4.139899707702194,-4.12567254995809,-4.17503859546897,-4.126776712956298,-4.308616964416741,-4.008730376161243,-4.059511196144302,-4.085182449899404,-3.6161705350842834,-4.241367931204548,-4.452605684417906,11
-4.146297842134699,-3.6764592326594125,-4.349292364837889,-4.109217050908122,-3.894409787904433,-3.879384208161158,-3.918695015983735,-3.8834517058536826,-4.03554843969753,-3.8397154080328266,-3.87082870194386,-3.948097133001864,-4.136032429501823,-4.126283321463471,-4.17474483947333,-4.123750376848226,-4.313830530862485,-4.006727794574801,-4.055945046478067,-4.097063091599942,-3.6137543275224906,-4.237258068362482,-4.441012948277377,12
-4.142384869421753,-3.68118151776853,-4.350593884352323,-4.1100097749846825,-3.8946936522603535,-3.8766912133665974,-3.9244103956521235,-3.8797859591003627,-4.042262191386025,-3.8433029837101347,-3.874468916613111,-3.95517595163031,-4.130333282680221,-4.127183405787189,-4.174311935900809,-4.119290513110014,-4.321513681414107,-4.0037766217105695,-4.050689668022561,-4.114571405684946,-3.6101936005893225,-4.231201428384699,-4.423928916070281,13
-4.137633402556032,-3.6869157211153167,-4.352174300905564,-4.110972368506221,-3.8950383446925434,-3.8734211482589163,-3.931350499535167,-3.875334695185618,-4.050414604150627,-3.847659325604009,-3.878889177282916,-3.963771659964853,-4.123412890111133,-4.128276365323133,-4.173786267277034,-4.113874964285044,-4.330843221369648,-4.000193054661145,-4.044308137040876,-4.135831501359593,-3.605869860741904,-4.223846936983106,-4.403184019818809,14
-4.132462688613925,-3.693155883580937,-4.353894165978209,-4.1120198967502475,-3.8954134511628675,-3.8698625479946753,-3.9389029655255383,-3.87049067269016,-4.059286347453281,-3.8524000506061666,-3.883699460952998,-3.9731258131524436,-4.115881874668303,-4.12946576246519,-4.173214216127631,-4.107981572916692,-4.3409959560271485,-3.996293290519125,-4.037363529796101,-4.158967487829063,-3.601164614437361,-4.215843519869608,-4.380608691545147,15
-4.127291974671817,-3.699396046046557,-4.355614031050854,-4.113067424994275,-3.8957885576331917,-3.8663039477304344,-3.9464554315159095,-3.8656466501947024,-4.068158090755936,-3.8571407756083245,-3.88850974462308,-3.9824799663400343,-4.108350859225473,-4.130655159607247,-4.172642164978228,-4.102088181548343,-4.351148690684649,-3.9923935263771053,-4.030418922551327,-4.182103474298533,-3.5964593681328174,-4.207840102756111,-4.3580333632714865,16
-4.122540507806097,-3.7051302493933433,-4.357194447604096,-4.114030018515813,-3.896133250065382,-3.8630338826227537,-3.953395535398953,-3.8611953862799573,-4.076310503520538,-3.8614971175021986,-3.892930005292885,-3.991075674674577,-4.101430466656385,-4.131748119143191,-4.1721164963544535,-4.096672632723371,-4.360478230640191,-3.988809959327681,-4.024037391569642,-4.20336356997318,-3.592135628285399,-4.200485611354519,-4.337288467020014,17
-4.118627535093151,-3.7098525345024616,-4.35849596711853,-4.114822742592374,-3.896417114421303,-3.860340887828193,-3.9591109150673427,-3.857529639526638,-4.0830242552090334,-3.865084693179507,-3.896570219962137,-3.9981544933030237,-4.095731319834784,-4.1326482034669105,-4.171683592781932,-4.09221276898516,-4.368161381191813,-3.9858587864634494,-4.018782013114137,-4.220871884058184,-3.5885749013522314,-4.194428971376737,-4.3202044348129185,18
-4.115972303609365,-3.7130569422550774,-4.359379141074753,-4.11536066250147,-3.8966097366628203,-3.8585134985033123,-3.962989208413749,-3.855042168515457,-4.087580015283369,-3.8675191195319663,-3.8990403656305572,-4.0029579773723265,-4.091864041634412,-4.133258974972291,-4.171389836786292,-4.089186432877089,-4.373374947637557,-3.9838562048770063,-4.015215863447901,-4.2327525257587215,-3.5861586937904386,-4.19031910853467,-4.308611698672389,19
-4.114994060431129,-3.714237513532357,-4.359704520953361,-4.115558843520609,-3.8966807027518007,-3.857840249804672,-3.964418053330846,-3.8541257318271267,-4.089258453205493,-3.8684160134512933,-3.89995041929787,-4.004727682029438,-4.090439254929011,-4.13348399605322,-4.171281610893162,-4.0880714669425355,-4.375295735275462,-3.9831184116609486,-4.013902018834025,-4.237129604279973,-3.5852685120571466,-4.188804948540224,-4.304340690620616,20
-4.119526036337898,-3.7122332576848605,-4.411715279305395,-4.1569955115091,-3.891827032641199,-3.8554727694384794,-3.9568487292981684,-3.852154577388809,-4.140925652771558,-3.867661695977782,-3.898799860847295,-4.068445712380859,-4.1220805975963515,-4.12663038128986,-4.159853754704428,-4.086076011151065,-4.432253956903828,-3.978201459351099,-4.007271258450479,-4.285230947397098,-3.585465366094442,-4.180494996943457,-4.362503103854634,21
-4.131827113799128,-3.706793134670227,-4.5528873376894845,-4.2694664674778595,-3.878652785198136,-3.8490467513016697,-3.936303421209473,-3.8468043010562307,-4.281165194450877,-3.8656142628353933,-3.895676916481449,-4.241394651906142,-4.207964241979131,-4.10802771264645,-4.1288352879064325,-4.080659774002786,-4.58685484418082,-3.96485544593865,-3.9892734802665704,-4.415791735857866,-3.5859996841956727,-4.157939414037944,-4.520372511204109,22
