C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-6.491457973041085,-5.4943333850389156,-3.104335362676325,-5.275762510218741,-4.9710849944566,-5.108766337820249,-4.636184629140795,-4.5607092755615914,-5.567825035991564,-4.139990177809619,-4.941580075459832,-4.731063509897232,20
-6.556421720900273,-5.590055756813792,-3.0419067863862916,-5.258661548493768,-5.091448436698636,-5.1930961125133415,-4.650971740159394,-4.627509917463753,-5.62155139270234,-4.114860237072104,-4.987637304238363,-4.808863513286743,21
-6.607420417908019,-5.666872307785561,-2.9891284369295685,-5.247481960353303,-5.188697344310669,-5.274761032790995,-4.668731138420208,-4.681039690787275,-5.667556068344755,-4.095075002063375,-5.022320646519484,-4.871681938099561,22
-6.644454064064321,-5.724783037954227,-2.9460003143061586,-5.242223745797344,-5.2628317172927,-5.353761098653209,-4.689462823923235,-4.721298595532156,-5.705839062918809,-4.080634472783435,-5.045630102303197,-4.919518784335686,23
-6.66752265936918,-5.763787947319785,-2.9125224185160588,-5.242886904825893,-5.313851555644727,-5.430096310099982,-4.713166796668475,-4.748286631698398,-5.736400376424501,-4.071538649232282,-5.057565671589501,-4.9523740519951165,24
-6.676626203822595,-5.7838870358822385,-2.8886947495592707,-5.249471437438949,-5.34175685936675,-5.503766667131315,-4.739843056655929,-4.762003799285999,-5.759240008861832,-4.067787531409915,-5.058127354378396,-4.970247741077853,25
-6.671764697424566,-5.785080303641586,-2.8745173074357937,-5.261977343636512,-5.3465476284587705,-5.5747721697472095,-4.769491603885597,-4.762450098294961,-5.774357960230803,-4.069381119316337,-5.047315150669882,-4.9731398515838965,26
-6.6529381401750936,-5.76736775059783,-2.8699900921456294,-5.280404623418584,-5.328223862920785,-5.643112817947665,-4.802112438357478,-4.749625528725281,-5.781754230531412,-4.076319412951547,-5.025129060463961,-4.961050383513246,27
-6.620146532074176,-5.730749376750967,-2.8751131036887756,-5.304753276785163,-5.286785562752796,-5.708788611732677,-4.837705560071572,-4.723530090576962,-5.7814288197636605,-4.088602412315543,-4.99156908376063,-4.933979336865902,28
-6.573389873121815,-5.6752251821009985,-2.8898863420652336,-5.33502330373625,-5.222232727954802,-5.771799551102254,-4.876270969027879,-4.6841637838500025,-5.773381727927548,-4.106230117408329,-4.946635220559891,-4.891926711641866,29
-6.5126681633180095,-5.600795166647925,-2.914309807275004,-5.371214704271843,-5.134565358526801,-5.832145636056389,-4.917808665226399,-4.631526608544402,-5.757612955023074,-4.129202528229902,-4.8903274708617435,-4.8348925078411344,30
-6.4285360293667875,-5.493296224020943,-2.950256026789863,-5.425786073809897,-5.004411801373112,-5.899705737605313,-4.970287069856044,-4.554464823819794,-5.731845279578128,-4.162678311133709,-4.813169135628398,-4.749392967784684,31
-6.315746041659277,-5.344859961791827,-2.998765293649688,-5.505658854249274,-4.821010026996128,-5.979968117421376,-5.03813308357732,-4.446781906987086,-5.694813578552647,-4.209523391871663,-4.709895382061084,-4.627937114984162,32
-6.180595115726126,-5.1649284508744495,-3.0585892562066266,-5.60252731531134,-4.597274470792978,-6.066346861497759,-5.116034425597621,-4.315913685273191,-5.648035999594706,-4.2662986595414685,-4.586824009518327,-4.4795141212255905,33
-6.0293801670979805,-4.9629437621826735,-3.128479562812828,-5.708085726717459,-4.3461195681607805,-6.1522560558276425,-5.198678815124337,-4.169295985905017,-5.593030690352378,-4.329565003240828,-4.450272817358651,-4.3131131582949855,34
-5.868398111305491,-4.748347966630372,-3.207187861820439,-5.8140283581889936,-4.0804597544966645,-6.231109786404205,-5.28075397136486,-4.0143646361094785,-5.531315798473739,-4.395883312067441,-4.306559604940585,-4.137723397978365,35
-5.703945863879303,-4.5305831351314145,-3.2934658015816085,-5.912049479447312,-3.8132094651977484,-6.296322139220629,-5.356947613526585,-3.8585554631134844,-5.464409471606863,-4.461814475119015,-4.162002171622653,-3.9623340120617483,36
-5.542320340350067,-4.319091338599668,-3.3860650304484854,-5.993843360213775,-3.557283135661159,-6.341307200270098,-5.421947460816903,-3.7093042941439465,-5.393829857399824,-4.52391938149325,-4.022918316763382,-3.7959341723311537,37
-5.38981845624843,-4.123314647949003,-3.4837371967732165,-6.05110427020975,-3.3255952012840195,-6.359479055545785,-5.470441232443204,-3.574046956427776,-5.3210951035006975,-4.578758920287849,-3.895625839721297,-3.647513050572599,38
-5.252737127105037,-3.9526951340932883,-3.5852339489079523,-6.0755264791566015,-3.1310600974634517,-6.34425179104088,-5.497116647612884,-3.4602192771918845,-5.2477233575575575,-4.622893980600516,-3.7864425398549244,-3.5260598185721013,39
-5.137373268450542,-3.816674867946393,-3.689306935204839,-6.058804256775693,-2.9865922595965815,-6.289039492748557,-5.496661425533334,-3.3752570836631826,-5.175232767218478,-4.652885451528952,-3.701686216522791,-3.440563648115681,40
-5.039694981036645,-3.7117084692066595,-3.8138181983709614,-5.99362507337486,-2.8892651595949705,-6.177476854715069,-5.460739074655357,-3.3171447803391705,-5.095234063859537,-4.6657626208043625,-3.6390794249670275,-3.390124550440828,41
