C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-5.910395962748259,-4.798260029409592,-3.7181117953014677,-5.256518628022019,-5.49360655849105,-4.907556329509333,-4.003463611372658,-4.36699140890499,-5.353715745838999,-3.2379034660054864,-3.6186167614929556,-3.679833716348887,-5.003194535932841,-4.24856952665867,-3.817361989810687,-4.513453095594212,10
-5.906779084331708,-4.793765069868437,-3.728383748164709,-5.234411312279831,-5.42791124754405,-4.946368834751016,-3.9921624232140958,-4.362069869466321,-5.298815241581538,-3.23456060265341,-3.6155416464770034,-3.682409304981197,-4.996537367009284,-4.233144250474527,-3.80445582625698,-4.505731463276779,11
-5.9034813104707,-4.78372690778428,-3.7348865995283846,-5.214216710011207,-5.368314554658359,-4.984029496492537,-3.9818318402387014,-4.3592173054363315,-5.2499254895396605,-3.2317605256045803,-3.6128389745480796,-3.684854693674557,-4.989817877092999,-4.219892936767891,-3.792764091920164,-4.498852724686321,12
-5.900502641165236,-4.768145543157122,-3.737620349392496,-5.195934821216148,-5.314816479833976,-5.020538314733891,-3.9724718624464748,-4.358433716815023,-5.207046489713365,-3.2295032348589965,-3.610508745706186,-3.687169882428967,-4.983036066183982,-4.2088155855387575,-3.7822867868002388,-4.492816879822838,13
-5.897843076415316,-4.747020975986962,-3.7365849977570433,-5.179565645894658,-5.267417023070901,-5.055895289475081,-3.964082489837417,-4.359719103602395,-5.170178242102652,-3.2277887304166617,-3.6085509599513226,-3.6893548712444284,-4.976191934282237,-4.199912196787132,-3.7730239108972055,-4.48762392868633,14
-5.8955026162209405,-4.720353206273801,-3.731780544622025,-5.165109184046737,-5.226116184369134,-5.090100420716107,-3.9566637224115278,-4.363073465798448,-5.1393207467075195,-3.2266170122775737,-3.606965617283488,-3.691409660120939,-4.969285481387762,-4.193182770513011,-3.764975464211064,-4.483273871276796,15
-5.893481260582108,-4.688142234017638,-3.723206989987442,-5.15256543567239,-5.190913963728675,-5.123153708456968,-3.950215560168807,-4.368496803403181,-5.114474003527971,-3.225988080441732,-3.6057527177026842,-3.6933342490585006,-4.962316707500557,-4.188627306716396,-3.758141446741813,-4.479766707594237,16
-5.89177900949882,-4.650388059218474,-3.710864333853295,-5.141934400771615,-5.161810361149524,-5.155055152697664,-3.9447380031092543,-4.375989116416595,-5.095638012564005,-3.2259019349091393,-3.60491226120891,-3.695128638057113,-4.955285612620622,-4.186245805397287,-3.752521858489454,-4.477102437638655,17
-5.890395862971076,-4.6070906818763095,-3.6947525762195834,-5.1332160793444155,-5.138805376631682,-5.185804753438196,-3.94023105123287,-4.38555040483869,-5.08281277381562,-3.226358575679793,-3.604444247802166,-3.6967928271167754,-4.948192196747959,-4.186038266555684,-3.748116699453986,-4.475281061410047,18
-5.889331820998876,-4.558250101991143,-3.6748717170863068,-5.126410471390794,-5.121899010175147,-5.215402510678565,-3.9366947045396548,-4.397180668669465,-5.075998287282817,-3.2273580027536934,-3.6043486774824514,-3.698326816237488,-4.941036459882565,-4.188004690191586,-3.7449259696354096,-4.474302578908413,19
