C1,C2,C3,C4,time
-3.8596790980905995,-4.852625734243465,-6.770730221225887,-5.698697789501215,10
-3.8580217964950516,-4.837517860975568,-6.6939740220801704,-5.659523607494417,11
-3.8535234064499924,-4.796510776391281,-6.485635767256085,-5.553193684904536,12
-3.8468942000678,-4.736079283319697,-6.178610970673219,-5.396496956877342,13
-3.8388444494608516,-4.662698184589916,-5.80579514625117,-5.206222358558607,14
-3.830084426741526,-4.582842283031038,-5.400083807909526,-4.999158825094101,15
-3.8213244040222003,-4.502986381472159,-4.9943724695678835,-4.792095291629595,16
-3.8132746534152524,-4.429605282742379,-4.621556645145834,-4.60182069331086,17
-3.80664544703306,-4.369173789670795,-4.31453184856297,-4.445123965283667,18
-3.8021470569880007,-4.328166705086507,-4.106193593738883,-4.338794042693785,19
-3.8004897553924524,-4.31305883181861,-4.029437394593167,-4.299619860686987,20
-3.8341172859315447,-4.344432025872431,-4.062954141670513,-4.229795789405746,21
-3.9253920116805094,-4.429587838304227,-4.153928169451882,-4.040273310213807,22
-4.059902133836879,-4.555080614519506,-4.2879951577612685,-3.7609770250888452,23
-4.223235853598184,-4.707464699923774,-4.450790786422667,-3.421831536008532,24
-4.400981372161956,-4.873294439922534,-4.627950735260069,-3.052761444950546,25
-4.578726890725729,-5.039124179921297,-4.805110684097472,-2.683691353892559,26
-4.742060610487035,-5.191508265325564,-4.9679063127588705,-2.344545864812247,27
-4.876570732643402,-5.317001041540842,-5.101973301068255,-2.0652495796872845,28
-4.967845458392368,-5.402156853972639,-5.192947328849625,-1.8757271004953446,29
-5.00147298893146,-5.433530048026459,-5.226464075926971,-1.8059030292141043,30
-5.041967917952989,-5.4666046940961905,-5.260615024120554,-1.888119824780181,31
-5.151882725297136,-5.556378733428322,-5.353310454931705,-2.1112796984595312,32
-5.3138624413832485,-5.68867731770725,-5.489914247706034,-2.4401468807238373,33
-5.510552096630672,-5.84932559861738,-5.655790281789148,-2.8394856020447805,34
-5.724596721458749,-6.024148727843107,-5.836302436526653,-3.2740600928940404,35
-5.938641346286826,-6.198971857068835,-6.0168145912641595,-3.7086345837433017,36
-6.135331001534249,-6.359620137978964,-6.1826906253472735,-4.107973305064244,37
-6.297310717620362,-6.491918722257894,-6.319294418121602,-4.436840487328551,38
-6.407225524964509,-6.581692761590023,-6.411989848932754,-4.6600003610079,39
-6.447720453986037,-6.614767407659755,-6.446140797126335,-4.742217156573976,40
-6.4513634816470615,-6.583647187264209,-6.449099398850364,-4.758045299359828,41
-6.461790078056203,-6.494578970270054,-6.457567121026031,-4.803346535608989,42
-6.478246513352559,-6.354001422966029,-6.470931839158711,-4.87484607715887,43
-6.499979057675226,-6.1683532116408655,-6.4885814287537755,-4.969269135846881,44
-6.526233981163305,-5.944073002583299,-6.509903765316601,-5.083340923510431,45
-6.556257553955892,-5.687599462082065,-6.534286724352558,-5.213786651986931,46
-6.589296046192086,-5.40537125642589,-6.5611181813670205,-5.357331533113792,47
-6.624595728010988,-5.103827051903515,-6.589786011865365,-5.510700778728424,48
-6.66140286955169,-4.789405514803673,-6.619678091352961,-5.670619600668232,49
-6.698963740953294,-4.468545311415098,-6.650182295335183,-5.833813210770632,50
-6.7365246123549,-4.14768510802652,-6.680686499317406,-5.9970068208730325,51
-6.773331753895603,-3.833263570926679,-6.710578578805002,-6.156925642812842,52
-6.808631435714503,-3.531719366404306,-6.7392464093033455,-6.310294888427471,53
-6.841669927950698,-3.249491160748132,-6.76607786631781,-6.453839769554334,54
-6.871693500743284,-2.9930176202468965,-6.790460825353767,-6.584285498030833,55
-6.897948424231364,-2.7687374111893286,-6.811783161916592,-6.698357285694385,56
-6.919680968554031,-2.5830891998641663,-6.829432751511657,-6.792780344382394,57
-6.9361374038503865,-2.442511652560141,-6.842797469644336,-6.864279885932277,58
-6.946564000259527,-2.3534434355659886,-6.851265191820003,-6.909581122181437,59
-6.950207027920553,-2.322323215170441,-6.8542237935440316,-6.925409264967288,60
-6.949078147800359,-2.3500412788566534,-6.853391194768887,-6.924288716278559,61
-6.945847215042565,-2.4293722887171914,-6.851008239653818,-6.921081628652195,62
-6.940747791051346,-2.554581472954909,-6.847247190014371,-6.916019839747933,63
-6.934013437230883,-2.719934059772656,-6.842280307666094,-6.909335187225512,64
-6.925877714985351,-2.9196952773732874,-6.836279854424535,-6.901259508744669,65
-6.91657418571893,-3.1481303539596563,-6.829418092105239,-6.892024641965138,66
-6.906336410835798,-3.3995045177346137,-6.821867282523756,-6.88186242454666,67
-6.895397951740132,-3.668082996901015,-6.813799687495631,-6.87100469414897,68
-6.883992369836109,-3.9481310196617083,-6.8053875688364105,-6.859683288431807,69
-6.87235322652791,-4.233913814219549,-6.796803188361643,-6.848130045054905,70
-6.860714083219708,-4.519696608777392,-6.788218807886875,-6.836576801678004,71
-6.8493085013156865,-4.799744631538085,-6.779806689227656,-6.8252553959608395,72
-6.838370042220021,-5.068323110704487,-6.77173909419953,-6.81439766556315,73
-6.828132267336888,-5.319697274479444,-6.764188284618047,-6.804235448144673,74
-6.818828738070467,-5.548132351065811,-6.757326522298751,-6.795000581365143,75
-6.810693015824937,-5.747893568666444,-6.751326069057192,-6.7869249028843,76
-6.803958662004471,-5.913246155484191,-6.746359186708914,-6.780240250361877,77
-6.798859238013254,-6.038455339721908,-6.742598137069468,-6.7751784614576165,78
-6.795628305255459,-6.117786349582445,-6.740215181954398,-6.771971373831252,79
-6.794499425135266,-6.145504413268657,-6.739382583179254,-6.770850825142523,80
