ID,1,2,3,4,5,6,7,9,mean,points
39521,4.59505551140357e-6,5.300580376995554e-6,3.459305380127934e-6,3.998494882347445e-6,3.545582121945806e-6,8.03002873858063e-6,4.5769556507643695e-6,8.579695293119304e-6,5.260712244410577e-6,8
42540,7.1014494267146085e-6,8.225038516027585e-6,3.6755119663859296e-6,3.156706486063772e-6,9.218513517059096e-6,3.791958015440853e-6,1.2266241144048512e-5,3.391972557744841e-6,6.3534239536856494e-6,8
44814,2.026001748209756e-5,2.5954565983909265e-5,3.243098793869938e-6,3.5776006842056086e-6,5.436559253650236e-6,1.5613944769462337e-6,3.4784862945809213e-6,2.9929169627160364e-6,8.313079991496975e-6,8
45348,8.354646384370128e-6,8.77337441709609e-6,9.513089795351818e-6,9.470119458191317e-6,7.327536385354666e-6,1.606005747716126e-5,6.590816137100693e-6,2.5938613676872313e-6,8.585437677789151e-6,8
47834,1.1487638778508926e-5,8.225038516027585e-6,1.9026179590703637e-5,5.0507303777020355e-6,1.2764095639004901e-5,1.8067564661806416e-5,1.9040135507179778e-5,3.5915003552592433e-6,1.2156610428274065e-5,8
50025,1.3367434214992203e-5,1.7181191566813177e-5,2.1620658625799586e-7,4.208941981418363e-7,3.096475053166004e-5,1.2714212169419331e-5,3.6615645206114957e-7,4.090319849045249e-5,1.4516755526224778e-5,8
50721,8.354646384370128e-6,8.77337441709609e-6,7.567230519029855e-6,1.0943249151687744e-5,4.0183264048719135e-6,1.4721719354064489e-5,7.5062072672535665e-6,4.090319849045249e-5,1.2848493998603284e-5,8
51786,6.892583267105355e-6,5.666137644374558e-6,1.1026535899157789e-5,2.1044709907091814e-7,4.491070687798021e-6,4.5057383477591315e-5,1.0252380657712189e-5,6.1853617229464746e-6,1.1222737556969577e-5,8
51865,1.900682052444204e-5,1.846064200263969e-5,7.567230519029855e-6,2.1255157006162732e-5,1.016400208291131e-5,8.253085092430092e-6,2.142015244557725e-5,2.5340030284329106e-5,1.643338999469026e-5,8
52849,1.629156044952175e-5,1.3525618893023139e-5,1.1242742485415785e-5,1.031190785447499e-5,1.4182328487783225e-5,1.4721719354064489e-5,2.142015244557725e-5,1.2969306838436157e-5,1.4333167101037099e-5,8
55663,2.0051151322488308e-5,1.663285566574467e-5,1.4702047865543718e-5,1.3258167241467844e-5,2.1037120590211782e-5,2.498231163113974e-5,1.9589370185271503e-5,1.2969306838436157e-5,1.7902791417537965e-5,8
61184,3.25831208990435e-5,2.8879024122941294e-5,2.8106856213539462e-5,1.2626825944255089e-6,3.4510332653605847e-5,6.6916906154838584e-6,2.563095164428047e-6,1.3368362433464963e-4,3.3535053324764644e-5,8
