Family,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d
Anaerovoracaceae,0,0,0,0,0,0,0,0,56,0
Atopobiaceae,0,0,19,0,0,0,0,0,0,0
Bacillaceae,0,0,0,89,275,42396,22421,20982,10266,17815
Chthoniobacteraceae,13,0,0,0,0,0,0,0,0,0
Comamonadaceae,0,0,0,0,52,0,0,0,0,0
Enterobacteriaceae,9500,76,25,326,12,0,0,89,29,0
Enterococcaceae,0,0,0,0,2067,1771,3691,3170,3412,1710
Erwiniaceae,0,0,0,0,0,0,35,0,0,39
Finegoldia,0,0,0,0,10,0,0,0,0,0
Flavobacteriaceae,0,0,0,0,0,0,0,23,0,0
Gemmataceae,0,0,0,0,0,0,13,0,0,0
Lachnospiraceae,0,0,4,143,0,0,0,733,8270,11412
Lactobacillaceae,45695,62775,111374,66173,59883,40493,71903,46349,49202,44216
Muribaculaceae,0,0,0,158,0,0,0,0,0,0
Obscuribacteraceae,0,16,0,0,0,0,0,0,0,0
Paenibacillaceae,0,0,0,289,0,0,0,0,0,0
Propionibacteriaceae,0,0,0,0,37,0,0,0,0,0
Pseudomonadaceae,0,0,0,0,0,0,0,15,0,0
Sphingomonadaceae,0,0,0,22,28,0,0,36,0,0
Staphylococcaceae,0,0,0,38,0,0,0,0,0,0
Veillonellaceae,0,0,22,0,0,0,0,0,0,0
Xanthomonadaceae,19,29,22,0,32,0,22,67,63,0
