Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d,11d,12d,13d,14d,15d
Acholeplasmataceae,0.29413696060037525,0.502540031131973,0.07411368497701724,0.2883560839438808,0.33385320086944775,0.3069781508908278,0.1616380118787121,0.17110798329959515,0.19196896624030194,0.24204323981326203,0.22480599693818298,0.19583650445449255,0.14292255363683937,0.05699903629337849,0.10802207569399946,0.11901122329940866,0.13107717977145741,0.0865407332080162
Bacillaceae,0,0,0,0,0,0,0,4.665359311740891e-4,3.0142587544558605e-4,1.0877940443276073e-4,4.399162399479139e-5,0,0,0,0,0,0,0
Beijerinckiaceae,0,0,0,1.8067989845789707e-5,0,0,0,2.3722165991902834e-5,0,0,0,0,0,0,0,0,0,0
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,4.476876930653176e-5,4.360718646432932e-5,0,0,0,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,1.7596649597916557e-5,0,0,2.8069124898249422e-5,1.860311292089543e-4,2.1119111790498412e-4,0.001042821545790843,6.163138270007088e-4
Comamonadaceae,0,0,0,0,0,0,0,6.325910931174089e-5,0,0,0,1.52213815642208e-4,1.6352694924123495e-4,0,0,0,0,0
Enterobacteriaceae,0.3967753283302064,0.28658308496132634,0.4458198698402585,0.38519147552239075,0.3602313615207967,0.3639837964660166,0.24501406689590496,0.4071830718623482,0.2686621933319354,0.22843674930879754,0.1719104682468458,0.17918252227246273,0.15965681144252575,0.0819150628280579,0.12130263130697204,0.0860553521863309,0.08076927298872655,0.09108091173358808
Enterococcaceae,0,0,0,0,0,0.003555979177359044,0.002525789309159112,0.0025145495951417003,0.003263262738519606,0.0019670942301590897,0.0018916398317760299,0.00142364686394771,7.195185766614338e-4,4.397496234059076e-4,1.6536100374129272e-4,1.307373587030854e-4,1.6465603354592258e-4,2.978850163836759e-4
Erysipelotrichaceae,0,0,0,0,0,0,0,0,0.00027521492975466553,0.0019670942301590897,0.0028946488588572736,0.0011102654788019877,0.0015589569160997733,0.001253754245455141,0.0014262386572686497,0.0010559555895249205,0.0023820239519643464,0.001992748040635625
Hyphomicrobiaceae,0,0,0,0,0,0,5.0015629884338855e-5,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae,8.208255159474672e-5,6.0333281044489764e-5,1.479087971601511e-4,9.033994922894854e-5,0.0033034102491680075,0.03514737150817509,0.39586120662707097,0.16036184210526316,0.3059603690501153,0.2542627929112088,0.2950958137570606,0.2532569279670502,0.2932147217861504,0.3871387269716221,0.27092333450464046,0.29271088941630796,0.28344987321485415,0.3387774388051729
Lactobacillaceae,0.0637546904315197,0.04453802806704234,0.17132389751058116,0.08046579277822447,0.04788102810968795,0.045366229195688834,0.026695842450765863,0.04218591852226721,0.017076431117634724,0.0074151294021665235,0.006563550300022876,0.005273761024309442,0.0024965114250828533,7.391536223205681e-4,0.0010335062733830794,6.23516633814715e-4,0.0038639282538776494,0.0038519614187544297
Oscillospiraceae,0,0,0,0,0,0,0,0.003922064777327935,0.018190396309498844,0.01180256538095454,0.0011789755230604093,9.222366477145543e-4,0.013649049363335077,0.12632977479205457,0.04796502614770872,0.049418721589766276,0.02459961141176083,0.02154016825367477
Paenibacillaceae,0,0,0,0,0,0,0,4.744433198380567e-5,0.0030535751729922414,0.0019308344286815028,0.0017244716605958224,0.0016653982182029815,0.0023438862724577013,0.0015531582443698013,7.957998305049711e-4,3.218150368075948e-4,6.586241341836902e-5,1.540784567501772e-4
Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,1.7907507722612705e-5,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,0,1.5814777327935223e-5,7.732228978821556e-4,0.006907492181480306,0.01569621144134157,0.024345256748891972,0.03027428920286063,0.05164718981277893,0.10165567704995969,0.06781246228730037,0.0604507184491597,0.05016794551785769
Sutterellaceae,0.24525093808630394,0.16627852255861378,0.30859463887498295,0.24587823981642923,0.25473099925089954,0.2449684727619327,0.16821506720850266,0.2121077935222672,0.1904749423359195,0.2431582287086978,0.27817663516866387,0.33676859023145456,0.3529565672422815,0.2919563244416583,0.3465243184026127,0.3311979564745163,0.3646911601664124,0.37246926134787833
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051450179009614225,0.04744289179903182,0.03251055437428738
