Family,3h,6h,12h,1d,2d,3d,4d,5d,6d
Anaeroplasmataceae,0.002109074991543803,0.0023772792797349587,0.006321541456097431,0.001645069852196801,4.484879548949257e-4,1.8219361107737155e-4,1.9563516215981218e-4,6.681174359561715e-4,0.0016941768720654437
Atopobiaceae,0,0,0,1.0123506782749544e-4,0,0,0,0,0
Bacteroidaceae,0.029626534551025686,0.04946764118256999,0.08548366935123841,0.08698623203077546,0.11310439091064411,0.052745050406899065,0.05229980001738979,0.06721261405719085,0.09310712038336802
Burkholderiaceae,9.152589585944807e-4,0.001365671075592423,0.0010714477044232932,0.0017463049200242965,0.0020502306509482316,2.1255921292360013e-4,8.694896095991653e-5,0,0
Christensenellaceae,1.1938160329493225e-4,0,8.928730870194111e-5,7.592630087062159e-4,4.698445241756364e-4,1.2146240738491437e-4,0,7.635627839499103e-5,1.936202139503364e-4
Clostridiales_vadinBB60_group,0.018902087188364274,0.020383905313472093,0.03041125734388114,0.008478436930552743,0.007197163847599521,0.014909510506498238,0.006608121032953656,0.013763219180697133,0.014303693305581101
Coriobacteriales_Incertae_Sedis,0,0,3.5714923480776445e-5,0,0,0,0,0,0
Deferribacteraceae,0.008177639825702859,0.0037935307655345084,0.00551795567777996,4.555578052237295e-4,0.0025841448829660003,0.0016093768978501155,0.011933744891748544,0.00442866414690948,0.011108959775400553
Desulfovibrionaceae,0.017350126345530154,0.01052072532308237,0.0024643297201735743,0.003264830937436728,0.002114300358790364,0.006073120369245718,0.016368141900704285,0.014679494521437027,0.009826225857979574
Eggerthellaceae,4.1783561153226284e-4,0,1.2500223218271756e-4,0,1.9220912352639673e-4,0,1.9563516215981218e-4,2.0997976558622533e-4,0
Enterobacteriaceae,0.04039077578145208,0.053033560102172424,0.0023214700262504688,0,6.406970784213224e-5,4.2511842584720027e-4,0,0,1.2101263371896026e-4
Erysipelotrichaceae,1.3927853717742096e-4,4.299334867605776e-4,0.001375024554009893,9.364243774043329e-4,0.0016658124038954384,1.2146240738491437e-4,1.0868620119989566e-4,0,0
Family_XIII,4.974233470622177e-4,2.023216408285071e-4,5.000089287308702e-4,0,7.261233555441655e-4,4.858496295396575e-4,4.564820450395618e-4,1.7180162638872983e-4,3.3883537441308875e-4
Gemmatimonadaceae,0,0,0,0,6.406970784213224e-5,0,0,0,0
Lachnospiraceae,0.20066057820489863,0.14946511216205963,0.14534188110501972,0.09250354322737396,0.13100119596787974,0.19364144297339975,0.263564037909747,0.2690795250639484,0.3595285347790309
Lactobacillaceae,6.565988181221274e-4,4.55223691864141e-4,2.500044643654351e-4,6.074104069649726e-4,0.004079104732615753,0.001275355277541601,0.0017389792191983306,9.162753407398923e-4,0.0013069364441647708
Marinifilaceae,0.021986111940150023,0.024582079360663613,0.026179038911409134,0.010275359384490788,0.013027507261233556,0.019464350783432526,0.015216068167985392,0.012293360821593555,0.016312503025315846
Muribaculaceae,0.45225730714896833,0.508054930325485,0.48113359167127984,0.5574002834581899,0.507090381001196,0.4723065711162395,0.44307016781149466,0.43179475432367426,0.3230553269761363
Peptococcaceae,0.008814341709942499,0.004097013226777269,0.004696512437722102,0.005643855031382871,0.0037373996241243804,0.007439572452326005,0.016194243978784453,0.006509372733172985,0.007478580763831744
Prevotellaceae,0.02821385224536899,0.04276573683012569,0.05509026946909767,0.07519234662887225,0.0927942935246882,0.1098020162759626,0.038344491783323185,0.011930668499217348,0.014932959000919696
Rikenellaceae,0.010724447362661413,0.009939050605700411,0.02200039286415829,0.0172352702976311,0.015504869297796002,0.0166707154135795,0.01002086775063038,0.010346275722521284,0.011471997676557433
Ruminococcaceae,0.15402216518434508,0.10609241040944842,0.11185914034179181,0.11211783761895121,0.056488125747479925,0.08286772743835782,0.10994696113381446,0.1489710991486275,0.12018974780967133
Saccharimonadaceae,0.0014922700411866532,0.007359449685136946,0.005696530295183843,0.008858068434905851,0.00486929779600205,0.0034009474067776026,0.0025649943483175377,0.0018134616118810369,0.009850428384723366
Sphingobacteriaceae,0,0,0,0,6.406970784213224e-5,0,0,0,0
Streptococcaceae,0,0,1.2500223218271756e-4,0,0,0,0,0,0
Tannerellaceae,0.0024672198014286,0.0053109430717483115,0.011660922516473509,0.01579267058108929,0.04066290791047326,0.016063403376654926,0.01102078080166942,0.005134959722063147,0.00484050534875841
Veillonellaceae,0,0,0,0,0,0,6.52117207199374e-5,0,0
