Family,3h,6h,12h,1d,2d,3d,4d,5d,6d
Actinomycetaceae,0,0,0,0,0,0,3,0,0
Anaeroplasmataceae,371,593,352,708,237,214,3,2,3
Atopobiaceae,0,3,0,0,0,0,0,0,0
Bacteroidaceae,5325,5067,8593,14706,5618,10127,2604,12997,5628
Barnesiellaceae,41,0,32,0,0,0,0,0,0
Burkholderiaceae,54,41,38,15,0,9,0,8,0
Christensenellaceae,6,3,0,3,0,0,8,0,0
Clostridiaceae_1,0,0,0,0,0,0,17,0,0
Clostridiales_vadinBB60_group,1374,1148,838,1278,942,2623,491,974,624
Deferribacteraceae,57,146,320,232,780,155,117,101,757
Desulfovibrionaceae,201,272,315,228,373,126,578,93,649
Eggerthellaceae,20,34,0,10,15,15,13,10,5
Enterobacteriaceae,30,262,7,2,4,0,180,4,0
Erysipelotrichaceae,36,4,0,25,0,4,0,7,0
Family_XIII,14,15,9,24,10,9,33,2,12
Lachnospiraceae,6075,7473,13682,13928,14788,7621,16255,5967,15637
Lactobacillaceae,98,54,24,243,113,166,76,80,97
Marinifilaceae,1061,1260,1765,1499,905,1247,507,687,902
Muribaculaceae,24843,27712,20274,16497,9628,23685,16204,13946,13856
Paenibacillaceae,0,4,0,0,0,0,82,0,0
Peptococcaceae,98,247,216,190,380,78,310,34,377
Prevotellaceae,1488,2396,1573,957,354,549,131,378,328
Rikenellaceae,993,1366,1114,2487,1768,4116,736,2584,1330
Ruminococcaceae,2442,3342,7944,5047,5048,2429,3764,1200,4493
Saccharimonadaceae,815,530,419,1135,290,735,1150,191,229
Sphingomonadaceae,0,0,3,0,0,0,51,0,0
Tannerellaceae,77,149,311,368,68,129,5,232,94
Veillonellaceae,0,0,0,0,0,3,0,0,0
Xanthobacteraceae,0,0,0,0,0,0,10,0,0
