Family,3h,6h,12h,1d,2d,3d,4d,5d,6d
Anaeroplasmataceae,106,94,354,65,21,6,9,35,70
Atopobiaceae,0,0,0,4,0,0,0,0,0
Bacteroidaceae,1489,1956,4787,3437,5296,1737,2406,3521,3847
Burkholderiaceae,46,54,60,69,96,7,4,0,0
Christensenellaceae,6,0,5,30,22,4,0,4,8
Clostridiales_vadinBB60_group,950,806,1703,335,337,491,304,721,591
Coriobacteriales_Incertae_Sedis,0,0,2,0,0,0,0,0,0
Deferribacteraceae,411,150,309,18,121,53,549,232,459
Desulfovibrionaceae,872,416,138,129,99,200,753,769,406
Eggerthellaceae,21,0,7,0,9,0,9,11,0
Enterobacteriaceae,2030,2097,130,0,3,14,0,0,5
Erysipelotrichaceae,7,17,77,37,78,4,5,0,0
Family_XIII,25,8,28,0,34,16,21,9,14
Gemmatimonadaceae,0,0,0,0,3,0,0,0,0
Lachnospiraceae,10085,5910,8139,3655,6134,6377,12125,14096,14855
Lactobacillaceae,33,18,14,24,191,42,80,48,54
Marinifilaceae,1105,972,1466,406,610,641,700,644,674
Muribaculaceae,22730,20089,26943,22024,23744,15554,20383,22620,13348
Peptococcaceae,443,162,263,223,175,245,745,341,309
Prevotellaceae,1418,1691,3085,2971,4345,3616,1764,625,617
Rikenellaceae,539,393,1232,681,726,549,461,542,474
Ruminococcaceae,7741,4195,6264,4430,2645,2729,5058,7804,4966
Saccharimonadaceae,75,291,319,350,228,112,118,95,407
Sphingobacteriaceae,0,0,0,0,3,0,0,0,0
Streptococcaceae,0,0,7,0,0,0,0,0,0
Tannerellaceae,124,210,653,624,1904,529,507,269,200
Veillonellaceae,0,0,0,0,0,0,3,0,0
