Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d,11d,12d,13d,14d,15d
Acholeplasmataceae,25084,41647,6514,31919,27186,33495,12927,21639,14648,26701,25551,21872,13110,6092,10452,11834,11941,8425
Bacillaceae,0,0,0,0,0,0,0,59,23,12,5,0,0,0,0,0,0,0
Beijerinckiaceae,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,2,0,0,3,18,21,95,60
Comamonadaceae,0,0,0,0,0,0,0,8,0,0,0,17,15,0,0,0,0,0
Enterobacteriaceae,33837,23750,39184,42638,29334,39715,19595,51494,20500,25200,19539,20012,14645,8755,11737,8557,7358,8867
Enterococcaceae,0,0,0,0,0,388,202,318,249,217,215,159,66,47,16,13,15,29
Erysipelotrichaceae,0,0,0,0,0,0,0,0,21,217,329,124,143,134,138,105,217,194
Hyphomicrobiaceae,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae,7,5,13,10,269,3835,31659,20280,23346,28049,33540,28285,26896,41377,26214,29106,25822,32981
Lactobacillaceae,5437,3691,15058,8907,3899,4950,2135,5335,1303,818,746,589,229,79,100,62,352,375
Oscillospiraceae,0,0,0,0,0,0,0,496,1388,1302,134,103,1252,13502,4641,4914,2241,2097
Paenibacillaceae,0,0,0,0,0,0,0,6,233,213,196,186,215,166,77,32,6,15
Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,0,2,59,762,1784,2719,2777,5520,9836,6743,5507,4884
Sutterellaceae,20915,13780,27123,27217,20743,26729,13453,26824,14534,26824,31617,37612,32376,31204,33529,32933,33223,36261
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5116,4322,3165
