Family,3h,6h,12h,1d,2d,3d,4d,5d,6d
Acetobacteraceae,0,0,0,0,0,0,0,2,0
Anaeroplasmataceae,8,12,3,10,13,9,214,3,0
Atopobiaceae,6,0,0,0,0,0,0,0,0
Bacteroidaceae,1132,933,2283,2194,2972,1215,1684,2910,1421
Barnesiellaceae,0,0,0,0,0,0,56,0,0
Burkholderiaceae,189,87,52,25,0,0,7,0,0
Christensenellaceae,25,7,5,9,0,9,40,14,4
Clostridiaceae_1,0,0,0,0,0,0,0,7,0
Clostridiales_vadinBB60_group,210,333,266,222,266,344,615,416,493
Deferribacteraceae,17,65,43,44,22,27,35,37,246
Desulfovibrionaceae,506,247,436,129,197,472,262,233,847
Eggerthellaceae,20,13,3,4,11,35,22,58,12
Enterobacteriaceae,2365,830,16,0,7,0,4,55,0
Erysipelotrichaceae,78,48,11,9,12,0,0,5,0
Family_XIII,43,23,29,13,6,17,16,24,6
Lachnospiraceae,8850,6481,11173,9137,14168,14381,7958,15028,17941
Lactobacillaceae,96,39,80,78,64,53,182,707,37
Marinifilaceae,261,360,335,215,237,235,289,435,127
Muribaculaceae,32695,24463,31209,22746,21200,26651,26412,26076,20943
Paenibacillaceae,0,0,0,0,0,0,0,65,0
Peptococcaceae,451,417,324,283,365,604,192,370,623
Prevotellaceae,3158,2258,2484,1337,921,1392,1651,999,673
Rhizobiaceae,0,0,0,0,0,0,0,9,0
Rikenellaceae,254,297,526,732,597,333,751,269,331
Ruminococcaceae,3984,3468,4528,3097,4204,6480,3473,4242,5740
Saccharimonadaceae,594,396,991,672,501,354,309,528,133
Sphingomonadaceae,0,0,0,0,0,0,0,88,0
Tannerellaceae,120,185,343,177,186,64,118,215,82
Xanthobacteraceae,0,0,0,0,0,0,0,16,0
