Family,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d
Anaerovoracaceae,0,0,0,0,0,0,0,0,7.854357765996241e-4,0
Atopobiaceae,0,0,1.7045556492562754e-4,0,0,0,0,0,0,0
Bacillaceae,0,0,0,0.0013236562658020762,0.004407333803448939,0.5007795889440113,0.2285874496610083,0.29360237322288146,0.1439872086173525,0.2369268007234812
Chthoniobacteraceae,2.3539210893222518e-4,0,0,0,0,0,0,0,0,0
Comamonadaceae,0,0,0,0,8.33386755561254e-4,0,0,0,0,0
Enterobacteriaceae,0.17201731037354917,0.0012083439328415162,2.2428363806003624e-4,0.004848448793836818,1.9232002051413553e-4,0,0,0.0012453822903839696,4.067435271676625e-4,0
Enterococcaceae,0,0,0,0,0.033127123533559844,0.020918969997637607,0.0376306264974257,0.044357998432777344,0.04785547981710567,0.022741781040536226
Erwiniaceae,0,0,0,0,0,0,3.568333588214304e-4,0,0,5.186721991701245e-4
Finegoldia,0,0,0,0,1.602666837617796e-4,0,0,0,0,0
Flavobacteriaceae,0,0,0,0,0,0,0,3.218403671778798e-4,0,0
Gemmataceae,0,0,0,0,0,0,1.325381047051027e-4,0,0,0
Lachnospiraceae,0,0,3.58853820896058e-5,0.0021267735506707514,0,0,0,0.010256912571364603,0.11599203343712307,0.15177146504947334
Lactobacillaceae,0.8274032628967715,0.9980761892648181,0.999174636211939,0.9841607424373122,0.9597249823706648,0.47830144105835104,0.7330682571239231,0.6485643121011978,0.6900894835759769,0.5880412809873391
Muribaculaceae,0,0,0,0.002349861685356495,0,0,0,0,0,0
Obscuribacteraceae,0,2.543881963876876e-4,0,0,0,0,0,0,0,0
Paenibacillaceae,0,0,0,0.004298164728278652,0,0,0,0,0,0
Propionibacteriaceae,0,0,0,0,5.929867299185845e-4,0,0,0,0,0
Pseudomonadaceae,0,0,0,0,0,0,0,2.0989589163774767e-4,0,0
Sphingomonadaceae,0,0,0,3.271959308724233e-4,4.487467145329829e-4,0,0,5.037501399305944e-4,0,0
Staphylococcaceae,0,0,0,5.651566078705494e-4,0,0,0,0,0,0
Veillonellaceae,0,0,1.973696014928319e-4,0,0,0,0,0,0,0
Xanthomonadaceae,3.440346207470983e-4,4.610786059526838e-4,1.973696014928319e-4,0,5.128533880376947e-4,0,2.2429525411632768e-4,9.375349826486063e-4,8.836152486745772e-4,0
