Family,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d
Acetobacteraceae,0,0,0,0,0,18,0,0,0,0
Anaerococcus,0,0,91,0,0,0,0,0,0,0
Bacillaceae,49,0,68,3977,88054,21530,22774,31248,29838,8755
Chitinophagaceae,0,0,0,0,24,0,0,0,0,0
Chthoniobacteraceae,0,0,69,0,0,0,0,0,0,0
Comamonadaceae,0,0,0,0,0,75,0,0,103,0
Corynebacteriaceae,0,0,0,29,0,117,43,214,0,269
Enterobacteriaceae,63,462,6775,0,548,4930,413,783,48,129
Enterococcaceae,94,149,337,20843,7120,9435,4490,9435,19081,4174
Geodermatophilaceae,0,0,0,0,0,0,0,0,25,0
Lachnospiraceae,0,203,0,0,23,0,0,0,0,0
Lactobacillaceae,25239,147554,117887,142706,107116,74409,45443,104841,86667,76027
Leptotrichiaceae,0,0,0,45,0,26,0,61,35,585
Microbacteriaceae,0,178,0,0,0,0,0,0,48,0
Micrococcaceae,0,0,0,0,0,0,69,0,0,0
Moraxellaceae,0,0,0,0,0,0,0,0,0,47
Muribaculaceae,0,0,0,0,0,0,104,0,0,0
Obscuribacteraceae,0,0,0,0,0,0,0,16,0,0
Paenibacillaceae,36,0,0,0,0,0,0,0,0,34
Propionibacteriaceae,0,0,0,188,0,18,0,22,0,0
Rhizobiaceae,0,0,0,90,0,0,0,0,0,11
Roseiflexaceae,0,0,0,0,0,0,0,0,73,0
Rubinisphaeraceae,0,0,0,0,0,0,38,0,0,0
Sphingomonadaceae,0,18,0,0,0,74,17,0,38,0
Staphylococcaceae,0,0,0,195,0,982,0,0,0,0
Verrucomicrobiaceae,0,0,0,0,0,61,23,0,0,0
Xanthomonadaceae,0,0,77,0,36,105,56,25,110,44
