Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d,11d,12d,13d,14d,15d
Acholeplasmataceae,0.011390216617512458,0.010341028890915767,0.4326383723034239,0.20361954917554123,0.3185216562533093,0.3311312452746,0.33604141355448736,0.3292525417554395,0.2662628781805766,0.17467104538141104,0.24861789920679433,0.21500107021753578,0.2817921577816037,0.24550937154433014,0.15389841652512193,0.2542239731729337,0.2253477058479178,0.25939093174306954
Bacillaceae,0,0,0,1.0617627384984552e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae,3.698122278413136e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijerinckiaceae,0,0,0,0,0,0,0,0,0,3.306076568733332e-5,0,1.013890297069857e-4,1.4262283391570991e-4,0,0,0,0,0
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,1.013890297069857e-4,2.6487097727203267e-4,3.717023036250267e-5,0,3.517534911533997e-5,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601916125375187e-4,2.410826804010739e-4,5.745307022172196e-4,9.689335674922788e-4,0.0018870481770697583
Comamonadaceae,0,0,0,0,0,0,0,1.3246933886760793e-4,1.9793553239709827e-5,0,0,2.5910529814007457e-4,7.436762054176303e-4,0,0,0,0,0
Desulfovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.127704160889102e-5
Enterobacteriaceae,0.46526076384715664,0.5055495670508523,0.34163332596151913,0.3645509274497521,0.3279678068410463,0.33496114326793175,0.3615762505942634,0.27789859472109685,0.24763714458200964,0.24018646271847655,0.15330302059129877,0.14192211069428956,0.10357473945864447,0.15327144489977976,0.12988877321790587,0.11462473765052118,0.10941884172066452,0.08701272975593481
Enterococcaceae,0,0,0,0,4.235941967595044e-5,0.011378143553005045,0.005493634778934023,0.00516630421583671,0.0039686074245618205,0.001983645941239999,0.001632481371684961,0.002399540369731995,0.002832081987754811,0.0014868092145001069,7.122897375486275e-4,0.0014421893137289388,0.001019398857465835,4.1702722145188026e-4
Erysipelotrichaceae,0,0,0,0,0,0,0,0,6.531872569104243e-4,9.257014392453329e-4,0.0017426488262158482,0.0020728423851205965,0.004961237151210766,0.0036612676907065134,0.0011615801873869926,0.0026967767655093977,0.002977452108439815,0.0035968597850224676
Lachnospiraceae,3.790575335373464e-4,2.7244406012721955e-4,8.041979131064156e-5,2.0173492031470649e-4,9.530869427088849e-5,0,0.015508953568221436,0.1534878073012684,0.21449283968211552,0.23047761786162968,0.2964906658120343,0.31572543850755347,0.3492425708784548,0.2917584306728741,0.3030518875678045,0.21948245336334962,0.22077555057631362,0.2559191801244826
Lactobacillaceae,0.09489381766408106,0.09562786510465406,0.032358913528619394,0.1691388042428039,0.10219209996823043,0.08569551691228418,0.06067297026041942,0.03422124587413205,0.017180804212068128,0.011582288245795774,0.007271051999038538,0.00867439476381989,0.009993785719379387,0.004729911813628465,0.0018409950139718371,0.006226036793415175,0.0044914108076465,0.004952198254741078
Marinifilaceae,2.7735917088098518e-5,3.553618175572429e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacteriaceae,0,0,0,0,0,0,0,2.2078223144601322e-5,0,0,0,0,0,0,0,0,0,0
Muribaculaceae,9.984930151715466e-4,4.027433932315419e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1468248589926707e-4
Oscillospiraceae,0,2.3690787837149524e-5,0,0,0,0,0,0,2.4741941549637285e-4,0.02061889753366688,0.011006730229949524,0.0023432131310058917,1.0187345279693565e-4,3.717023036250267e-5,0.004383321461837708,0.012241021492138309,0.01165748198389148,0.013251039961633496
Oxalobacteraceae,0,0,0,0,0,0,0,2.2078223144601322e-5,0,0,0,0,0,0,0,0,0,0
Paenibacillaceae,0,0,0,0,0,0,0.0011938090961914319,0.0059611202490423565,2.5731619211622777e-4,0.0013224306274933328,0.0010816440990305265,0.0012504646997194904,0.0022106539256935035,0.002824937507550203,0.0011287052764232097,9.849097752295192e-4,7.166071176244979e-4,1.459595275081581e-4
Prevotellaceae,1.849061139206568e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacteriaceae,0,0,0,0,0,0,0,0,0,2.2040510458222213e-5,0,0,0,0,0,0,0,0
Reyranellaceae,0,0,0,2.1235254769969104e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,3.311733471690198e-5,0,0,0,6.759268647132381e-5,1.3243548863601634e-4,0,0,4.690046548711996e-5,0,0
Rikenellaceae,5.5471834176197035e-5,4.738157567429905e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,4.055561188279428e-4,0.0059799716791801225,0.014384879150288533,0.12607528354610706,0.1232309730674077,0.08964654110902522,0.06315877268888727
Sutterellaceae,0.4269389717371005,0.38769974295495196,0.19328896841512697,0.26245713132943316,0.2511807688234671,0.23683395099217908,0.21951296814748297,0.1938026427633104,0.24928000950090554,0.31817680897489586,0.2788538578639532,0.30967589306837,0.23802732246004013,0.2819826600875359,0.2699578105309298,0.246696448462251,0.301186943620178,0.2763847910172337
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,5.575534554375401e-5,0.007659854254561394,0.017493873626695744,0.0317931326833404,0.03373750221545711
