C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,time
-3.9333334209808375,-3.6503407902734044,-3.779496936881005,-3.6619556844988357,-3.660443871036287,-3.8445886582307582,-3.8885562488062178,-3.8856358003503586,-4.153635348353105,-3.8818848461846773,-3.2975032420409645,-3.9802643756965717,-3.955055069672471,-3.909162162128281,-3.8312476824095665,-3.9054919813789057,-4.022569717671598,-4.05493196374012,-3.820505112156111,-3.8911789782982744,-3.567409188254654,-3.9856383152212023,-4.193312086725418,-4.144851371730862,-4.447144538029095,10
-3.9330714443767474,-3.6520210113217497,-3.7796268384725686,-3.6613934152334355,-3.661690811509854,-3.8450753191536418,-3.8891955762876655,-3.8858649055194006,-4.154488608687856,-3.8812115974860375,-3.297943093625921,-3.9793533375255303,-3.956284192421865,-3.909795645725963,-3.836332829057206,-3.9034053902559016,-4.022042591113721,-4.055813175379514,-3.8199588061002703,-3.892551457894924,-3.566414510110478,-3.987615134686362,-4.205287013217308,-4.143445073864415,-4.444691438316478,11
-3.932360365022787,-3.6565816113101164,-3.7799794285068113,-3.6598672557987775,-3.6650753642238216,-3.8463962559443265,-3.89093089373731,-3.8864867624068005,-4.156804601025039,-3.879384208161157,-3.2991369764993737,-3.9768805196327044,-3.9596203827416474,-3.911515101205385,-3.8501353699579415,-3.897741785779175,-4.020611819028055,-4.058205035543583,-3.8184759753772752,-3.8962767596572574,-3.563714669433428,-3.992980787520367,-4.237790385123869,-4.139627979655489,-4.438033024810803,12
-3.931312458606425,-3.6633024955034976,-3.7804990348730643,-3.657618178737176,-3.6700631261180883,-3.8483428996358606,-3.8934882036631002,-3.887403183082968,-4.160217642364044,-3.8766912133665965,-3.300896382839198,-3.9732363669485387,-3.9645368737392217,-3.9140490355961113,-3.870475956548498,-3.8893954212871567,-4.018503312796546,-4.061729882101157,-3.8162907511539124,-3.901766678043854,-3.559735956856722,-4.000888065381005,-4.285690091091431,-4.134002788189703,-4.428220625960333,13
-3.9300400008151284,-3.6714635691668898,-3.781129985460657,-3.654887156590946,-3.6761196941325562,-3.8507066812612964,-3.8965935085729893,-3.8885159796183144,-4.164362049704264,-3.873421148258916,-3.303032804823271,-3.9688113244034815,-3.9705068985219905,-3.917125955927709,-3.895175240265603,-3.879260550118278,-4.015942983801143,-4.066010052921069,-3.8136372645969727,-3.9084330075132923,-3.5549046630135797,-4.010489759926066,-4.343854019766329,-4.1271721985526755,-4.416305570213336,14
-3.9286552673363637,-3.680344737565287,-3.7818166081589197,-3.6519151619024015,-3.682710665207124,-3.8532790318536816,-3.899972810974927,-3.889726964083251,-4.168872140045093,-3.869862547994675,-3.3053577346294682,-3.9639958369279773,-3.977003690197357,-3.9204743692297415,-3.922053872545982,-3.8682314256109684,-4.013156743423792,-4.070667885872149,-3.8107496468732442,-3.9156875425241524,-3.5496470785372187,-4.020938662813339,-4.407150059794894,-4.119738909830028,-4.403339186018073,15
-3.9272705338575995,-3.6892259059636845,-3.7825032308571824,-3.648943167213857,-3.6893016362816917,-3.855851382446067,-3.903352113376865,-3.8909379485481868,-4.173382230385922,-3.866303947730434,-3.3076826644356654,-3.959180349452473,-3.9835004818727233,-3.9238227825317735,-3.9489325048263613,-3.8572023011036594,-4.010370503046441,-4.075325718823231,-3.8078620291495158,-3.922942077535012,-3.5443894940608582,-4.03138756570061,-4.470446099823459,-4.112305621107382,-4.39037280182281,16
-3.9259980760663034,-3.6973869796270766,-3.7831341814447756,-3.646212145067627,-3.6953582042961597,-3.858215164071502,-3.906457418286754,-3.8920507450835338,-4.177526637726143,-3.8630338826227537,-3.309819086419738,-3.954755306907416,-3.989470506655492,-3.9268997028633708,-3.9736317885434667,-3.8470674299347807,-4.007810174051038,-4.079605889643142,-3.8052085425925766,-3.9296084070044515,-3.539558200217716,-4.040989260245672,-4.528610028498357,-4.105475031470355,-4.378457746075813,17
-3.924950169649941,-3.7041078638204583,-3.783653787811028,-3.643963068006026,-3.700345966190427,-3.860161807763037,-3.9090147282125454,-3.892967165759702,-4.1809396790651485,-3.860340887828193,-3.311578492759563,-3.951111154223251,-3.994386997653067,-3.929433637254098,-3.9939723751340237,-3.838721065442763,-4.00570166781953,-4.083130736200717,-3.803023318369214,-3.935098325391048,-3.5355794876410105,-4.048896538106311,-4.57650973446592,-4.099849840004569,-4.368645347225344,18
-3.924239090295981,-3.7086684638088245,-3.7840063778452713,-3.642436908571368,-3.703730518904394,-3.8614827445537214,-3.910750045662189,-3.8935890226471015,-4.18325567140233,-3.8585134985033127,-3.3127723756330156,-3.9486383363304243,-3.9977231879728494,-3.93115309273352,-4.007774916034759,-3.833057460966036,-4.004270895733862,-4.085522596364785,-3.801540487646218,-3.9388236271533814,-3.5328796469639605,-4.054262190940315,-4.60901310637248,-4.096032745795642,-4.361986933719668,19
