C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-5.289862056895551,-5.393992552971954,-5.162234836000295,-3.390555470625123,-4.916435622693991,-4.080644057150479,-5.273757201807907,-4.339393820988503,-4.627638415262914,-5.105915924851814,-4.8390125212407185,-4.262385036948136,-5.099818123894989,20
-5.349576886578089,-5.259899216923329,-4.791569922862847,-3.2597820421225685,-5.122483095443365,-3.9422681717617367,-4.922628861965309,-4.184966497909341,-4.368251202908296,-4.926362516529748,-4.540225950945907,-4.112414029163547,-4.837533089066203,21
-5.402778838399542,-5.14071084295435,-4.458938707994612,-3.1408810850368503,-5.303193218922461,-3.818275210813319,-4.611622709371627,-4.046771325113769,-4.136743858086422,-4.7648737844054665,-4.273185052417253,-3.9774008084488566,-4.605634108471406,22
-5.449467912359914,-5.0364274310650226,-4.164341191395594,-3.0338525993679704,-5.458565993131276,-3.708665174305227,-4.340738744026863,-3.924808302601791,-3.9331163807972955,-4.621449728478973,-4.03788982565476,-3.8573453748040643,-4.4041211821105986,23
-5.489644108459201,-4.947048981255343,-3.9077773730657857,-2.9386965851159257,-5.588601418069814,-3.61343806223746,-4.109976965931015,-3.8190774303734027,-3.75736877104091,-4.496090348750263,-3.834340270658424,-3.75224772822917,-4.232994309983779,24
-5.5233074266974045,-4.872575493525313,-3.6892472530051927,-2.8554130422807185,-5.693299493738072,-3.5325938746100185,-3.9193373750840825,-3.729578708428606,-3.6095010288172693,-4.38879564521934,-3.6625363874282475,-3.6621078687241733,-4.092253492090947,25
-5.550457867074525,-4.813006967874932,-3.508750831213813,-2.784001970862348,-5.772660220136052,-3.4661326114229025,-3.7688199714860673,-3.6563121367674007,-3.489513154126373,-4.299565617886203,-3.52247817596423,-3.586925796289075,-3.981898728432104,26
-5.571095429590561,-4.768343404304201,-3.3662881076916475,-2.7244633708608146,-5.826683597263754,-3.4140542726761116,-3.6584247551369677,-3.5992777153897886,-3.397405146968222,-4.228400266750852,-3.4141656362663704,-3.526701510923875,-3.9019300190072514,27
-5.585220114245512,-4.738584802813117,-3.261859082438696,-2.676797242276118,-5.855369625121177,-3.376358858369646,-3.588151726036786,-3.5584754442957673,-3.333177007342814,-4.175299591813287,-3.33759876833467,-3.4814350126285727,-3.8523473638163868,28
-5.592831921039382,-4.723731163401683,-3.1954637554549588,-2.6410035851082583,-5.858718303708321,-3.3530463685035063,-3.5580008841855206,-3.5339053234853384,-3.296828735250151,-4.1402635930735086,-3.292777572169129,-3.451126301403169,-3.833150762859511,29
-5.593930849972168,-4.723782486069899,-3.1671021267404367,-2.617082399357235,-5.836729633025187,-3.344116803077692,-3.567972229583172,-3.525567352958501,-3.2883603306902325,-4.1232922705315165,-3.279702047769746,-3.4357753772476634,-3.844340216136624,30
-5.5875606208806285,-4.757989926454368,-3.212711911831413,-2.6126645995834084,-5.772684377056533,-3.364498454668051,-3.6592192658336007,-3.5504734753206106,-3.335570905976042,-4.142892087339592,-3.329339951171929,-3.450109535553382,-3.917707436647615,31
-5.573189967007408,-4.837048571019869,-3.352258508248047,-2.631989582764755,-5.657294071349445,-3.4224848191500548,-3.854605050494506,-3.6180747697968627,-3.453904412392571,-4.20934441191567,-3.4588955912842354,-3.502310607093283,-4.0709144871702,32
-5.551456408461334,-4.948124316008668,-3.561783438966147,-2.6699700725277027,-5.501704873247419,-3.5081237014731372,-4.126693914496647,-3.7170299413170214,-3.6248281083978293,-4.31031160215823,-3.647723797416396,-3.582560394939816,-4.282766892371121,33
-5.522997465351233,-5.078383057663029,-3.8173282269615267,-2.7215187924986783,-5.317062940093949,-3.611462906586735,-4.448050188770788,-3.835997694810851,-3.82980925244983,-4.43345601596575,-3.8751793988781404,-3.681040702165431,-4.5320701769171166,34
-5.488450657785934,-5.2149906922252125,-4.094934395209991,-2.781548466304108,-5.114514429232531,-3.7225502394402796,-4.791238204247682,-3.9636367352081137,-4.0503151030065805,-4.566440011236707,-4.120617224979194,-3.7879333318425763,-4.797629865474927,35
-5.448453505874263,-5.345113115937487,-4.370643466687354,-2.844971817570421,-4.9052054980066595,-3.831433504983208,-5.128822291858095,-4.088605767438575,-4.267812918526094,-4.696925945869582,-4.3633921050292885,-3.8934200870437023,-5.058251482711294,36
-5.40364352972505,-5.455916225042113,-4.620496964369426,-2.9067015699240426,-4.700282303759828,-3.9281605081649538,-5.433366782532783,-4.199563496431998,-4.46376995746638,-4.812576177762852,-4.582858868338153,-3.987682770841259,-5.29274055329296,37
-5.35465824944712,-5.534565915781355,-4.820536411232016,-2.9616504469914005,-4.510891003835532,-4.002779053934951,-5.677436007202505,-4.285168627118146,-4.619653478285449,-4.901053064814998,-4.758372344215514,-4.060903186307695,-5.479902601886661,38
-5.302135185149303,-5.56822808439748,-4.946803330250935,-3.0047311723989227,-4.3481777555772645,-4.045336947242637,-5.8335942967980285,-4.334079864426785,-4.716930739441315,-4.950018964924497,-4.869287361971104,-4.103263136515461,-5.598543153159141,39
-5.246711856940425,-5.544068627132747,-4.975339244401992,-3.0308564697730356,-4.223288716328522,-4.045881993037443,-5.874405982250105,-4.334955913287676,-4.737068999391984,-4.947136235989827,-4.894958750914649,-4.104944424537006,-5.6274677317771395,40
-5.18220770474378,-5.4513782173589105,-4.896575303414187,-3.041780641456286,-4.130311593153918,-3.9989499852984074,-5.786931311903045,-4.2814577656234745,-4.671527830362618,-4.885582572777013,-4.826476228710528,-4.0611285247047295,-5.556127175474041,41
