C1,C2,C3,C4,C5,C6,C7,time
-6.722417107977715,-6.163700628090626,-5.688964341553012,-2.7055797612395462,-4.996179719517787,-6.10532717054136,-3.353397144118036,10
-6.711663736535852,-6.124175188410213,-5.6165806063047405,-2.7266128734223303,-4.896508134500986,-5.845066108455957,-3.340725967023144,11
-6.701018193368378,-6.0877976736223935,-5.54831724436611,-2.752086576077692,-4.803233191563361,-5.601887246647047,-3.3286861100743756,12
-6.6904804784752905,-6.0545680837271645,-5.484174255737121,-2.7820008692056306,-4.716354890704914,-5.375790585114627,-3.3172775732717295,13
-6.6800505918565936,-6.0244864187245275,-5.424151640417774,-2.8163557528061465,-4.635873231925645,-5.1667761238587016,-3.3065003566152074,14
-6.669728533512285,-5.9975526786144835,-5.368249398408074,-2.855151226879239,-4.561788215225552,-4.974843862879266,-3.296354460104809,15
-6.659514303442366,-5.973766863397032,-5.316467529708022,-2.8983872914249087,-4.494099840604637,-4.799993802176324,-3.286839883740534,16
-6.6494079016468355,-5.953128973072171,-5.268806034317619,-2.946063946443156,-4.4328081080629,-4.6422259417498735,-3.2779566275223826,17
-6.6394093281256925,-5.935639007639905,-5.2252649122368675,-2.99818119193398,-4.377913017600339,-4.501540281599915,-3.2697046914503547,18
-6.62951858287894,-5.921296967100228,-5.1858441634657675,-3.05473902789738,-4.329414569216957,-4.37793682172645,-3.26208407552445,19
-6.619735665906575,-5.9101028514531455,-5.150543788004322,-3.115737454333357,-4.287312762912752,-4.271415562129476,-3.2550947797446694,20
-6.610459680552928,-5.905296478187085,-5.123028457745742,-3.193014270180772,-4.2526690976515,-4.18822595418526,-3.2484684467133143,21
-6.60191235089818,-5.908677745906731,-5.105334101519589,-3.293146030405659,-4.226073295079745,-4.131839915325059,-3.2420559889872185,22
-6.593827608046113,-5.918086776286462,-5.0950176047303835,-3.408240869048778,-4.2068176892216345,-4.098091144631364,-3.236036311498182,23
-6.5859393831005075,-5.93136369100066,-5.089635852782651,-3.5304069201508876,-4.194194614101319,-4.082813341186665,-3.2305883191780023,24
-6.577981607165144,-5.946348611723702,-5.086745731080915,-3.6517523177527464,-4.187496403742945,-4.081840204073451,-3.225890916958478,25
-6.569688211343807,-5.96088166012997,-5.083904125029702,-3.7643851958951147,-4.186015392170666,-4.091005432374213,-3.2221230097714098,26
-6.560793126740273,-5.972802957893843,-5.078667920033532,-3.860413688618751,-4.1890439134086295,-4.1061427251714395,-3.2194635025485936,27
-6.551030284458325,-5.979952626689701,-5.068594001496932,-3.9319459299644133,-4.195874301480983,-4.123085781547621,-3.2180913002218308,28
-6.5401336156017456,-5.980170788191924,-5.051239254824425,-3.9710900539728637,-4.205798890411879,-4.137668300585248,-3.2181853077229188,29
-6.5278370512743145,-5.9712975640748915,-5.0241605654205355,-3.969954194684859,-4.218110014225464,-4.145723981366809,-3.2199244299836565,30
-6.5190224437602,-5.959773539597379,-4.990937424568896,-3.9184363251435665,-4.241094783474026,-4.156493526590823,-3.221279109232054,31
-6.516677856517053,-5.95141669150009,-4.956092038859424,-3.8191083654418105,-4.280091024291197,-4.179431268337588,-3.2209362823321768,32
-6.517696537408888,-5.9431332286802965,-4.918595366656074,-3.6830893701948355,-4.3299671440731515,-4.210691349762263,-3.220149596169908,33
-6.518971734299711,-5.931829360035272,-4.877418366322803,-3.521498394017887,-4.3855915502160565,-4.246427914020012,-3.220172697631132,34
-6.5173966950535345,-5.914411294462287,-4.8315319962235614,-3.345454491526209,-4.441832650116084,-4.282795104265991,-3.2222592336017297,35
-6.509864667534365,-5.887785240858612,-4.7799072147223045,-3.166076717335047,-4.493558851169404,-4.315947063655363,-3.2276628509675858,36
-6.493268899606216,-5.848857408121523,-4.721514980182989,-2.9944841260596444,-4.535638560772187,-4.3420379353432885,-3.2376371966145827,37
-6.464502639133096,-5.794534005148288,-4.6553262509695665,-2.8417957723152476,-4.5629401863206045,-4.357221862484926,-3.2534359174286043,38
-6.420459133979012,-5.721721240836181,-4.580311985445991,-2.7191307107171,-4.570332135210824,-4.357652988235439,-3.2763126602955324,39
-6.358031632007978,-5.627325324082474,-4.495443141976218,-2.6376079958804484,-4.552682814839021,-4.339485455749984,-3.3075210721012507,40
-6.2708497354762205,-5.500810297560531,-4.393103596492599,-2.5945549813888285,-4.504174778322913,-4.298304234844795,-3.346615979996848,41
-6.158596151556002,-5.339531227602826,-4.270129323246781,-2.576955992224693,-4.426897762317057,-4.235644826960571,-3.392049987480903,42
-6.027243785485387,-5.152230858595301,-4.13216942808167,-2.580415540101659,-4.3275809495228765,-4.15658717268918,-3.443423405960532,43
-5.8827655425024465,-4.947651934923897,-3.984873016840168,-2.600538136733343,-4.212953522641802,-4.0662112126224965,-3.5003365468428522,44
-5.73113432784524,-4.7345372009745494,-3.8338891953651766,-2.6329282938333614,-4.089744664375251,-3.9695968873523837,-3.562389721534979,45
-5.5783230467518345,-4.5216294011331994,-3.684867069499599,-2.6731905231153315,-3.964683557424653,-3.8718241374707127,-3.629183241444031,46
-5.430304604460293,-4.317671279785784,-3.543455745086336,-2.71692933629287,-3.8444993844914306,-3.77797290356935,-3.7003174179771237,47
