C1,C2,C3,C4,C5,C6,C7,time
-6.276445685062706,-5.7032909690186875,-2.724059038091316,-6.148189760563669,-4.907110453621264,-6.391949448742439,-3.4925652630428186,10
-6.246488214617644,-5.619011984231402,-2.749954732534821,-5.943515998060885,-4.814811334116504,-6.186091684788833,-3.461186124252734,11
-6.218687020665973,-5.5397174196060925,-2.7797554211061635,-5.751967049818699,-4.7291764756455175,-5.994012878569259,-3.431648748790975,12
-6.193042103207692,-5.465407275142757,-2.8134611038053436,-5.57354291583711,-4.650205878208304,-5.815713030083715,-3.403953136657542,13
-6.169553462242803,-5.3960815508414015,-2.8510717806323607,-5.40824359611612,-4.577899541804864,-5.6511921393322035,-3.378099287852435,14
-6.148221097771304,-5.331740246702023,-2.892587451587216,-5.256069090655727,-4.512257466435197,-5.5004502063147225,-3.3540872023756543,15
-6.129045009793195,-5.272383362724622,-2.9380081166699092,-5.117019399455932,-4.453279652099303,-5.363487231031273,-3.3319168802272,16
-6.112025198308478,-5.218010898909202,-2.9873337758804404,-4.991094522516737,-4.400966098797183,-5.240303213481857,-3.311588321407072,17
-6.097161663317151,-5.1686228552557605,-3.0405644292188088,-4.8782944598381395,-4.355316806528836,-5.130898153666471,-3.2931015259152705,18
-6.084454404819213,-5.124219231764298,-3.097700076685015,-4.77861921142014,-4.316331775294262,-5.035272051585118,-3.276456493751794,19
-6.073903422814666,-5.084800028434817,-3.1587407182790592,-4.692068777262739,-4.284011005093461,-4.953424907237796,-3.2616532249166452,20
-6.06765744152103,-5.054124649108585,-3.2349891768660624,-4.618610875868487,-4.261295242951884,-4.892055349439669,-3.2488568857671014,21
-6.066910196614704,-5.034281651475197,-3.3327247984822006,-4.558227573072135,-4.249818237217003,-4.854884838643604,-3.23815923539054,22
-6.07022920528401,-5.022764766307139,-3.4444123678840617,-4.5109403898719815,-4.247619489871851,-4.837447622306161,-3.229450162882108,23
-6.076181984717265,-5.017067724376897,-3.562516669828232,-4.476770847266326,-4.252738502899461,-4.835277947883895,-3.2226195573369534,24
-6.083336052102791,-5.014684256456958,-3.6795024890712975,-4.455740466253469,-4.263214778282866,-4.843910062833368,-3.2175573078502238,25
-6.090258924628907,-5.013108093319807,-3.787834610369845,-4.447870767831708,-4.2770878180051,-4.858878214611135,-3.2141533035170653,26
-6.095518119483933,-5.0098329657379335,-3.879977818480461,-4.453183272999345,-4.292397124049195,-4.875716650673757,-3.212297433432626,27
-6.097681153856189,-5.002352604483822,-3.9483968981597304,-4.471699502754677,-4.307182198398185,-4.889959618477791,-3.211879586692053,28
-6.095315544933995,-4.98816074032996,-3.985556634164242,-4.503440978096007,-4.319482543035103,-4.897141365479795,-3.2127896523904935,29
-6.086988809905671,-4.964751104048832,-3.983921811250581,-4.548429220021632,-4.327337659942983,-4.892796139136329,-3.214917519623095,30
-6.078796280234197,-4.93622231139407,-3.9336178566146534,-4.617178699537675,-4.336055721943035,-4.8812890768858574,-3.2167321759114063,31
-6.075609788907414,-4.907450465131405,-3.8369731937658735,-4.715508471353007,-4.350618822990564,-4.869676405868874,-3.217497247853911,32
-6.074161605400937,-4.877095526551482,-3.704757101931089,-4.836396932020044,-4.3685773467697455,-4.857529008094982,-3.218294583161164,33
-6.071183999190379,-4.843817456944946,-3.547738860337149,-4.972822478091206,-4.387481676964753,-4.844417765573783,-3.2202060295437165,34
-6.063409239751352,-4.80627621760244,-3.3766877482108995,-5.117763506118909,-4.4048821972597585,-4.8299135603148775,-3.2243134347121214,35
-6.0475695965594705,-4.763131769814605,-3.202373044779188,-5.264198412655571,-4.4183292913389405,-4.813587274327868,-3.2316986463769304,36
-6.02039733909035,-4.713044074872091,-3.0355640292688637,-5.405105594253613,-4.425373342886468,-4.795009789622354,-3.2434435122486973,37
-5.9786247368196,-4.654673094065537,-2.8870299809067737,-5.533463447465452,-4.423564735586519,-4.773751988207939,-3.260629880037974,38
-5.918984059222836,-4.586678788685588,-2.767540178919766,-5.6422503688435,-4.410453853123264,-4.7493847520942225,-3.284339597455313,39
-5.838207575775671,-4.5077211200228895,-2.687863902534688,-5.724444754940183,-4.38359107918088,-4.721478963290809,-3.3156545122112666,40
-5.726971607290399,-4.410369203045079,-2.6453526630985404,-5.780733377112576,-4.338633214510388,-4.689390235771165,-3.354412497056318,41
-5.583485089576912,-4.291884438062396,-2.6273669366058865,-5.818779437838031,-4.275707713486178,-4.653205588547631,-3.3994015651520133,42
-5.415779214607233,-4.157965214379392,-2.6296894492549243,-5.842025980349373,-4.199070940227469,-4.613593011188114,-3.4501287748255027,43
-5.231885174353385,-4.01430992130062,-2.6481029272438485,-5.85391604787943,-4.1129792588534855,-4.571220493260528,-3.506101184403934,44
-5.039834160787383,-3.8666169481306287,-2.6783900967708547,-5.857892683661028,-4.021689033483446,-4.526756024332777,-3.5668258522144574,45
-4.8476573658812505,-3.7205846841739687,-2.716333684034139,-5.857398930926993,-3.9294566282365726,-4.480867593972776,-3.631809836584222,46
-4.663385981607004,-3.5819115187351898,-2.757716415231898,-5.855877832910152,-3.840538407232085,-4.434223191748426,-3.700560195840377,47
-4.495051199936664,-3.456295841118843,-2.798321016562326,-5.856772432843332,-3.759190734589205,-4.387490807227643,-3.7725839883100716,48
-4.350684212842254,-3.34943604062948,-2.833930214223619,-5.863525773959358,-3.6896699744271553,-4.341338429978333,-3.8473882723204547,49
-4.238316212295793,-3.2670305065716505,-2.860326734413974,-5.879580899491058,-3.636232490865156,-4.296434049568406,-3.9244801061986756,50
