Clonal_Cluster_ID,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
C1,-6.39601587,-6.27790276,-6.115497234,-5.919872396,-5.70210135,-5.4732572,-5.24441305,-5.026642004,-4.831017166,-4.66861164,-4.55049853,-4.463254101,-4.385736034,-4.317439559,-4.257859906,-4.206492303,-4.162831981,-4.126374169,-4.096614096,-4.073046993,-4.05516809,-4.042472615,-4.034455798,-4.030612868,-4.030439057,-4.033429592,-4.039079704,-4.046884623,-4.056339577,-4.066939796,-4.078180511,-4.08955695,-4.100564344,-4.110697922,-4.119452913,-4.126324547,-4.130808054,-4.132398663,-4.130591604,-4.124882107,-4.114765401,-4.097656063,-4.072803814,-4.042456595,-4.008862349,-3.974269017,-3.940924542,-3.911076866,-3.886973931,-3.870863679,-3.864994052,-3.851147652,-3.813564565,-3.758178963,-3.690925017,-3.617736901,-3.544548784,-3.477294838,-3.421909236,-3.384326149,-3.370479749,-3.367035833,-3.357688062,-3.3439124,-3.32718481,-3.308981256,-3.290777702,-3.274050112,-3.260274449,-3.250926678,-3.247482763,-3.236216359,-3.205636122,-3.160570509,-3.10584798,-3.046296991,-2.986746003,-2.932023473,-2.88695786,-2.856377623,-2.84511122,-2.834593106,-2.80604394,-2.763971486,-2.712883505,-2.657287761,-2.601692017,-2.550604036,-2.508531582,-2.479982416,-2.469464302,-2.468524687,-2.465974302,-2.462215841,-2.457651994,-2.452685456,-2.447718917,-2.443155071,-2.439396609,-2.436846225,-2.435906609,-2.435356041,-2.43386164,-2.431659365,-2.428985174,-2.426075025,-2.423164876,-2.420490685,-2.41828841,-2.41679401,-2.416243441,-2.419791838,-2.4294232,-2.443616788,-2.460851858,-2.479607669,-2.498363481,-2.515598551,-2.529792139,-2.539423501,-2.542971898,-2.5438403,-2.546197392,-2.549671002,-2.553888956,-2.558479083,-2.563069209,-2.567287163,-2.570760773,-2.573117865,-2.573986267,-2.57502861,-2.577857827,-2.582027199,-2.587090007,-2.592599535,-2.598109062,-2.603171871,-2.607341242,-2.610170459,-2.611212802,-2.613217704,-2.61865958,-2.626679186,-2.63641728,-2.647014617,-2.657611954,-2.667350048,-2.675369654,-2.68081153,-2.682816432,-2.684452786,-2.688944055,-2.695663551,-2.703984585,-2.713280469,-2.722924512,-2.732290028,-2.740750326,-2.747678718,-2.752448516
C2,-7,-6.842734351,-6.626494084,-6.366022853,-6.076064313,-5.771362118,-5.466659923,-5.176701383,-4.916230152,-4.699989885,-4.542724236,-4.427879753,-4.328532113,-4.243868665,-4.173076758,-4.115343742,-4.069856966,-4.035803779,-4.01237153,-3.998747568,-3.994119243,-3.997673903,-4.008598899,-4.026081578,-4.049309292,-4.077469387,-4.109749214,-4.145336123,-4.183417461,-4.223180579,-4.263812825,-4.304501549,-4.3444341,-4.382797827,-4.418780079,-4.451568206,-4.480349557,-4.50431148,-4.522641326,-4.534526443,-4.539154181,-4.540151765,-4.541600812,-4.543370251,-4.545329012,-4.547346027,-4.549290225,-4.551030538,-4.552435894,-4.553375226,-4.553717463,-4.555291789,-4.55956496,-4.565862265,-4.573508992,-4.581830431,-4.590151869,-4.597798596,-4.604095901,-4.608369072,-4.609943398,-4.609717248,-4.609103411,-4.60819881,-4.607100366,-4.605905001,-4.604709635,-4.603611191,-4.60270659,-4.602092754,-4.601866604,-4.597185889,-4.584481092,-4.565758233,-4.543023333,-4.518282412,-4.493541491,-4.470806591,-4.452083732,-4.439378934,-4.43469822,-4.432101359,-4.425052739,-4.414665299,-4.402051978,-4.388325718,-4.374599457,-4.361986137,-4.351598696,-4.344550076,-4.341953216,-4.333171317,-4.309334736,-4.274207142,-4.231552207,-4.185133601,-4.138714995,-4.09606006,-4.060932466,-4.037095885,-4.028313986,-4.011879244,-3.967270659,-3.901531692,-3.821705803,-3.734836453,-3.647967103,-3.568141214,-3.502402246,-3.457793661,-3.441358919,-3.451576109,-3.479308481,-3.52017724,-3.569803591,-3.623808737,-3.677813883,-3.727440233,-3.768308992,-3.796041364,-3.806258554,-3.797192432,-3.772584388,-3.736319902,-3.692284454,-3.644363526,-3.596442598,-3.55240715,-3.516142664,-3.49153462,-3.482468498,-3.477491754,-3.46398345,-3.444076476,-3.419903722,-3.393598077,-3.367292432,-3.343119678,-3.323212704,-3.3097044,-3.304727656,-3.306762843,-3.312286921,-3.320427668,-3.330312861,-3.341070276,-3.351827691,-3.361712884,-3.369853631,-3.375377709,-3.377412896,-3.380249536,-3.38803521,-3.399683543,-3.414108162,-3.430222696,-3.446940769,-3.463176011,-3.477842046,-3.489852504,-3.49812101
C3,-6.719671146,-6.532725405,-6.275675012,-5.966046129,-5.621364919,-5.259157547,-4.896950174,-4.552268964,-4.242640081,-3.985589688,-3.798643947,-3.661991592,-3.543504673,-3.442234334,-3.357231716,-3.287547961,-3.232234212,-3.19034161,-3.160921298,-3.143024417,-3.13570211,-3.138005519,-3.148985786,-3.167694052,-3.19318146,-3.224499153,-3.260698271,-3.300829958,-3.343945355,-3.389095604,-3.435331848,-3.481705228,-3.527266887,-3.571067966,-3.612159609,-3.649592955,-3.682419149,-3.709689332,-3.730454645,-3.743766232,-3.748675234,-3.749211484,-3.749990416,-3.750941575,-3.751994504,-3.753078746,-3.754123847,-3.755059349,-3.755814796,-3.756319732,-3.756503701,-3.760612679,-3.77176562,-3.788201532,-3.808159426,-3.829878311,-3.851597196,-3.871555089,-3.887991002,-3.899143943,-3.903252921,-3.902465227,-3.9003272,-3.897176424,-3.893350481,-3.889186955,-3.885023429,-3.881197486,-3.878046709,-3.875908683,-3.875120988,-3.876296985,-3.879488977,-3.884192966,-3.889904951,-3.896120936,-3.90233692,-3.908048906,-3.912752894,-3.915944886,-3.917120883,-3.921822515,-3.934584085,-3.953390611,-3.976227106,-4.001078585,-4.025930065,-4.04876656,-4.067573085,-4.080334656,-4.085036287,-4.084215282,-4.08198684,-4.07870282,-4.074715081,-4.070375482,-4.066035884,-4.062048145,-4.058764125,-4.056535682,-4.055714677,-4.049041004,-4.030926748,-4.004232054,-3.971817069,-3.936541938,-3.901266808,-3.868851823,-3.842157129,-3.824042873,-3.8173692,-3.824893284,-3.845315798,-3.875412135,-3.911957687,-3.951727847,-3.991498007,-4.028043559,-4.058139896,-4.07856241,-4.086086495,-4.080277797,-4.064511331,-4.04127654,-4.013062864,-3.982359747,-3.951656629,-3.923442954,-3.900208163,-3.884441697,-3.878632999,-3.86128984,-3.814215553,-3.744842919,-3.660604721,-3.56893374,-3.477262759,-3.393024561,-3.323651927,-3.276577639,-3.259234481,-3.267647398,-3.290482458,-3.324134125,-3.364996864,-3.409465138,-3.453933413,-3.494796152,-3.528447819,-3.551282879,-3.559695796,-3.562855469,-3.571527764,-3.584502593,-3.600569869,-3.618519503,-3.637141408,-3.655225497,-3.67156168,-3.684939872,-3.694149984
C4,-6.989178153,-6.859679478,-6.6816188,-6.46713662,-6.228373438,-5.977469756,-5.726566073,-5.487802891,-5.273320711,-5.095260033,-4.965761358,-4.870723191,-4.78750302,-4.715429821,-4.653832569,-4.602040239,-4.559381806,-4.525186247,-4.498782535,-4.479499647,-4.466666558,-4.459612243,-4.457665678,-4.460155838,-4.466411698,-4.475762233,-4.48753642,-4.501063232,-4.515671647,-4.530690638,-4.545449181,-4.559276253,-4.571500827,-4.581451879,-4.588458385,-4.59184932,-4.59095366,-4.585100379,-4.573618453,-4.555836857,-4.531084567,-4.49209257,-4.435454559,-4.366293571,-4.289732642,-4.210894807,-4.134903104,-4.066880569,-4.011950237,-3.975235144,-3.961858327,-3.953534512,-3.930941299,-3.897646037,-3.857216076,-3.813218766,-3.769221456,-3.728791496,-3.695496234,-3.672903021,-3.664579205,-3.661189897,-3.651990347,-3.638433116,-3.621970763,-3.60405585,-3.586140937,-3.569678584,-3.556121352,-3.546921802,-3.543532494,-3.541215874,-3.534927903,-3.525661419,-3.514409261,-3.502164265,-3.489919269,-3.47866711,-3.469400627,-3.463112656,-3.460796035,-3.462569573,-3.467383462,-3.474477615,-3.483091943,-3.492466359,-3.501840774,-3.510455102,-3.517549255,-3.522363144,-3.524136682,-3.524653839,-3.526057552,-3.528126182,-3.530638089,-3.533371635,-3.536105181,-3.538617088,-3.540685718,-3.542089431,-3.542606588,-3.548119114,-3.563081683,-3.585131785,-3.61190691,-3.641044545,-3.67018218,-3.696957304,-3.719007406,-3.733969976,-3.739482501,-3.744346343,-3.7575482,-3.777003568,-3.800627944,-3.826336823,-3.852045702,-3.875670078,-3.895125446,-3.908327303,-3.913191145,-3.915903983,-3.923267399,-3.93411875,-3.94729539,-3.961634674,-3.975973959,-3.989150599,-4.000001949,-4.007365366,-4.010078203,-4.015943455,-4.031863424,-4.055324432,-4.083812798,-4.114814843,-4.145816888,-4.174305254,-4.197766261,-4.213686231,-4.219551482,-4.222756829,-4.231457054,-4.244278439,-4.259847264,-4.276789808,-4.293732353,-4.309301177,-4.322122562,-4.330822788,-4.334028134,-4.337377932,-4.346572061,-4.360327617,-4.3773617,-4.396391407,-4.416133838,-4.43530609,-4.452625262,-4.466808452,-4.476572758
C5,-1.559871172,-1.725701546,-1.95371831,-2.228374866,-2.534124617,-2.855420966,-3.176717315,-3.482467067,-3.757123623,-3.985140387,-4.150970761,-4.271894397,-4.376138016,-4.464575616,-4.538081197,-4.597528761,-4.643792306,-4.677745834,-4.700263344,-4.712218836,-4.714486311,-4.707939768,-4.693453208,-4.671900631,-4.644156037,-4.611093426,-4.573586799,-4.532510155,-4.488737494,-4.443142817,-4.396600124,-4.349983415,-4.30416669,-4.260023949,-4.218429192,-4.18025642,-4.146379633,-4.11767283,-4.095010012,-4.079265179,-4.071312331,-4.066153565,-4.058660177,-4.049509958,-4.039380704,-4.028950207,-4.018896263,-4.009896666,-4.002629208,-3.997771685,-3.996001889,-3.996672386,-3.998492304,-4.001174289,-4.004430985,-4.007975037,-4.011519089,-4.014775785,-4.01745777,-4.019277688,-4.019948184,-4.020975853,-4.023765239,-4.027875913,-4.032867445,-4.038299407,-4.043731369,-4.048722901,-4.052833575,-4.055622961,-4.056650629,-4.057185453,-4.058637118,-4.060776414,-4.06337413,-4.066201057,-4.069027983,-4.071625699,-4.073764995,-4.07521666,-4.075751484,-4.081236183,-4.096123223,-4.118062019,-4.144701986,-4.173692538,-4.20268309,-4.229323056,-4.251261852,-4.266148892,-4.271633591,-4.274145471,-4.28096343,-4.291010949,-4.303211507,-4.316488586,-4.329765664,-4.341966222,-4.352013741,-4.3588317,-4.36134358,-4.367304685,-4.383484827,-4.407329248,-4.436283187,-4.467791885,-4.499300584,-4.528254523,-4.552098944,-4.568279086,-4.574240191,-4.576499783,-4.582632961,-4.591671329,-4.60264649,-4.614590047,-4.626533604,-4.637508765,-4.646547133,-4.652680311,-4.654939903,-4.663912438,-4.688266463,-4.724156604,-4.76773749,-4.815163748,-4.862590007,-4.906170893,-4.942061034,-4.966415059,-4.975387594,-4.981814008,-4.99925713,-5.024962785,-5.056176793,-5.090144979,-5.124113165,-5.155327174,-5.181032828,-5.198475951,-5.204902364,-5.211756475,-5.23036049,-5.257776934,-5.29106833,-5.327297202,-5.363526074,-5.39681747,-5.424233914,-5.442837929,-5.44969204,-5.450403671,-5.452356872,-5.455279103,-5.458897824,-5.462940496,-5.467134578,-5.471207532,-5.474886818,-5.477899895,-5.479974225
C6,-6.906868167,-6.713360568,-6.447287619,-6.126790658,-5.770011023,-5.39509005,-5.020169077,-4.663389441,-4.342892481,-4.076819532,-3.883311933,-3.741850676,-3.619162522,-3.514257459,-3.426145476,-3.353836562,-3.296340706,-3.252667897,-3.221828124,-3.202831376,-3.194687641,-3.196406909,-3.206999168,-3.225474408,-3.250842618,-3.282113785,-3.3182979,-3.358404951,-3.401444927,-3.446427817,-3.49236361,-3.538262295,-3.58313386,-3.625988295,-3.665835589,-3.70168573,-3.732548708,-3.75743451,-3.775353127,-3.785314548,-3.78632876,-3.781137288,-3.773596392,-3.764388161,-3.754194687,-3.743698062,-3.733580377,-3.724523722,-3.717210189,-3.712321869,-3.710540853,-3.713261651,-3.720646675,-3.731529868,-3.744745174,-3.759126537,-3.773507899,-3.786723205,-3.797606398,-3.804991422,-3.807712221,-3.80821243,-3.809570142,-3.811570981,-3.81400057,-3.816644536,-3.819288501,-3.82171809,-3.823718929,-3.825076641,-3.82557685,-3.82689204,-3.830461842,-3.835722601,-3.842110667,-3.849062385,-3.856014104,-3.862402169,-3.867662929,-3.87123273,-3.87254792,-3.877337198,-3.890336668,-3.90949378,-3.932755989,-3.958070745,-3.983385501,-4.006647709,-4.025804821,-4.038804291,-4.043593569,-4.046540641,-4.054539836,-4.066328123,-4.080642471,-4.096219851,-4.11179723,-4.126111579,-4.137899866,-4.145899061,-4.148846133,-4.15537854,-4.173109359,-4.199238987,-4.230967821,-4.265496258,-4.300024695,-4.331753529,-4.357883157,-4.375613977,-4.382146384,-4.387998321,-4.40388215,-4.427289899,-4.455713595,-4.486645263,-4.517576931,-4.546000626,-4.569408375,-4.585292205,-4.591144142,-4.593401019,-4.599526828,-4.608554336,-4.61951631,-4.631445517,-4.643374724,-4.654336698,-4.663364206,-4.669490015,-4.671746892,-4.678240298,-4.695865257,-4.72183888,-4.75337828,-4.787700569,-4.822022857,-4.853562257,-4.87953588,-4.897160839,-4.903654245,-4.908514267,-4.921705756,-4.941145845,-4.964751668,-4.990440357,-5.016129046,-5.039734868,-5.059174957,-5.072366446,-5.077226468,-5.082488073,-5.096929498,-5.11853566,-5.145291478,-5.175181869,-5.206191751,-5.23630604,-5.263509654,-5.285787511,-5.301124528
