Clonal_Cluster_ID,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
C1,-6.285802601,-6.219178642,-6.157058178,-6.099441209,-6.046327736,-5.997717759,-5.953611277,-5.91400829,-5.878908799,-5.848312803,-5.822220303,-5.802543727,-5.790345537,-5.78435078,-5.783284502,-5.785871751,-5.790837575,-5.796907019,-5.802805132,-5.80725696,-5.80898755,-5.815002412,-5.830515667,-5.851565283,-5.87418923,-5.894425474,-5.908311985,-5.91188673,-5.901187678,-5.872252796,-5.821120053,-5.740232939,-5.629502166,-5.496166537,-5.347464854,-5.190635918,-5.032918533,-4.8815515,-4.743773621,-4.6268237,-4.537940538,-4.478206366,-4.440715518,-4.42072495,-4.413491616,-4.414272474,-4.418324479,-4.420904587,-4.417269754,-4.402676935,-4.372383086,-4.326179282,-4.268868166,-4.203224046,-4.132021231,-4.058034027,-3.984036743,-3.912803688,-3.847109169,-3.789727494,-3.743432972,-3.707204784,-3.677598749,-3.653754129,-3.634810188,-3.61990619,-3.608181399,-3.598775076,-3.590826486,-3.583474892,-3.575859558,-3.569366867,-3.565659648,-3.564291832,-3.56481735,-3.566790134,-3.569764116,-3.573293226,-3.576931396,-3.580232557,-3.582750641,-3.585494882,-3.589488557,-3.594306658,-3.599524178,-3.604716109,-3.609457443,-3.613323174,-3.615888293,-3.616727793,-3.615416666,-3.612139137,-3.6074383,-3.601427455,-3.594219901,-3.585928938,-3.576667864,-3.566549981,-3.555688586,-3.544196979,-3.53218846,-3.518780126,-3.503363978,-3.486465675,-3.468610875,-3.450325237,-3.432134417,-3.414564075,-3.398139868,-3.383387455,-3.370832494,-3.360403415,-3.351515332,-3.343923925,-3.337384874,-3.331653859,-3.32648656,-3.321638658,-3.316865834,-3.311923766,-3.306568136,-3.300908303,-3.295258389,-3.289681222,-3.284239629,-3.278996439,-3.274014477,-3.269356573,-3.265085552,-3.261264243,-3.257955472,-3.254981617,-3.252178844,-3.249630664,-3.247420588,-3.245632129,-3.244348796,-3.243654102,-3.243631557,-3.244364673,-3.245936961,-3.248695925,-3.252748015,-3.25781517,-3.263619325,-3.269882417,-3.276326382,-3.282673157,-3.288644679,-3.293962883,-3.298349707,-3.302009234,-3.305343207,-3.308370049,-3.311108185,-3.313576037,-3.315792029,-3.317774584,-3.319542127,-3.321113081,-3.322505869,-3.323705139,-3.324683255,-3.325440216,-3.325976024,-3.326290678,-3.326384178,-3.326256524,-3.325907716,-3.325337755,-3.324546639
C2,-5.711960247,-5.624702049,-5.54271585,-5.46600165,-5.394559449,-5.328389246,-5.267491043,-5.211864838,-5.161510632,-5.116428425,-5.076618217,-5.045948166,-5.026567251,-5.015896698,-5.011357734,-5.010371588,-5.010359486,-5.008742657,-5.002942326,-4.990379722,-4.968476072,-4.941332457,-4.913901536,-4.884881908,-4.852972171,-4.816870923,-4.775276762,-4.726888285,-4.670404091,-4.604522777,-4.527942942,-4.433425194,-4.318297249,-4.188108371,-4.048407823,-3.904744866,-3.762668763,-3.627728776,-3.505474168,-3.401454202,-3.32121814,-3.264748859,-3.226282055,-3.202746221,-3.191069848,-3.188181427,-3.19100945,-3.196482409,-3.201528796,-3.203077102,-3.198055818,-3.189020754,-3.180577073,-3.172727295,-3.16547394,-3.158819529,-3.152766582,-3.14731762,-3.142475164,-3.138241734,-3.13461985,-3.131875147,-3.130152583,-3.129273671,-3.12905992,-3.129332842,-3.129913947,-3.130624746,-3.13128675,-3.13172147,-3.131750417,-3.13137411,-3.13077794,-3.130060719,-3.129321261,-3.128658381,-3.128170892,-3.127957607,-3.128117342,-3.128748908,-3.129951121,-3.131577776,-3.133445174,-3.135595889,-3.138072493,-3.140917561,-3.144173664,-3.147883376,-3.15208927,-3.156833918,-3.162159895,-3.168121071,-3.174703224,-3.181846789,-3.1894922,-3.197579892,-3.206050298,-3.214843853,-3.223900991,-3.233162147,-3.242567755,-3.252323551,-3.262605606,-3.273309854,-3.284332229,-3.295568666,-3.306915097,-3.318267458,-3.329521683,-3.340573705,-3.351319458,-3.36215569,-3.373410737,-3.384877913,-3.396350536,-3.407621923,-3.418485388,-3.428734249,-3.438161822,-3.446561424,-3.45372637,-3.459763017,-3.464944792,-3.469315612,-3.4729194,-3.475800074,-3.478001554,-3.47956776,-3.480542613,-3.480970032,-3.480893937,-3.480088972,-3.478384393,-3.475906036,-3.47277974,-3.469131342,-3.465086679,-3.460771589,-3.45631191,-3.451833478,-3.447462132,-3.442907231,-3.437876808,-3.432494715,-3.426884804,-3.421170924,-3.415476927,-3.409926663,-3.404643985,-3.399752742,-3.395376785,-3.391424921,-3.387718049,-3.384248157,-3.381007236,-3.377987277,-3.375180268,-3.3725782,-3.370173064,-3.367956848,-3.365921543,-3.364073823,-3.362425705,-3.360977188,-3.359728271,-3.358678956,-3.357829241,-3.357179127,-3.356728615,-3.356477703,-3.356426392
C3,-2.852498971,-2.881718358,-2.914214927,-2.949988678,-2.989039611,-3.031367726,-3.076973024,-3.125855504,-3.178015166,-3.233452011,-3.292166038,-3.364737093,-3.457042868,-3.562030133,-3.672645657,-3.78183621,-3.88254856,-3.967729478,-4.030325733,-4.063284094,-4.05955133,-4.009764506,-3.916036452,-3.788527587,-3.63739833,-3.472809098,-3.304920311,-3.143892388,-2.999885747,-2.883060806,-2.803577985,-2.758596531,-2.736001518,-2.732042104,-2.742967447,-2.765026704,-2.794469033,-2.827543592,-2.860499539,-2.889586031,-2.911052227,-2.925313018,-2.936488663,-2.946386368,-2.956813339,-2.969576783,-2.986483906,-3.009341914,-3.039958013,-3.08013941,-3.13169331,-3.199819806,-3.285533699,-3.384364257,-3.491840748,-3.60349244,-3.714848602,-3.821438501,-3.918791408,-4.002436588,-4.067903312,-4.111730258,-4.136630786,-4.147396181,-4.148817731,-4.145686723,-4.142794442,-4.144932176,-4.156891212,-4.183462837,-4.229438336,-4.306053302,-4.414580988,-4.544869173,-4.686765637,-4.830118161,-4.964774524,-5.080582506,-5.167389887,-5.215044446,-5.213393964,-5.154028733,-5.04280492,-4.89096912,-4.709767928,-4.510447938,-4.304255744,-4.10243794,-3.916241121,-3.756911881,-3.635696814,-3.547560275,-3.478041547,-3.42424962,-3.383293482,-3.352282125,-3.328324536,-3.308529706,-3.290006624,-3.269864279,-3.245211661,-3.218535171,-3.194214229,-3.172197351,-3.152433051,-3.134869848,-3.119456255,-3.10614079,-3.094871968,-3.085598306,-3.078268319,-3.073892286,-3.073084866,-3.075201141,-3.079596194,-3.085625105,-3.092642959,-3.100004837,-3.107065822,-3.113180996,-3.117705441,-3.121231719,-3.124757835,-3.128247034,-3.131662564,-3.134967671,-3.138125601,-3.141099602,-3.14385292,-3.1463488,-3.148550491,-3.150100755,-3.150839241,-3.151024526,-3.150915186,-3.150769799,-3.150846942,-3.15140519,-3.152703121,-3.154999311,-3.158552337,-3.161400302,-3.162185109,-3.162071036,-3.162222361,-3.163803361,-3.167978315,-3.175911501,-3.188767196,-3.207709679,-3.233903227,-3.270834515,-3.319233185,-3.376127967,-3.438547589,-3.503520781,-3.568076272,-3.62924279,-3.684049065,-3.729523827,-3.762695804,-3.786041055,-3.804016486,-3.816622098,-3.823857891,-3.825723864,-3.822220018,-3.813346353,-3.799102868,-3.779489563,-3.75450644
C4,-5.262724098,-5.102181879,-4.952840451,-4.814699815,-4.687759971,-4.572020919,-4.467482659,-4.374145191,-4.292008514,-4.22107263,-4.161337537,-4.117701514,-4.092885825,-4.083624952,-4.086653377,-4.098705582,-4.116516048,-4.136819258,-4.156349693,-4.171841835,-4.180030166,-4.185548791,-4.194358677,-4.205184596,-4.216751322,-4.227783627,-4.237006287,-4.243144073,-4.244921758,-4.241064117,-4.230295922,-4.211351255,-4.184849285,-4.152342417,-4.115383057,-4.075523608,-4.034316477,-3.993314067,-3.954068784,-3.918133034,-3.88705922,-3.859308169,-3.832414884,-3.806543032,-3.781856283,-3.758518304,-3.736692766,-3.716543336,-3.698233683,-3.681927476,-3.667788383,-3.655967156,-3.646377815,-3.638828932,-3.63312908,-3.62908683,-3.626510754,-3.625209424,-3.624991412,-3.625665291,-3.627039632,-3.630029536,-3.63534191,-3.642473036,-3.650919196,-3.660176671,-3.669741743,-3.679110693,-3.687779804,-3.695245357,-3.701003634,-3.705143529,-3.708236804,-3.710504039,-3.712165814,-3.713442708,-3.714555302,-3.715724176,-3.717169909,-3.719113083,-3.721774276,-3.721039231,-3.714393499,-3.704457375,-3.693851152,-3.685195126,-3.681109589,-3.684214837,-3.697131163,-3.722478861,-3.762878226,-3.828306098,-3.921587824,-4.034616457,-4.159285053,-4.287486665,-4.411114348,-4.522061156,-4.612220143,-4.673484363,-4.69774687,-4.67889985,-4.621957275,-4.535494881,-4.428088403,-4.308313576,-4.184746135,-4.065961816,-3.960536353,-3.877045483,-3.82406494,-3.794798738,-3.776577972,-3.769169004,-3.772338194,-3.785851903,-3.809476491,-3.84297832,-3.88612375,-3.938679142,-4.000410856,-4.084253004,-4.197633495,-4.332059389,-4.479037743,-4.630075618,-4.776680072,-4.910358164,-5.022616953,-5.104963497,-5.148904856,-5.150937858,-5.117923791,-5.056916404,-4.974969445,-4.879136661,-4.776471802,-4.674028616,-4.578860851,-4.498022255,-4.438566577,-4.395263315,-4.357891639,-4.326019798,-4.299216046,-4.277048633,-4.25908581,-4.24489583,-4.234046943,-4.226107402,-4.220645457,-4.219670536,-4.224746725,-4.234774268,-4.248653406,-4.265284383,-4.28356744,-4.30240282,-4.320690766,-4.337331519,-4.351225322,-4.363288641,-4.37517111,-4.386872731,-4.398393503,-4.409733426,-4.4208925,-4.431870726,-4.442668103,-4.453284631,-4.46372031
C5,-4.343916212,-4.305706842,-4.269871099,-4.236408983,-4.205320495,-4.176605634,-4.150264401,-4.126296795,-4.104702816,-4.085482465,-4.068635741,-4.053553866,-4.039898629,-4.028075884,-4.018491481,-4.011551275,-4.007661116,-4.007226857,-4.010654351,-4.01834945,-4.030718006,-4.053958942,-4.091095222,-4.137768757,-4.189621456,-4.24229523,-4.291431991,-4.332673649,-4.361662115,-4.374039299,-4.365447112,-4.330989888,-4.272467311,-4.19556432,-4.105965854,-4.009356851,-3.91142225,-3.817846989,-3.734316007,-3.666514242,-3.620126634,-3.59431719,-3.582725977,-3.582752025,-3.591794363,-3.60725202,-3.626524025,-3.647009406,-3.666107192,-3.681216414,-3.689736099,-3.694139553,-3.698498139,-3.702607969,-3.706265158,-3.709265818,-3.711406063,-3.712482007,-3.712289762,-3.710625443,-3.707285163,-3.701501793,-3.693060589,-3.68258624,-3.670703435,-3.658036864,-3.645211216,-3.63285118,-3.621581445,-3.612026701,-3.604811638,-3.599227165,-3.594231517,-3.589950372,-3.586509406,-3.584034296,-3.58265072,-3.582484354,-3.583660876,-3.586305962,-3.590545289,-3.59693752,-3.605662691,-3.616278541,-3.628342806,-3.641413224,-3.655047534,-3.668803473,-3.682238778,-3.694911187,-3.706378439,-3.715328768,-3.72149206,-3.725988525,-3.729938374,-3.734461818,-3.740679066,-3.74971033,-3.76267582,-3.780695748,-3.804890322,-3.838444656,-3.881966556,-3.932710274,-3.987930065,-4.04488018,-4.100814872,-4.152988395,-4.198655002,-4.235068944,-4.259484476,-4.272716237,-4.278064247,-4.276510828,-4.269038301,-4.256628986,-4.240265207,-4.220929284,-4.19960354,-4.177270294,-4.15491187,-4.128186839,-4.093664593,-4.053693683,-4.01062266,-3.966800075,-3.92457448,-3.886294424,-3.854308459,-3.830965137,-3.818613007,-3.818018487,-3.827171829,-3.844257339,-3.867459321,-3.894962081,-3.924949922,-3.955607151,-3.985118072,-4.01166699,-4.033438209,-4.053827728,-4.076605154,-4.100515208,-4.124302613,-4.146712089,-4.166488357,-4.182376139,-4.193120157,-4.197465131,-4.194155783,-4.180878215,-4.157648696,-4.126707204,-4.090293714,-4.050648203,-4.010010648,-3.970621025,-3.93471931,-3.904545479,-3.882339509,-3.866234753,-3.852871247,-3.84224899,-3.834367982,-3.829228223,-3.826829714,-3.827172455,-3.830256444,-3.836081683,-3.844648172
C6,-5.957645386,-5.778988725,-5.61229415,-5.457561661,-5.31479126,-5.183982945,-5.065136717,-4.958252575,-4.86333052,-4.780370551,-4.709372669,-4.655041226,-4.61998975,-4.601082007,-4.595181762,-4.599152781,-4.609858829,-4.62416367,-4.638931072,-4.651024798,-4.657308614,-4.665029387,-4.681465544,-4.703528194,-4.728128445,-4.752177407,-4.772586187,-4.786265895,-4.790127639,-4.781082528,-4.75604167,-4.71110417,-4.647306158,-4.568964282,-4.48039519,-4.38591553,-4.28984195,-4.196491097,-4.11017962,-4.035224166,-3.975941383,-3.930419161,-3.893118695,-3.862916585,-3.838689434,-3.819313844,-3.803666417,-3.790623755,-3.779062459,-3.767859132,-3.755890376,-3.744733846,-3.736431021,-3.730554242,-3.726675849,-3.724368182,-3.723203582,-3.722754388,-3.722592941,-3.722291581,-3.721422649,-3.720452797,-3.720084777,-3.720245076,-3.72086018,-3.721856574,-3.723160745,-3.72469918,-3.726398365,-3.728184786,-3.729984929,-3.731954321,-3.734255602,-3.736825929,-3.739602458,-3.742522346,-3.745522749,-3.748540823,-3.751513726,-3.754378613,-3.757072641,-3.758665631,-3.758705989,-3.757848745,-3.756748933,-3.756061586,-3.756441735,-3.758544414,-3.763024653,-3.770537487,-3.781737948,-3.798169628,-3.820010787,-3.845868456,-3.874349665,-3.904061446,-3.933610828,-3.961604844,-3.986650522,-4.007354895,-4.022324992,-4.025854052,-4.016216212,-3.997989853,-3.975753353,-3.954085093,-3.937563452,-3.93076681,-3.938273548,-3.964662045,-4.01451068,-4.099900024,-4.222793557,-4.372594019,-4.538704152,-4.7105267,-4.877464404,-5.028920005,-5.154296246,-5.242995869,-5.284421616,-5.272718377,-5.215623062,-5.122926444,-5.004419293,-4.869892384,-4.729136487,-4.591942375,-4.468100821,-4.367402596,-4.299638472,-4.2624785,-4.244474869,-4.241741561,-4.250392559,-4.266541845,-4.286303402,-4.305791211,-4.321119255,-4.328401517,-4.323751978,-4.306966397,-4.281961249,-4.251031594,-4.216472494,-4.180579008,-4.145646198,-4.113969122,-4.087842843,-4.06956242,-4.061422914,-4.065464953,-4.080442154,-4.103719068,-4.132660241,-4.164630223,-4.19699356,-4.227114801,-4.252358494,-4.270089187,-4.277671428,-4.277301428,-4.272932364,-4.264564235,-4.252197043,-4.235830786,-4.215465466,-4.191101082,-4.162737633,-4.130375121,-4.094013545
C7,-5.971506268,-5.918494595,-5.867170617,-5.817534333,-5.769585742,-5.723324846,-5.678751645,-5.635866137,-5.594668323,-5.555158204,-5.517335779,-5.479876368,-5.442044038,-5.404721909,-5.368793101,-5.335140733,-5.304647927,-5.278197801,-5.256673475,-5.240958071,-5.231934706,-5.238205441,-5.26363337,-5.301993163,-5.347059493,-5.392607031,-5.43241045,-5.460244421,-5.469883616,-5.455102706,-5.409676364,-5.325533824,-5.204647221,-5.055855584,-4.887997938,-4.70991331,-4.530440725,-4.358419211,-4.202687793,-4.072085499,-3.975451353,-3.911288258,-3.869598092,-3.846468352,-3.837986534,-3.840240136,-3.849316652,-3.861303579,-3.872288415,-3.878358653,-3.875601793,-3.867034357,-3.858389605,-3.849830132,-3.841518537,-3.833617414,-3.826289362,-3.819696975,-3.814002852,-3.809369588,-3.80595978,-3.803949027,-3.803266267,-3.803704101,-3.805055131,-3.807111961,-3.809667192,-3.812513426,-3.815443265,-3.818249313,-3.820724171,-3.822841403,-3.824801399,-3.826737006,-3.828781069,-3.831066434,-3.833725948,-3.836892454,-3.8406988,-3.845277831,-3.850762393,-3.858235364,-3.868160579,-3.879742314,-3.892184847,-3.904692455,-3.916469417,-3.92672001,-3.934648511,-3.939459198,-3.940356348,-3.935611421,-3.92508931,-3.910384443,-3.89309125,-3.874804158,-3.857117596,-3.841625991,-3.829923773,-3.823605369,-3.824265209,-3.83314707,-3.849288459,-3.870974397,-3.896489906,-3.924120005,-3.952149715,-3.978864058,-4.002548053,-4.021486721,-4.033965083,-4.037283717,-4.031721439,-4.020030631,-4.004963675,-3.989272953,-3.975710845,-3.967029735,-3.965982003,-3.975320032,-3.997796202,-4.032614585,-4.076478676,-4.128389994,-4.187350057,-4.252360383,-4.322422492,-4.396537901,-4.47370813,-4.552934696,-4.633219119,-4.726500918,-4.84044862,-4.967657259,-5.100721867,-5.232237476,-5.354799119,-5.461001829,-5.543440638,-5.59471058,-5.607406685,-5.574973535,-5.501448454,-5.395315593,-5.265059104,-5.119163137,-4.966111844,-4.814389375,-4.672479883,-4.548867517,-4.45203643,-4.374430928,-4.303055026,-4.238232434,-4.180286865,-4.129542028,-4.086321635,-4.050949398,-4.023749028,-4.005044236,-3.995158733,-3.99382276,-4.000550749,-4.015342702,-4.038198618,-4.069118496,-4.108102338,-4.155150143,-4.210261911,-4.273437641,-4.344677335
C8,-3.658661146,-3.621223051,-3.586107444,-3.553314325,-3.522843695,-3.494695553,-3.468869899,-3.445366733,-3.424186056,-3.405327867,-3.388792166,-3.375040786,-3.3643303,-3.356352821,-3.350800459,-3.347365327,-3.345739535,-3.345615196,-3.346684421,-3.348639322,-3.35117201,-3.35323482,-3.354565004,-3.356032057,-3.358505473,-3.362854745,-3.369949366,-3.38065883,-3.395852631,-3.416400261,-3.443171215,-3.476641362,-3.516173377,-3.560966962,-3.610221818,-3.663137648,-3.718914152,-3.776751032,-3.83584799,-3.895404728,-3.954620947,-4.018827319,-4.091815267,-4.170475619,-4.251699206,-4.332376857,-4.4093994,-4.479657666,-4.540042484,-4.587444683,-4.618755091,-4.631825844,-4.628688007,-4.612500807,-4.586423474,-4.553615234,-4.517235316,-4.480442948,-4.446397358,-4.418257773,-4.399183422,-4.386946737,-4.377033946,-4.369174966,-4.363099715,-4.358538111,-4.355220072,-4.352875515,-4.35123436,-4.350026523,-4.348981924,-4.348398307,-4.348721173,-4.349902069,-4.351892545,-4.354644148,-4.358108425,-4.362236925,-4.366981197,-4.372292788,-4.378123245,-4.382766303,-4.385324281,-4.386961608,-4.388842714,-4.392132028,-4.397993979,-4.407592996,-4.422093508,-4.442659945,-4.470456736,-4.5088071,-4.558349716,-4.616222198,-4.67956216,-4.745507218,-4.811194986,-4.873763079,-4.930349113,-4.978090702,-5.01412546,-5.037160791,-5.049446984,-5.053435985,-5.051579739,-5.046330192,-5.040139289,-5.035458977,-5.034741202,-5.040437908,-5.055001041,-5.079626498,-5.112435904,-5.151269806,-5.193968748,-5.238373273,-5.282323926,-5.323661252,-5.360225796,-5.389858101,-5.410398712,-5.422547104,-5.428931311,-5.430284714,-5.427340691,-5.420832625,-5.411493895,-5.400057882,-5.387257967,-5.373827529,-5.360499949,-5.344501192,-5.323529584,-5.299027049,-5.27243551,-5.24519689,-5.218753113,-5.194546102,-5.174017781,-5.158610074,-5.149764903,-5.148965449,-5.155540375,-5.167699824,-5.183653939,-5.201612867,-5.21978675,-5.236385732,-5.249619958,-5.257699572,-5.258834718,-5.251626993,-5.237155652,-5.217347328,-5.194128656,-5.169426268,-5.145166799,-5.123276881,-5.105683148,-5.094312233,-5.09109077,-5.094413231,-5.101389666,-5.112020074,-5.126304456,-5.144242812,-5.165835142,-5.191081445,-5.219981722,-5.252535973,-5.288744198
C9,-5.953257445,-5.836517358,-5.726782669,-5.62405338,-5.528329489,-5.439610997,-5.357897904,-5.28319021,-5.215487914,-5.154791018,-5.10109952,-5.058509307,-5.029295871,-5.010728621,-5.000076967,-4.994610318,-4.991598084,-4.988309673,-4.982014496,-4.969981961,-4.949481478,-4.923604308,-4.896899542,-4.868823334,-4.838831838,-4.806381208,-4.770927599,-4.731927163,-4.688836054,-4.641110428,-4.588206437,-4.525928708,-4.452510466,-4.371050763,-4.284648652,-4.196403187,-4.109413419,-4.026778401,-3.951597187,-3.886968828,-3.835992377,-3.798198287,-3.770111866,-3.750324448,-3.737427371,-3.73001197,-3.726669581,-3.725991539,-3.726569182,-3.726993843,-3.725856861,-3.725087477,-3.727218332,-3.731745853,-3.73816647,-3.745976611,-3.754672705,-3.763751181,-3.772708467,-3.781040993,-3.788245187,-3.795054758,-3.802399547,-3.810070173,-3.81785726,-3.82555143,-3.832943303,-3.839823502,-3.84598265,-3.851211366,-3.855300275,-3.858166688,-3.859981802,-3.860917062,-3.861143914,-3.860833803,-3.860158176,-3.859288479,-3.858396156,-3.857652654,-3.857229418,-3.856175849,-3.85378604,-3.850598475,-3.847151642,-3.843984026,-3.841634112,-3.840640387,-3.841541336,-3.844875446,-3.851181201,-3.860218326,-3.871294905,-3.884271962,-3.899010524,-3.915371614,-3.933216259,-3.952405484,-3.972800312,-3.994261771,-4.016650885,-4.043189898,-4.075813068,-4.112449442,-4.151028063,-4.189477977,-4.225728229,-4.257707865,-4.283345929,-4.300571466,-4.307313523,-4.298078558,-4.271962264,-4.233777529,-4.188337244,-4.140454299,-4.094941585,-4.056611991,-4.030278408,-4.020753726,-4.032850836,-4.072760648,-4.138931413,-4.224562028,-4.322851391,-4.426998401,-4.530201954,-4.625660948,-4.706574281,-4.766140851,-4.797559555,-4.791574196,-4.750095434,-4.68307246,-4.600454463,-4.512190632,-4.428230155,-4.358522223,-4.313016025,-4.30166075,-4.334405586,-4.42617882,-4.574956268,-4.765258411,-4.98160573,-5.208518708,-5.430517825,-5.632123565,-5.797856407,-5.912236834,-5.959785329,-5.931708849,-5.839175206,-5.696646159,-5.518583469,-5.319448895,-5.113704196,-4.915811132,-4.740231463,-4.601426949,-4.513859348,-4.465477196,-4.434587852,-4.421191316,-4.425287588,-4.446876668,-4.485958557,-4.542533254,-4.616600759,-4.708161073,-4.817214195
