C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-6.950417490783056,-6.762811017815339,-6.792100491262309,-6.782323322120901,-6.690197229027923,-7.0000000000000036,-7.000000000000004,-6.916614998137916,-1.8712002141474615,10
-6.793958799897568,-6.646425162271629,-6.6145643754256405,-6.63278984432315,-6.5374535709049795,-6.836103214695925,-6.838049407256971,-6.717597642756703,-2.01781274369413,11
-6.578828099930025,-6.48639461089903,-6.370452216150221,-6.4271813123512445,-6.327431040985931,-6.6107451349028175,-6.615367342235302,-6.44394877910754,-2.219404971820799,12
-6.3196933931509385,-6.293630537654759,-6.076408024295737,-6.179516489748719,-6.0744493572198035,-6.339291084242937,-6.347136673004654,-6.114326284257415,-2.4622319738824676,13
-6.031222681830825,-6.079044116496046,-5.7490758107218785,-5.903814140059117,-5.792828237555625,-6.037106386338543,-6.048540267634689,-5.747388035273315,-2.7325488252341366,14
-5.728083968240197,-5.853546521380109,-5.4050995862883315,-5.614093026825975,-5.49688739994242,-5.719556364811891,-5.734760994195062,-5.3617919092222275,-3.016610601230807,15
-5.424945254649569,-5.62804892626417,-5.0611233618547855,-5.324371913592833,-5.2009465623292135,-5.402006343285238,-5.420981720755436,-4.976195783171141,-3.3006723772274764,16
-5.136474543329455,-5.413462505105457,-4.733791148280927,-5.04866956390323,-4.919325442665035,-5.099821645380843,-5.122385315385469,-4.6092575341870425,-3.5709892285791467,17
-4.87733983655037,-5.220698431861188,-4.439746956426444,-4.801004741300707,-4.6663437588989085,-4.828367594720964,-4.854154646154822,-4.279635039336922,-3.813816230640816,18
-4.6622091365828275,-5.060667880488587,-4.195634797151024,-4.5953962093288006,-4.456321228979859,-4.603009514927857,-4.631472581133153,-4.005986175687765,-4.015408458767484,19
-4.505750445697341,-4.944282024944878,-4.018098681314355,-4.445862731531049,-4.303577570856915,-4.439112729623778,-4.46952198839012,-3.806968820306558,-4.162020988314152,20
-4.390909624325404,-4.867024654113313,-3.8871127634362983,-4.335596303892047,-4.190923681208852,-4.3197950659143425,-4.352296951926491,-3.6614578189915017,-4.268473593762834,21
-4.290377203087675,-4.8158634998479215,-3.771095644681739,-4.238037249228283,-4.09119213528982,-4.217316596008169,-4.252963657930893,-3.5352192510651803,-4.359320372683031,22
-4.2034381895384065,-4.788935650562096,-3.6693580058779,-4.152576821331138,-4.0037351689119065,-4.13075601118203,-4.1704631277547835,-3.427247843881159,-4.435417885060976,23
-4.129377591231855,-4.784378194669226,-3.581210527852006,-4.078606273991996,-3.927905017887203,-4.059192002712696,-4.103736382749614,-3.336538324793004,-4.4976226908829045,24
-4.0674804157222795,-4.800328220582698,-3.505963891431282,-4.015516861002238,-3.863053918027796,-4.001703261876938,-4.051724444266842,-3.262085421154283,-4.546791350135044,25
-4.017031670563934,-4.834922816715903,-3.442928777442948,-3.9626998361532473,-3.80853410514577,-3.9573684799515236,-4.01336833365792,-3.2028838603185594,-4.583780422803631,26
-3.9773163633110755,-4.886299071482231,-3.3914158667142322,-3.919546453236409,-3.76369781505322,-3.9252663482132255,-3.9876090722743043,-3.1579283696394027,-4.6094464688749,27
-3.947619501517962,-4.952594073295071,-3.350735840072356,-3.8854479660431007,-3.7278972835622293,-3.9044755579388144,-3.97338768146745,-3.1262136764703774,-4.62464604833508,28
-3.9272260927388447,-5.031944910567811,-3.320199378344542,-3.8597956283647097,-3.7004847464848876,-3.894074800405059,-3.9696451825888093,-3.10673450816505,-4.630235721170405,29
-3.9154211445279845,-5.122488671713842,-3.2991171623580167,-3.8419806939926167,-3.6808124396332826,-3.8931427668887313,-3.97532259698984,-3.0984855920769876,-4.6270720473671085,30
-3.911489664439636,-5.222362445146552,-3.2867998729400028,-3.8313944167182035,-3.6682325988195026,-3.9007581486666005,-3.9893609460219954,-3.100461655559755,-4.616011586911424,31
