C1,C2,C3,C4,C5,C6,time
-6.276445685062689,-5.704820912627243,-2.743367228501921,-4.99617971951779,-6.105327170541358,-3.332271244735752,10
-6.246488214617626,-5.6306799511671475,-2.7647543767495275,-4.896508134500988,-5.845066108455955,-3.3202196809568814,11
-6.218687020665956,-5.5608086472106235,-2.790639568780757,-4.803233191563363,-5.601887246647045,-3.3087281310825545,12
-6.193042103207676,-5.495207000757672,-2.8210228045956094,-4.716354890704915,-5.3757905851146255,-3.2977965951127692,13
-6.1695534622427894,-5.433875011808297,-2.8559040841940844,-4.635873231925645,-5.1667761238587,-3.2874250730475287,14
-6.148221097771294,-5.3768126803625,-2.8952834075761835,-4.561788215225553,-4.974843862879265,-3.2776135648868316,15
-6.129045009793189,-5.32402000642028,-2.939160774741905,-4.494099840604637,-4.799993802176323,-3.2683620706306784,16
-6.112025198308474,-5.275496989981643,-2.9875361856912495,-4.4328081080629,-4.642225941749874,-3.2596705902790686,17
-6.097161663317149,-5.231243631046588,-3.040409640424218,-4.37791301760034,-4.501540281599916,-3.251539123832002,18
-6.084454404819213,-5.191259929615118,-3.09778113894081,-4.329414569216957,-4.37793682172645,-3.2439676712894787,19
-6.073903422814666,-5.155545885687234,-3.1596506812410246,-4.287312762912752,-4.2714155621294765,-3.2369562326515,20
-6.06765744152103,-5.127802182158278,-3.2379399750957405,-4.2526690976515,-4.188225954185261,-3.230101128331254,21
-6.066910196614704,-5.110084753970104,-3.3392721914887766,-4.226073295079745,-4.1318399153250605,-3.2231780918916235,22
-6.0702292052840106,-5.099926479192482,-3.4556995252395493,-4.206817689221634,-4.098091144631366,-3.2164562430571495,23
-6.076181984717267,-5.094860235895184,-3.579274171167475,-4.194194614101318,-4.082813341186667,-3.2102047015523727,24
-6.083336052102792,-5.092418902147977,-3.7020483240919657,-4.187496403742945,-4.081840204073452,-3.204692587101832,25
-6.090258924628909,-5.090135356020634,-3.8160741788324386,-4.186015392170666,-4.091005432374214,-3.2001890194300695,26
-6.095518119483937,-5.085542475582925,-3.913403930208309,-4.189043913408629,-4.10614272517144,-3.196963118261625,27
-6.097681153856192,-5.076173138904619,-3.9860897730389904,-4.195874301480982,-4.123085781547622,-3.1952840033210386,28
-6.095315544933999,-5.0595602240554864,-4.0261839021439005,-4.205798890411878,-4.137668300585249,-3.195420794332852,29
-6.086988809905675,-5.033236609105298,-4.025738512342452,-4.218110014225463,-4.14572398136681,-3.197642611021604,30
-6.078796280234201,-5.000929389773679,-3.9746638459094012,-4.241094783474025,-4.156493526590824,-3.200162842391287,31
-6.075609788907418,-4.967267671610286,-3.8755966502217016,-4.280091024291196,-4.179431268337589,-3.201709839655705,32
-6.074161605400939,-4.931137347429943,-3.739678877752062,-4.329967144073151,-4.210691349762264,-3.2033251658541206,33
-6.071183999190381,-4.891424310047475,-3.578052480973194,-4.3855915502160565,-4.246427914020013,-3.206050384025794,34
-6.063409239751353,-4.8470144522777,-3.401859412357806,-4.441832650116084,-4.2827951042659915,-3.210927057209986,35
-6.047569596559471,-4.796793666935445,-3.222241624378608,-4.4935588511694045,-4.315947063655364,-3.218996748445959,36
-6.020397339090349,-4.739647846835532,-3.0503410695083097,-4.535638560772188,-4.342037935343289,-3.231301020772973,37
-5.978624736819599,-4.674462884792783,-2.8972997002196226,-4.562940186320605,-4.357221862484927,-3.248881437230291,38
-5.918984059222835,-4.600124673622021,-2.7742594689852544,-4.570332135210825,-4.35765298823544,-3.272779560857172,39
-5.8382075757756695,-4.51551910613807,-2.692362328277917,-4.552682814839022,-4.339485455749985,-3.304036954692879,40
-5.726971607290397,-4.4129430227510955,-2.6488924207730324,-4.504174778322914,-4.298304234844796,-3.342284219691857,41
-5.58348508957691,-4.289272260769887,-2.63078631946673,-4.426897762317058,-4.235644826960572,-3.386235994714008,42
-5.415779214607231,-4.1502612083572155,-2.6336646223127773,-4.327580949522877,-4.156587172689182,-3.43555989965678,43
-5.2318851743533825,-4.001664253675847,-2.653147927264942,-4.2129535226418025,-4.066211212622498,-3.4899235544176195,44
-5.0398341607873824,-3.8492357848885455,-2.684856832276992,-4.089744664375252,-3.9695968873523846,-3.5489945788939714,45
-4.847657365881249,-3.698730190158079,-2.724411935302695,-3.964683557424654,-3.871824137470713,-3.612440592983285,46
