Var1.1.x,Var1.2.x,zmatrix,id,Var1.1.y,Var1.2.y,pmatrix,Var1.1.x.x,Var1.2.x.x,omatrix,Var1.1.y.y,Var1.2.y.y,cmatrix
im1.C1,im1.C2,-9.079321119742966,im1.C1_im1.C2,im1.C1,im1.C2,18.961562033292005,im1.C1,im1.C2,0,im1.C1,im1.C2,-0.5047863875512406
im1.C1,im1.C3,-0.3163239003775836,im1.C1_im1.C3,im1.C1,im1.C3,0.12392270879105219,im1.C1,im1.C3,0,im1.C1,im1.C3,-0.4915750660854217
im1.C1,im1.C4,-0.506056992850716,im1.C1_im1.C4,im1.C1,im1.C4,0.2126694501437848,im1.C1,im1.C4,0,im1.C1,im1.C4,-0.3394886090109268
im1.C1,im2.C1,-0.2571007608713569,im1.C1_im2.C1,im1.C1,im2.C1,0.09848665136845879,im1.C1,im2.C1,0,im1.C1,im2.C1,0.234852334590677
im1.C1,im2.C2,-0.11015263609585745,im1.C1_im2.C2,im1.C1,im2.C2,0.03986788320399693,im1.C1,im2.C2,0,im1.C1,im2.C2,-0.016324161732809594
im1.C1,im2.C3,-0.2636578217653229,im1.C1_im2.C3,im1.C1,im2.C3,0.10125091143416692,im1.C1,im2.C3,0,im1.C1,im2.C3,-0.4590542639881563
im1.C1,im2.C4,3.535786291793138,im1.C1_im2.C4,im1.C1,im2.C4,3.3908716711679268,im1.C1,im2.C4,0.16666666666666666,im1.C1,im2.C4,-0.4637664094860523
im1.C1,im2.C5,-0.11575579413063397,im1.C1_im2.C5,im1.C1,im2.C5,0.04198777441671821,im1.C1,im2.C5,0,im1.C1,im2.C5,-0.3128910730549803
im1.C1,im3.C1,-0.17877290712516095,im1.C1_im3.C1,im1.C1,im3.C1,0.06645399043350018,im1.C1,im3.C1,0,im1.C1,im3.C1,-0.3896894596546874
im1.C1,im3.C2,-0.19864928507683702,im1.C1_im3.C2,im1.C1,im3.C2,0.07441096753633399,im1.C1,im3.C2,0,im1.C1,im3.C2,-0.12066728917962055
im1.C1,im3.C3,-0.21463964444623523,im1.C1_im3.C3,im1.C1,im3.C3,0.08089664475695063,im1.C1,im3.C3,0,im1.C1,im3.C3,-0.3481565170368379
im1.C1,im3.C4,-0.46926616460341164,im1.C1_im3.C4,im1.C1,im3.C4,0.19458111697305588,im1.C1,im3.C4,0,im1.C1,im3.C4,0.33126162216508725
im1.C1,im3.C5,2.0482424107868042,im1.C1_im3.C5,im1.C1,im3.C5,1.392156401023666,im1.C1,im3.C5,0.16666666666666666,im1.C1,im3.C5,-0.2578635518938941
im1.C1,im4.C1,-0.19890790943460132,im1.C1_im4.C1,im1.C1,im4.C1,0.07451526573037295,im1.C1,im4.C1,0,im1.C1,im4.C1,-0.004977387451668092
im1.C1,im4.C2,-0.13909933088699963,im1.C1_im4.C2,im1.C1,im4.C2,0.050916715028094174,im1.C1,im4.C2,0,im1.C1,im4.C2,-0.06259111957867636
im1.C1,im4.C3,-0.14638650618501056,im1.C1_im4.C3,im1.C1,im4.C3,0.05373629162040511,im1.C1,im4.C3,0,im1.C1,im4.C3,0.2585355302121177
im1.C1,im4.C4,-0.12334179328006849,im1.C1_im4.C4,im1.C1,im4.C4,0.04487221690198643,im1.C1,im4.C4,0,im1.C1,im4.C4,0.41222330916853667
im1.C1,im4.C5,-0.13909933088699963,im1.C1_im4.C5,im1.C1,im4.C5,0.050916715028094174,im1.C1,im4.C5,0,im1.C1,im4.C5,0.2493666560402924
im1.C1,im4.C6,-0.2907755951126374,im1.C1_im4.C6,im1.C1,im4.C6,0.11282005434973866,im1.C1,im4.C6,0,im1.C1,im4.C6,-0.1531739165236925
im1.C1,im4.C7,-0.18751397463450506,im1.C1_im4.C7,im1.C1,im4.C7,0.0699389630825422,im1.C1,im4.C7,0,im1.C1,im4.C7,0.46604679538821514
im1.C1,im4.C8,-0.28058919744582556,im1.C1_im4.C8,im1.C1,im4.C8,0.1084483248486717,im1.C1,im4.C8,0,im1.C1,im4.C8,0.34440162699826615
im1.C1,im4.C9,-0.2446559567854376,im1.C1_im4.C9,im1.C1,im4.C9,0.09327565080791382,im1.C1,im4.C9,0,im1.C1,im4.C9,0.09205175854981618
im1.C1,im4.C10,-0.09525047970989271,im1.C1_im4.C10,im1.C1,im4.C10,0.03427356903144122,im1.C1,im4.C10,0,im1.C1,im4.C10,-0.12428044874279864
im1.C1,im4.C11,-0.1274515689939688,im1.C1_im4.C11,im1.C1,im4.C11,0.04644180057105058,im1.C1,im4.C11,0,im1.C1,im4.C11,-0.6672687704070419
im1.C1,im4.C12,-0.27093579444690546,im1.C1_im4.C12,im1.C1,im4.C12,0.10433417669824951,im1.C1,im4.C12,0,im1.C1,im4.C12,-0.5741525925980322
im1.C1,im4.C13,-0.4686440007492255,im1.C1_im4.C13,im1.C1,im4.C13,0.19427891007534873,im1.C1,im4.C13,0,im1.C1,im4.C13,-0.41035191163345797
im1.C1,im4.C14,-0.45167690586919346,im1.C1_im4.C14,im1.C1,im4.C14,0.18608440826996817,im1.C1,im4.C14,0,im1.C1,im4.C14,-0.0659902485058963
im1.C1,im4.C15,-0.11909905196305713,im1.C1_im4.C15,im1.C1,im4.C15,0.04325695075096384,im1.C1,im4.C15,0,im1.C1,im4.C15,0.290268171209874
im1.C1,im4.C16,-0.23425813622532474,im1.C1_im4.C16,im1.C1,im4.C16,0.08895719650158941,im1.C1,im4.C16,0,im1.C1,im4.C16,-0.13143042109484782
im1.C1,im4.C17,-0.15335550846133633,im1.C1_im4.C17,im1.C1,im4.C17,0.05644715558903089,im1.C1,im4.C17,0,im1.C1,im4.C17,-0.21403950949238504
im1.C1,im4.C18,-0.1567340861794007,im1.C1_im4.C18,im1.C1,im4.C18,0.057766459186478096,im1.C1,im4.C18,0,im1.C1,im4.C18,-0.6073113698665844
im1.C1,im4.C19,-0.2171698036115805,im1.C1_im4.C19,im1.C1,im4.C19,0.08192979369929226,im1.C1,im4.C19,0,im1.C1,im4.C19,-0.6685325742082702
im1.C1,im4.C20,-0.19063892856447892,im1.C1_im4.C20,im1.C1,im4.C20,0.07119028572327958,im1.C1,im4.C20,0,im1.C1,im4.C20,-0.2597634223274956
im1.C1,im4.C21,-0.3154854344974697,im1.C1_im4.C21,im1.C1,im4.C21,0.12355519104105292,im1.C1,im4.C21,0,im1.C1,im4.C21,-0.8372147762174336
im1.C1,im4.C22,-0.1567340861794007,im1.C1_im4.C22,im1.C1,im4.C22,0.057766459186478096,im1.C1,im4.C22,0,im1.C1,im4.C22,0.016891803602227418
im1.C2,im1.C3,-12.740444542586687,im1.C2_im1.C3,im1.C2,im1.C3,36.45298725809844,im1.C2,im1.C3,0,im1.C2,im1.C3,-0.17218308983179864
im1.C2,im1.C4,-20.468517770126585,im1.C2_im1.C4,im1.C2,im1.C4,92.38623259730001,im1.C2,im1.C4,0,im1.C2,im1.C4,0.6691429063156886
im1.C2,im2.C1,1.4573287543068474,im1.C2_im2.C1,im1.C2,im2.C1,0.8385551698120753,im1.C2,im2.C1,0.3103448275862069,im1.C2,im2.C1,0.2488638429020391
im1.C2,im2.C2,-1.5433859592428103,im1.C2_im2.C2,im1.C2,im2.C2,0.9110239358866035,im1.C2,im2.C2,0,im1.C2,im2.C2,-0.3846417165863971
im1.C2,im2.C3,-2.006096134738648,im1.C2_im2.C3,im1.C2,im2.C3,1.348276363127357,im1.C2,im2.C3,0.09375,im1.C2,im2.C3,0.7889123605310784
im1.C2,im2.C4,0.5778544925574575,im1.C2_im2.C4,im1.C2,im2.C4,0.2492121718426697,im1.C2,im2.C4,0.24324324324324326,im1.C2,im2.C4,0.9111344053034998
im1.C2,im2.C5,-1.5092420684147816,im1.C2_im2.C5,im1.C2,im2.C5,0.8819439270518907,im1.C2,im2.C5,0,im1.C2,im2.C5,-0.4944358252153256
im1.C2,im3.C1,-0.5767661425585091,im1.C2_im3.C1,im1.C2,im3.C1,0.24864586796905125,im1.C2,im3.C1,0.15789473684210525,im1.C2,im3.C1,0.9647250996711395
im1.C2,im3.C2,-0.9905182652074311,im1.C2_im3.C2,im1.C2,im3.C2,0.49225087269367845,im1.C2,im3.C2,0.1111111111111111,im1.C2,im3.C2,0.5269228417351067
im1.C2,im3.C3,1.83757425390774,im1.C2_im3.C3,im1.C2,im3.C3,1.1796332279547355,im1.C2,im3.C3,0.34782608695652173,im1.C2,im3.C3,0.6004221379058051
im1.C2,im3.C4,-1.885100488860088,im1.C2_im3.C4,im1.C2,im3.C4,1.2260946004648723,im1.C2,im3.C4,0.15384615384615385,im1.C2,im3.C4,0.2621089956877749
im1.C2,im3.C5,0.7001028542867336,im1.C2_im3.C5,im1.C2,im3.C5,0.315277520296787,im1.C2,im3.C5,0.23157894736842105,im1.C2,im3.C5,0.07406184377097236
im1.C2,im4.C1,1.418123321496854,im1.C2_im4.C1,im1.C2,im4.C1,0.8064447630501899,im1.C2,im4.C1,0.46153846153846156,im1.C2,im4.C1,0.15315656637659836
im1.C2,im4.C2,2.2528886730938797,im1.C2_im4.C2,im1.C2,im4.C2,1.6149987780071662,im1.C2,im4.C2,0.6666666666666666,im1.C2,im4.C2,-0.38010121818338294
im1.C2,im4.C3,-0.7884462128177329,im1.C2_im4.C3,im1.C2,im4.C3,0.36609166679118627,im1.C2,im4.C3,0.14285714285714285,im1.C2,im4.C3,0.47021447902611335
im1.C2,im4.C4,-0.39222709008117757,im1.C2_im4.C4,im1.C2,im4.C4,0.15808366964069673,im1.C2,im4.C4,0.2,im1.C2,im4.C4,-0.5293794616480625
im1.C2,im4.C5,0.1594800473983806,im1.C2_im4.C5,im1.C2,im4.C5,0.05884117622222074,im1.C2,im4.C5,0.3,im1.C2,im4.C5,-0.45729328485551224
im1.C2,im4.C6,-0.15471744264866188,im1.C2_im4.C6,im1.C2,im4.C6,0.05697857938630819,im1.C2,im4.C6,0.2692307692307692,im1.C2,im4.C6,0.343925456770801
im1.C2,im4.C7,1.0158579204019984,im1.C2_im4.C7,im1.C2,im4.C7,0.5090629320275682,im1.C2,im4.C7,0.4,im1.C2,im4.C7,0.3736973994657272
im1.C2,im4.C8,-1.4265433204254705,im1.C2_im4.C8,im1.C2,im4.C8,0.8132934369509646,im1.C2,im4.C8,0.15384615384615385,im1.C2,im4.C8,0.3747046242141847
im1.C2,im4.C9,-1.2111924970065078,im1.C2_im4.C9,im1.C2,im4.C9,0.6462344474398406,im1.C2,im4.C9,0.16666666666666666,im1.C2,im4.C9,-0.11346943313242752
im1.C2,im4.C10,2.1290151918195637,im1.C2_im4.C10,im1.C2,im4.C10,1.4781691216080999,im1.C2,im4.C10,0.6666666666666666,im1.C2,im4.C10,-0.652558031712664
im1.C2,im4.C11,1.172296095559948,im1.C2_im4.C11,im1.C2,im4.C11,0.6178420622761968,im1.C2,im4.C11,0.5,im1.C2,im4.C11,0.39688353071385385
im1.C2,im4.C12,-1.2845913083117568,im1.C2_im4.C12,im1.C2,im4.C12,0.7012885014590082,im1.C2,im4.C12,0.16666666666666666,im1.C2,im4.C12,0.2699939874350221
im1.C2,im4.C13,-1.7113042606526203,im1.C2_im4.C13,im1.C2,im4.C13,1.0603561664187369,im1.C2,im4.C13,0.2,im1.C2,im4.C13,0.1941099716187482
im1.C2,im4.C14,0.343053811428371,im1.C2_im4.C14,im1.C2,im4.C14,0.1357512491202066,im1.C2,im4.C14,0.29577464788732394,im1.C2,im4.C14,0.34455739301495225
im1.C2,im4.C15,1.6441768669105163,im1.C2_im4.C15,im1.C2,im4.C15,0.9993938272987339,im1.C2,im4.C15,0.6,im1.C2,im4.C15,-0.8853318982033569
im1.C2,im4.C16,-0.28419112933496055,im1.C2_im4.C16,im1.C2,im4.C16,0.10999060281693962,im1.C2,im4.C16,0.25,im1.C2,im4.C16,-0.38918699003647794
im1.C2,im4.C17,-0.16937398373902143,im1.C2_im4.C17,im1.C2,im4.C17,0.06273168044923319,im1.C2,im4.C17,0.25,im1.C2,im4.C17,-0.14482992821632767
im1.C2,im4.C18,-0.14314775522452117,im1.C2_im4.C18,im1.C2,im4.C18,0.05248124606121766,im1.C2,im4.C18,0.25,im1.C2,im4.C18,0.5206123960561553
im1.C2,im4.C19,0.5778184863472747,im1.C2_im4.C19,im1.C2,im4.C19,0.249193430521365,im1.C2,im4.C19,0.3333333333333333,im1.C2,im4.C19,0.26471337536772765
im1.C2,im4.C20,0.37046977559934796,im1.C2_im4.C20,im1.C2,im4.C20,0.14811055252061917,im1.C2,im4.C20,0.3333333333333333,im1.C2,im4.C20,-0.2590965013623303
im1.C2,im4.C21,2.4038660440679176,im1.C2_im4.C21,im1.C2,im4.C21,1.789876417687311,im1.C2,im4.C21,0.4444444444444444,im1.C2,im4.C21,0.27361928100043076
im1.C2,im4.C22,-1.85473833899915,im1.C2_im4.C22,im1.C2,im4.C22,1.1963134990011064,im1.C2,im4.C22,0,im1.C2,im4.C22,0.002372398536542031
im1.C3,im1.C4,-0.6556151666942805,im1.C3_im1.C4,im1.C3,im1.C4,0.290669170406134,im1.C3,im1.C4,0,im1.C3,im1.C4,-0.49266396205049245
im1.C3,im2.C1,-0.34975209879605423,im1.C3_im2.C1,im1.C3,im2.C1,0.13874958584416666,im1.C3,im2.C1,0,im1.C3,im2.C1,0.21114778679871382
im1.C3,im2.C2,-0.1567340861794007,im1.C3_im2.C2,im1.C3,im2.C2,0.057766459186478096,im1.C3,im2.C2,0,im1.C3,im2.C2,-0.3002816624364444
im1.C3,im2.C3,-0.35745831834927905,im1.C3_im2.C3,im1.C3,im2.C3,0.14221611731364187,im1.C3,im2.C3,0,im1.C3,im2.C3,-0.21168198594953513
im1.C3,im2.C4,8.21523761656318,im1.C3_im2.C4,im1.C3,im2.C4,15.674187754581471,im1.C3,im2.C4,0.2727272727272727,im1.C3,im2.C4,0.037199214793823376
im1.C3,im2.C5,-0.17877290712516095,im1.C3_im2.C5,im1.C3,im2.C5,0.06645399043350018,im1.C3,im2.C5,0,im1.C3,im2.C5,0.4810836877878032
im1.C3,im3.C1,3.2598438399644243,im1.C3_im3.C1,im1.C3,im3.C1,2.952828085695766,im1.C3,im3.C1,0.09090909090909091,im1.C3,im3.C1,-0.2524797622837931
im1.C3,im3.C2,8.68631893600313,im1.C3_im3.C2,im1.C3,im3.C2,17.426695602842134,im1.C3,im3.C2,0.18181818181818182,im1.C3,im3.C2,-0.6275518262541315
im1.C3,im3.C3,-0.2895796947021094,im1.C3_im3.C3,im1.C3,im3.C3,0.11230518445977651,im1.C3,im3.C3,0,im1.C3,im3.C3,0.24897340455025052
im1.C3,im3.C4,0.8630531574419699,im1.C3_im3.C4,im1.C3,im3.C4,0.41104713553168154,im1.C3,im3.C4,0.09090909090909091,im1.C3,im3.C4,-0.010359898708606874
im1.C3,im3.C5,-0.581691325484285,im1.C3_im3.C5,im1.C3,im3.C5,0.25121165372230586,im1.C3,im3.C5,0,im1.C3,im3.C5,0.7665026505904217
im1.C3,im4.C1,-0.2785133361391348,im1.C3_im4.C1,im1.C3,im4.C1,0.1075612555898107,im1.C3,im4.C1,0,im1.C3,im4.C1,0.2275570650043247
im1.C3,im4.C2,-0.1959162514190527,im1.C3_im4.C2,im1.C3,im4.C2,0.07330999088528303,im1.C3,im4.C2,0,im1.C3,im4.C2,-0.09993018532974562
im1.C3,im4.C3,-0.18495282417365602,im1.C3_im4.C3,im1.C3,im4.C3,0.06891553999363403,im1.C3,im4.C3,0,im1.C3,im4.C3,-0.2413335343908789
im1.C3,im4.C4,-0.1669061246075559,im1.C3_im4.C4,im1.C3,im4.C4,0.06175859564119197,im1.C3,im4.C4,0,im1.C3,im4.C4,-0.37290515828223403
im1.C3,im4.C5,3.854764954941057,im1.C3_im4.C5,im1.C3,im4.C5,3.936138196040388,im1.C3,im4.C5,0.1,im1.C3,im4.C5,0.27852999855186056
im1.C3,im4.C6,-0.35565899097588644,im1.C3_im4.C6,im1.C3,im4.C6,0.14140508485959866,im1.C3,im4.C6,0,im1.C3,im4.C6,0.38968141152326763
im1.C3,im4.C7,6.245750953136132,im1.C3_im4.C7,im1.C3,im4.C7,9.374925596707277,im1.C3,im4.C7,0.18181818181818182,im1.C3,im4.C7,-0.6667553712383496
im1.C3,im4.C8,-0.3692713335029915,im1.C3_im4.C8,im1.C3,im4.C8,0.14756545686382802,im1.C3,im4.C8,0,im1.C3,im4.C8,-0.5595999433007313
im1.C3,im4.C9,-0.34803500362584233,im1.C3_im4.C9,im1.C3,im4.C9,0.1379796569153408,im1.C3,im4.C9,0,im1.C3,im4.C9,0.15678473134479165
im1.C3,im4.C10,-0.15386028006600835,im1.C3_im4.C10,im1.C3,im4.C10,0.056644053547206155,im1.C3,im4.C10,0,im1.C3,im4.C10,0.7917661429992052
im1.C3,im4.C11,-0.19315034025833014,im1.C3_im4.C11,im1.C3,im4.C11,0.07219800621771007,im1.C3,im4.C11,0,im1.C3,im4.C11,0.06493176567146319
im1.C3,im4.C12,-0.3275576389121344,im1.C3_im4.C12,im1.C3,im4.C12,0.12886732852659932,im1.C3,im4.C12,0,im1.C3,im4.C12,-0.09883076416961001
im1.C3,im4.C13,-0.6819084017035862,im1.C3_im4.C13,im1.C3,im4.C13,0.30513441433962896,im1.C3,im4.C13,0,im1.C3,im4.C13,0.6767124871350064
im1.C3,im4.C14,-0.6049695578154677,im1.C3_im4.C14,im1.C3,im4.C14,0.26344477095978935,im1.C3,im4.C14,0,im1.C3,im4.C14,-0.115125654638359
im1.C3,im4.C15,-0.18751397463450506,im1.C3_im4.C15,im1.C3,im4.C15,0.0699389630825422,im1.C3,im4.C15,0,im1.C3,im4.C15,-0.003610670591384313
im1.C3,im4.C16,-0.3010497509111115,im1.C3_im4.C16,im1.C3,im4.C16,0.11726118095571869,im1.C3,im4.C16,0,im1.C3,im4.C16,0.18848866160059374
im1.C3,im4.C17,5.172136889139729,im1.C3_im4.C17,im1.C3,im4.C17,6.6355767165420705,im1.C3,im4.C17,0.125,im1.C3,im4.C17,0.7196973665649445
im1.C3,im4.C18,-0.19864928507683702,im1.C3_im4.C18,im1.C3,im4.C18,0.07441096753633399,im1.C3,im4.C18,0,im1.C3,im4.C18,0.5508342085269395
im1.C3,im4.C19,-0.2658168360137673,im1.C3_im4.C19,im1.C3,im4.C19,0.10216390597744529,im1.C3,im4.C19,0,im1.C3,im4.C19,0.07176285045637998
im1.C3,im4.C20,-0.19618431362105718,im1.C3_im4.C20,im1.C3,im4.C20,0.07341788001193805,im1.C3,im4.C20,0,im1.C3,im4.C20,0.3051854906223569
im1.C3,im4.C21,-0.4285090026212443,im1.C3_im4.C21,im1.C3,im4.C21,0.17504115875247325,im1.C3,im4.C21,0,im1.C3,im4.C21,0.5949609849968748
im1.C3,im4.C22,-0.19063892856447887,im1.C3_im4.C22,im1.C3,im4.C22,0.07119028572327951,im1.C3,im4.C22,0,im1.C3,im4.C22,0.06881705800682436
im1.C4,im2.C1,1.311788531037171,im1.C4_im2.C1,im1.C4,im2.C1,0.7221811472311268,im1.C4,im2.C1,0.037037037037037035,im1.C4,im2.C1,-0.43442512139434664
im1.C4,im2.C2,-0.29870312552718786,im1.C4_im2.C2,im1.C4,im2.C2,0.11624401132095048,im1.C4,im2.C2,0,im1.C4,im2.C2,-0.013336872623711304
im1.C4,im2.C3,-0.57881387857539,im1.C4_im2.C3,im1.C4,im2.C3,0.24971168889869655,im1.C4,im2.C3,0,im1.C4,im2.C3,0.8772815679850622
im1.C4,im2.C4,-0.582833161026955,im1.C4_im2.C4,im1.C4,im2.C4,0.25180761526218587,im1.C4,im2.C4,0,im1.C4,im2.C4,0.30910050964619995
im1.C4,im2.C5,-0.2673718200118101,im1.C4_im2.C5,im1.C4,im2.C5,0.10282233676681757,im1.C4,im2.C5,0,im1.C4,im2.C5,-0.4431721334419161
