Var1.1.x,Var1.2.x,zmatrix,id,Var1.1.y,Var1.2.y,pmatrix,Var1.1.x.x,Var1.2.x.x,omatrix,Var1.1.y.y,Var1.2.y.y,cmatrix
rm1.C1,rm1.C2,-9.235524374487053,rm1.C1_rm1.C2,rm1.C1,rm1.C2,19.590026394134416,rm1.C1,rm1.C2,0,rm1.C1,rm1.C2,0.8842758558647085
rm1.C1,rm1.C3,-2.0357542096929775,rm1.C1_rm1.C3,rm1.C1,rm1.C3,1.379083098697224,rm1.C1,rm1.C3,0,rm1.C1,rm1.C3,-0.19433182439742902
rm1.C1,rm1.C4,-0.9901810563870905,rm1.C1_rm1.C4,rm1.C1,rm1.C4,0.4920286508834283,rm1.C1,rm1.C4,0,rm1.C1,rm1.C4,0.053196995905146816
rm1.C1,rm1.C5,-0.8380706726847957,rm1.C1_rm1.C5,rm1.C1,rm1.C5,0.39578365617698175,rm1.C1,rm1.C5,0,rm1.C1,rm1.C5,0.33894784567034764
rm1.C1,rm1.C6,-1.618502062784567,rm1.C1_rm1.C6,rm1.C1,rm1.C6,0.9765234831310524,rm1.C1,rm1.C6,0,rm1.C1,rm1.C6,0.508278243475144
rm1.C1,rm1.C7,-0.8623655473927307,rm1.C1_rm1.C7,rm1.C1,rm1.C7,0.4106241878857727,rm1.C1,rm1.C7,0,rm1.C1,rm1.C7,0.6475085243438328
rm1.C1,rm1.C8,-2.1230841594374197,rm1.C1_rm1.C8,rm1.C1,rm1.C8,1.4717674002309815,rm1.C1,rm1.C8,0,rm1.C1,rm1.C8,-0.9226319662520239
rm1.C1,rm1.C9,-1.026900993358002,rm1.C1_rm1.C9,rm1.C1,rm1.C9,0.5164596485658156,rm1.C1,rm1.C9,0,rm1.C1,rm1.C9,0.34095578865564713
rm1.C1,rm1.C10,-1.0453202178241572,rm1.C1_rm1.C10,rm1.C1,rm1.C10,0.5288917342670625,rm1.C1,rm1.C10,0,rm1.C1,rm1.C10,-0.10066699556541892
rm1.C1,rm2.C1,10.16317587431749,rm1.C1_rm2.C1,rm1.C1,rm2.C1,23.53836652605876,rm1.C1,rm2.C1,0.4222222222222222,rm1.C1,rm2.C1,0.897278877916463
rm1.C1,rm2.C2,-1.0927331799829585,rm1.C1_rm2.C2,rm1.C1,rm2.C2,0.561440300000932,rm1.C1,rm2.C2,0,rm1.C1,rm2.C2,-0.08425236802337177
rm1.C1,rm2.C3,-0.42452383911593033,rm1.C1_rm2.C3,rm1.C1,rm2.C3,0.1731585192465098,rm1.C1,rm2.C3,0,rm1.C1,rm2.C3,0.448114513927649
rm1.C1,rm2.C4,-2.932780846974531,rm1.C1_rm2.C4,rm1.C1,rm2.C4,2.4737370781693535,rm1.C1,rm2.C4,0.044444444444444446,rm1.C1,rm2.C4,-0.30758711772139913
rm1.C1,rm2.C5,-0.8116729965836307,rm1.C1_rm2.C5,rm1.C1,rm2.C5,0.3798855113217754,rm1.C1,rm2.C5,0,rm1.C1,rm2.C5,0.17397522248005415
rm1.C1,rm2.C6,-0.5316807524278772,rm1.C1_rm2.C6,rm1.C1,rm2.C6,0.22552162980966492,rm1.C1,rm2.C6,0,rm1.C1,rm2.C6,-0.04351184187782864
rm1.C1,rm2.C7,-0.5928219011140079,rm1.C1_rm2.C7,rm1.C1,rm2.C7,0.2570390558088555,rm1.C1,rm2.C7,0,rm1.C1,rm2.C7,-0.14901678457356993
rm1.C1,rm2.C8,-1.0846687976796996,rm1.C1_rm2.C8,rm1.C1,rm2.C8,0.5558484054226451,rm1.C1,rm2.C8,0,rm1.C1,rm2.C8,-0.680684504985805
rm1.C1,rm2.C9,-1.3000892642758848,rm1.C1_rm2.C9,rm1.C1,rm2.C9,0.7131611046419865,rm1.C1,rm2.C9,0,rm1.C1,rm2.C9,0.25064005282348334
rm1.C1,rm2.C10,-0.40602199075471995,rm1.C1_rm2.C10,rm1.C1,rm2.C10,0.16448290037652066,rm1.C1,rm2.C10,0,rm1.C1,rm2.C10,-0.7241885459399735
rm1.C1,rm3.C1,6.72282514238323,rm1.C1_rm3.C1,rm1.C1,rm3.C1,10.749008399362957,rm1.C1,rm3.C1,0.3111111111111111,rm1.C1,rm3.C1,0.9148894143648845
rm1.C1,rm3.C2,-1.0370058515094356,rm1.C1_rm3.C2,rm1.C1,rm3.C2,0.5232652509568174,rm1.C1,rm3.C2,0,rm1.C1,rm3.C2,-0.06473284227333509
rm1.C1,rm3.C3,1.5893486474852383,rm1.C1_rm3.C3,rm1.C1,rm3.C3,0.9508529382413071,rm1.C1,rm3.C3,0.1,rm1.C1,rm3.C3,0.6277996934496609
rm1.C1,rm3.C4,-2.512887092992962,rm1.C1_rm3.C4,rm1.C1,rm3.C4,1.921732990660655,rm1.C1,rm3.C4,0.044444444444444446,rm1.C1,rm3.C4,0.1916007392472997
rm1.C1,rm3.C5,-1.2145255583271515,rm1.C1_rm3.C5,rm1.C1,rm3.C5,0.6486925569936981,rm1.C1,rm3.C5,0,rm1.C1,rm3.C5,0.49385973084848955
rm1.C1,rm3.C6,-0.48325197105906104,rm1.C1_rm3.C6,rm1.C1,rm3.C6,0.20140677780166688,rm1.C1,rm3.C6,0,rm1.C1,rm3.C6,0.13546161517619226
rm1.C1,rm3.C7,-0.43253342877707907,rm1.C1_rm3.C7,rm1.C1,rm3.C7,0.17694738348630298,rm1.C1,rm3.C7,0,rm1.C1,rm3.C7,0.2937180700112205
rm1.C1,rm3.C8,-0.730310475196452,rm1.C1_rm3.C8,rm1.C1,rm3.C8,0.3323598956388397,rm1.C1,rm3.C8,0,rm1.C1,rm3.C8,-0.05050369625048301
rm1.C1,rm3.C9,-0.6786233119169419,rm1.C1_rm3.C9,rm1.C1,rm3.C9,0.3033146785855028,rm1.C1,rm3.C9,0,rm1.C1,rm3.C9,-0.17780650152471744
rm1.C1,rm3.C10,-0.909425498693622,rm1.C1_rm3.C10,rm1.C1,rm3.C10,0.4399431718661467,rm1.C1,rm3.C10,0,rm1.C1,rm3.C10,-0.5796650724834689
rm1.C1,rm4.C1,8.273250987920134,rm1.C1_rm4.C1,rm1.C1,rm4.C1,15.884872682095727,rm1.C1,rm4.C1,0.26666666666666666,rm1.C1,rm4.C1,0.9572876890601592
rm1.C1,rm4.C2,-1.0107885890599497,rm1.C1_rm4.C2,rm1.C1,rm4.C2,0.5056817053795618,rm1.C1,rm4.C2,0,rm1.C1,rm4.C2,0.022783099342902347
rm1.C1,rm4.C3,-2.6458711071717325,rm1.C1_rm4.C3,rm1.C1,rm4.C3,2.0889444128688184,rm1.C1,rm4.C3,0.1111111111111111,rm1.C1,rm4.C3,0.48898614983031086
rm1.C1,rm4.C4,0.3061581596922723,rm1.C1_rm4.C4,rm1.C1,rm4.C4,0.11948124089163666,rm1.C1,rm4.C4,0.03225806451612903,rm1.C1,rm4.C4,0.7797740567222853
rm1.C1,rm4.C5,-0.5178248296360042,rm1.C1_rm4.C5,rm1.C1,rm4.C5,0.2185458697440302,rm1.C1,rm4.C5,0,rm1.C1,rm4.C5,0.03929299154226884
rm1.C1,rm4.C6,-0.9738769381381677,rm1.C1_rm4.C6,rm1.C1,rm4.C6,0.4813312608179399,rm1.C1,rm4.C6,0,rm1.C1,rm4.C6,-0.4359747828548477
rm1.C1,rm4.C7,-0.9004595744664171,rm1.C1_rm4.C7,rm1.C1,rm4.C7,0.43429886391731054,rm1.C1,rm4.C7,0,rm1.C1,rm4.C7,-0.8380849317516259
rm1.C1,rm4.C8,-0.4562212592747518,rm1.C1_rm4.C8,rm1.C1,rm4.C8,0.18827028456554631,rm1.C1,rm4.C8,0,rm1.C1,rm4.C8,0.21875204802721293
rm1.C1,rm4.C9,-0.6156201233353742,rm1.C1_rm4.C9,rm1.C1,rm4.C9,0.26910047520818875,rm1.C1,rm4.C9,0,rm1.C1,rm4.C9,-0.5934057626382945
rm1.C1,rm4.C10,-0.5226838068714595,rm1.C1_rm4.C10,rm1.C1,rm4.C10,0.2209851393128172,rm1.C1,rm4.C10,0,rm1.C1,rm4.C10,-0.682816954728783
rm1.C2,rm1.C3,-9.84287359240281,rm1.C2_rm1.C3,rm1.C2,rm1.C3,22.133248235083823,rm1.C2,rm1.C3,0,rm1.C2,rm1.C3,-0.24518523585674923
rm1.C2,rm1.C4,-4.6294177708481286,rm1.C2_rm1.C4,rm1.C2,rm1.C4,5.435694653471774,rm1.C2,rm1.C4,0,rm1.C2,rm1.C4,0.36764407930482557
rm1.C2,rm1.C5,-3.7946978757678953,rm1.C2_rm1.C5,rm1.C2,rm1.C5,3.8302569617476383,rm1.C2,rm1.C5,0,rm1.C2,rm1.C5,0.5985954789942567
rm1.C2,rm1.C6,-7.4540946648340665,rm1.C2_rm1.C6,rm1.C2,rm1.C6,13.043413751175665,rm1.C2,rm1.C6,0,rm1.C2,rm1.C6,0.7631770318313238
