dtwclust	series
1	C1
1	C2
1	C3
1	C7
1	Enterococcaceae
1	Lachnospiraceae
1	Oscillospiraceae
1	Sutterellaceae
2	C4
2	C8
2	Acholeplasmataceae
2	Enterobacteriaceae
2	Lactobacillaceae
3	C5
3	C6
3	C9
3	C10
