dtwclust	series
1	C1
1	C2
1	C3
1	Anaeroplasmataceae
1	Desulfovibrionaceae
1	Enterobacteriaceae
1	Marinifilaceae
1	Muribaculaceae
1	Peptococcaceae
1	Prevotellaceae
1	Saccharimonadaceae
1	Tannerellaceae
2	C4
2	C5
2	Bacteroidaceae
2	Clostridiales_vadinBB60_group
2	Deferribacteraceae
2	Lachnospiraceae
2	Lactobacillaceae
2	Rikenellaceae
2	Ruminococcaceae
