dtwclust	series
1	C1
1	C3
1	Bacteroidaceae
1	Clostridiales_vadinBB60_group
1	Deferribacteraceae
1	Desulfovibrionaceae
1	Lachnospiraceae
1	Lactobacillaceae
1	Peptococcaceae
1	Rikenellaceae
2	C2
2	C4
2	Anaeroplasmataceae
2	Enterobacteriaceae
2	Marinifilaceae
2	Muribaculaceae
2	Prevotellaceae
2	Ruminococcaceae
2	Saccharimonadaceae
2	Tannerellaceae
