iso1	iso2	dist	id
Lachnospiraceae	Acholeplasmataceae	0.30097573582098114	Lachnospiraceae_Acholeplasmataceae
Lactobacillaceae	Acholeplasmataceae	0.5718567845777544	Lactobacillaceae_Acholeplasmataceae
Sutterellaceae	Acholeplasmataceae	0.533011778017828	Sutterellaceae_Acholeplasmataceae
Enterococcaceae	Enterobacteriaceae	0.5718567845777544	Enterococcaceae_Enterobacteriaceae
Lachnospiraceae	Enterobacteriaceae	0.5718567845777544	Lachnospiraceae_Enterobacteriaceae
Lactobacillaceae	Enterobacteriaceae	0.0828736271712952	Lactobacillaceae_Enterobacteriaceae
Sutterellaceae	Enterobacteriaceae	0.5718567845777544	Sutterellaceae_Enterobacteriaceae
Lachnospiraceae	Enterococcaceae	0.19115203497355965	Lachnospiraceae_Enterococcaceae
Lactobacillaceae	Enterococcaceae	0.5718567845777544	Lactobacillaceae_Enterococcaceae
Sutterellaceae	Enterococcaceae	0.533011778017828	Sutterellaceae_Enterococcaceae
Lactobacillaceae	Lachnospiraceae	0.5718567845777544	Lactobacillaceae_Lachnospiraceae
Sutterellaceae	Lachnospiraceae	0.533011778017828	Sutterellaceae_Lachnospiraceae
Sutterellaceae	Lactobacillaceae	0.5718567845777544	Sutterellaceae_Lactobacillaceae
