dtwclust	series
1	C1
1	C2
1	C5
1	Bacteroidaceae
1	Deferribacteraceae
1	Desulfovibrionaceae
1	Lachnospiraceae
1	Lactobacillaceae
1	Peptococcaceae
1	Rikenellaceae
1	Ruminococcaceae
1	Tannerellaceae
2	C3
2	C4
2	Anaeroplasmataceae
2	Clostridiales_vadinBB60_group
2	Enterobacteriaceae
2	Marinifilaceae
2	Muribaculaceae
2	Prevotellaceae
2	Saccharimonadaceae
