dtwclust	series
1	C1
1	C3
1	C10
1	Saccharimonadaceae
1	Tannerellaceae
2	C2
3	C4
3	Lachnospiraceae
3	Peptococcaceae
3	Ruminococcaceae
4	C5
4	C8
4	C12
4	C13
4	C14
4	C21
4	Anaeroplasmataceae
4	Desulfovibrionaceae
4	Rikenellaceae
5	C6
5	C7
5	C15
5	C17
5	Bacteroidaceae
5	Lactobacillaceae
5	Muribaculaceae
6	C9
7	C11
7	C19
7	Clostridiales_vadinBB60_group
7	Deferribacteraceae
7	Marinifilaceae
8	C16
8	C18
8	Prevotellaceae
9	C20
9	Enterobacteriaceae
10	C22
