C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,time
-4.149931316796721,-3.6720742536295177,-3.808680224871078,-4.3480838110030575,-4.1084809499798896,-3.8941461995739344,-3.9752816732433747,-3.8818848461846787,-3.8868556135531933,-4.02931424170107,-3.836384087761042,-3.8520997816024147,-3.941523944275449,-4.141324494407593,-4.136073597887655,-4.12544752887716,-4.12789167889085,-4.306696176778836,-3.9478147309627056,-4.009468169377301,-4.004478364877137,-3.6170607168175746,-4.144851371730862,-4.4568766924696765,10
-4.148953073618484,-3.673254824906797,-3.8097706877655497,-4.348409190881665,-4.10867913099903,-3.8942171656629148,-3.9757246507025696,-3.881211597486039,-3.8859391768648637,-4.0309926796231945,-3.8372809816803692,-3.853223484679215,-3.943293648932561,-4.139899707702193,-4.135092059409737,-4.12567254995809,-4.126776712956298,-4.308616964416741,-3.951666567577731,-4.0087303761612425,-4.006297563457293,-3.616170535084283,-4.143445073864415,-4.452605684417903,11
-4.146297842134699,-3.676459232659413,-3.8127305156219733,-4.34929236483789,-4.109217050908125,-3.894409787904433,-3.9769270180918133,-3.879384208161158,-3.8834517058536826,-4.03554843969753,-3.839715408032828,-3.8562735358876727,-3.9480971330018644,-4.136032429501821,-4.132427883541105,-4.126283321463471,-4.123750376848226,-4.313830530862485,-3.9621215526756566,-4.0067277945748,-4.011235388174861,-3.61375432752249,-4.139627979655489,-4.441012948277375,12
-4.142384869421753,-3.6811815177685308,-3.8170923671998604,-4.350593884352323,-4.110009774984684,-3.8946936522603535,-3.978698927928592,-3.8766912133665974,-3.8797859591003623,-4.042262191386024,-3.843302983710136,-3.860768348194873,-3.955175951630311,-4.13033328268022,-4.128501729629436,-4.127183405787188,-4.119290513110014,-4.321513681414107,-3.977528899135757,-4.003776621710569,-4.018512182495486,-3.610193600589322,-4.134002788189703,-4.423928916070279,13
-4.137633402556032,-3.6869157211153167,-3.8223889012587233,-4.352174300905565,-4.110972368506222,-3.8950383446925434,-3.980850532730395,-3.8734211482589167,-3.8753346951856176,-4.050414604150626,-3.8476593256040097,-3.8662263345679024,-3.9637716599648534,-4.123412890111133,-4.123734257022409,-4.128276365323133,-4.113874964285044,-4.330843221369648,-3.996237819837307,-4.000193054661144,-4.0273482898848165,-3.605869860741904,-4.1271721985526755,-4.4031840198188075,14
-4.132462688613925,-3.693155883580937,-3.828152776558074,-4.35389416597821,-4.112019896750249,-3.8954134511628675,-3.983191985014711,-3.8698625479946758,-3.8704906726901593,-4.0592863474532805,-3.852400050606167,-3.872165907973846,-3.973125813152444,-4.115881874668303,-4.118546125067704,-4.129465762465189,-4.107981572916693,-4.3409959560271485,-4.0165975276595836,-3.996293290519125,-4.0369640538085,-3.6011646144373604,-4.119738909830028,-4.380608691545146,15
-4.127291974671817,-3.699396046046557,-3.8339166518574253,-4.355614031050855,-4.113067424994275,-3.8957885576331917,-3.9855334372990265,-3.866303947730435,-3.8656466501947016,-4.068158090755936,-3.857140775608324,-3.8781054813797895,-3.9824799663400343,-4.108350859225474,-4.1133579931129995,-4.1306551596072465,-4.102088181548343,-4.351148690684648,-4.036957235481859,-3.9923935263771044,-4.046579817732184,-3.596459368132817,-4.112305621107382,-4.358033363271485,16
-4.122540507806097,-3.7051302493933433,-3.839213185916288,-4.357194447604098,-4.1140300185158125,-3.896133250065382,-3.9876850421008303,-3.863033882622754,-3.8611953862799564,-4.076310503520537,-3.8614971175021986,-3.8835634677528192,-3.9910756746745775,-4.101430466656387,-4.108590520505973,-4.131748119143191,-4.096672632723372,-4.36047823064019,-4.055666156183411,-3.988809959327681,-4.0554159251215145,-3.592135628285399,-4.105475031470355,-4.337288467020013,17
-4.118627535093151,-3.709852534502461,-3.8435750374941753,-4.3584959671185315,-4.114822742592374,-3.896417114421303,-3.9894569519376093,-3.860340887828193,-3.857529639526637,-4.083024255209033,-3.865084693179507,-3.8880582800600196,-3.998154493303024,-4.095731319834786,-4.104664366594304,-4.13264820346691,-4.092212768985162,-4.368161381191812,-4.071073502643511,-3.9858587864634494,-4.06269271944214,-3.5885749013522314,-4.099849840004569,-4.3202044348129185,18
-4.115972303609365,-3.7130569422550765,-3.8465348653505984,-4.359379141074755,-4.115360662501469,-3.8966097366628203,-3.990659319326852,-3.8585134985033127,-3.8550421685154554,-4.087580015283368,-3.867519119531966,-3.891108331268477,-4.002957977372327,-4.091864041634413,-4.102000190725672,-4.13325897497229,-4.0891864328770895,-4.373374947637555,-4.081528487741436,-3.9838562048770063,-4.067630544159707,-3.5861586937904386,-4.096032745795642,-4.308611698672389,19
-4.114994060431129,-3.714237513532356,-3.84762532824507,-4.359704520953363,-4.115558843520608,-3.8966807027518007,-3.991102296786047,-3.8578402498046724,-3.8541257318271254,-4.089258453205492,-3.8684160134512924,-3.892232034345277,-4.004727682029439,-4.090439254929013,-4.101018652247754,-4.1334839960532195,-4.088071466942536,-4.3752957352754605,-4.0853803243564615,-3.9831184116609486,-4.069449742739863,-3.5852685120571466,-4.094626447929195,-4.304340690620616,20
-4.119526036337898,-3.7122332576848596,-3.841722171959404,-4.411715279305397,-4.156995511509099,-3.891827032641199,-3.983330161231229,-3.85547276943848,-3.8521545773888075,-4.140925652771557,-3.867661695977781,-3.8911195367196085,-4.068445712380859,-4.122080597596353,-4.0906022380704075,-4.126630381289859,-4.086076011151066,-4.432253956903827,-4.127268590441765,-3.978201459351099,-4.066428006496695,-3.585465366094442,-4.087220676216471,-4.362503103854634,21
-4.131827113799128,-3.7067931346702263,-3.8256993191840243,-4.552887337689486,-4.269466467477859,-3.878652785198136,-3.9622343647252944,-3.84904675130167,-3.84680430105623,-4.281165194450876,-3.865614262835393,-3.888099900307079,-4.241394651906143,-4.207964241979133,-4.06232911387475,-4.108027712646449,-4.080659774002787,-4.586854844180818,-4.240965312673301,-3.9648554459386505,-4.058226150979523,-3.5859996841956727,-4.0671192958533595,-4.520372511204109,22
-4.149955017426204,-3.6987761112802415,-3.8020866940413596,-4.7609303710976185,-4.43521313943182,-3.859238104755729,-3.931145822506023,-3.8395768298368984,-3.8389196833029584,-4.487833992715136,-3.8625969929413477,-3.8836499098044044,-4.496266773311823,-4.334529612648493,-4.0206634571653614,-4.080613253593005,-4.072677950836904,-4.814687730694281,-4.408518377014513,-3.945187636699253,-4.04613920600685,-3.5867871003448553,-4.037496209002461,-4.753022164140178,23
-4.17196747183051,-3.6890411543066874,-3.773414220653838,-5.013554054521781,-4.636476955375918,-3.8356631356470903,-3.8933954498111927,-3.8280776394868186,-3.829345504602556,-4.738788962036024,-3.858933165212864,-3.8782463499082995,-4.805754349304437,-4.488216134175573,-3.9700694454468177,-4.047324267599537,-4.0629857369926174,-5.091341950032059,-4.611975669428842,-3.9213052969085553,-4.031462201397176,-3.5877432485260052,-4.001525317826367,-5.035525314133979,24
-4.195922201623432,-3.6784472305413494,-3.742211823143888,-5.288468062953955,-4.855499343315081,-3.810008022205337,-3.852314161878583,-3.8155638146940842,-3.8189265454285897,-5.011887016885224,-3.85494605856716,-3.872366005315479,-5.142549652590514,-4.655463231131512,-3.9150112562236967,-4.011098018136056,-4.052438327809128,-5.3924068357819905,-4.833385075879729,-3.8953156918422076,-4.015490166968999,-3.5887837627231383,-3.9623805244876786,-5.342955212656642,25
-4.219876931416354,-3.6678533067760113,-3.711009425633938,-5.563382071386131,-5.074521731254245,-3.7843529087635837,-3.811232873945974,-3.80304998990135,-3.808507586254623,-5.2849850717344236,-3.8509589519214567,-3.866485660722659,-5.479344955876593,-4.822710328087452,-3.8599530670005757,-3.974871768672575,-4.041890918625639,-5.693471721531924,-5.054794482330617,-3.8693260867758603,-3.9995181325408238,-3.589824276920272,-3.9232357311489894,-5.650385111179307,26
-4.24188938582066,-3.658118349802458,-3.682336952246416,-5.816005754810293,-5.275785547198343,-3.7607779396549454,-3.7734825012511446,-3.7915507995512705,-3.798933407554222,-5.535940041055311,-3.8472951241929736,-3.8610821008265543,-5.788832531869206,-4.976396849614533,-3.8093590552820324,-3.9415827826791068,-4.032198704781352,-5.9701259408697,-5.258251774744946,-3.845443746985163,-3.9848411279311495,-3.590780425101422,-3.8872648399728975,-5.932888261173106,27
