C1,C2,C3,C4,C5,C6,time
-5.833697483382527,-4.277843386502286,-5.012156588948999,-5.288197505859168,-4.152922503027963,-3.6022373937580663,10
-5.827171971858384,-4.251560962096853,-4.990501513893819,-5.270169967630608,-4.135110133389853,-3.6034346538282533,11
-5.821187319783963,-4.223447623325023,-4.97086448472204,-5.254066469364993,-4.119214845763059,-3.6046683805300663,12
-5.815743527159263,-4.193503370186796,-4.953245501433663,-5.239887011062327,-4.105236640147578,-3.605938573863505,13
-5.810840593984286,-4.161728202682172,-4.937644564028691,-5.227631592722607,-4.093175516543415,-3.6072452338285705,14
-5.806478520259032,-4.128122120811152,-4.924061672507125,-5.2173002143458325,-4.083031474950564,-3.6085883604252613,15
-5.8026573059835,-4.092685124573733,-4.912496826868965,-5.208892875932007,-4.07480451536903,-3.609967953653579,16
-5.79937695115769,-4.055417213969919,-4.902950027114215,-5.202409577481126,-4.068494637798812,-3.611384013513522,17
-5.796637455781604,-4.016318388999707,-4.895421273242875,-5.197850318993193,-4.064101842239908,-3.6128365400050915,18
-5.794438819855241,-3.9753886496630986,-4.889910565254946,-5.1952151004682054,-4.061626128692319,-3.6143255331282873,19
-5.7927810433786,-3.9326279959600923,-4.8864179031504325,-5.194503921906164,-4.0610674971560465,-3.6158509928831095,20
-5.793440165786615,-3.887905942495598,-4.887861414750763,-5.194166630212069,-4.062393659004991,-3.616422003239723,21
-5.797402875654248,-3.8411499973834533,-4.895862282178953,-5.193342029222028,-4.065586676113545,-3.615488055292665,22
-5.803485146691543,-3.792447150887053,-4.908475086887382,-5.193063554332712,-4.070668074232439,-3.613709759728491,23
-5.810502952608545,-3.7418843932697907,-4.923754410328424,-5.194364640940785,-4.077659379112404,-3.6117477272337575,24
-5.8172722671153005,-3.689548714795062,-4.939754833954458,-5.198278724442917,-4.086582116504173,-3.610262568495021,25
-5.822609063921853,-3.635527105726259,-4.954530939217861,-5.205839240235775,-4.097457812158475,-3.609914894198838,26
-5.825329316738249,-3.579906556326778,-4.96613730757101,-5.218079623716026,-4.110307991826042,-3.6113653150317657,27
-5.824248999274534,-3.5227740568600105,-4.972628520466284,-5.2360333102803365,-4.125154181257606,-3.615274441680359,28
-5.818184085240754,-3.464216597589353,-4.972059159356058,-5.260733735325376,-4.142017906203899,-3.622302884831176,29
-5.805950548346952,-3.404321168778199,-4.9624838056927105,-5.29321433424781,-4.160920692415649,-3.633111255170771,30
-5.792164188214392,-3.3346124202201914,-4.947748508617639,-5.338546226779904,-4.177970454321589,-3.648373965217649,31
-5.780617217081507,-3.250291611897909,-4.932007433184713,-5.398474990880074,-4.190982599159141,-3.667780610844178,32
-5.768890227584096,-3.1569606493581484,-4.913777334715009,-5.469045749284221,-4.202539891892081,-3.690514577767714,33
-5.754563812357961,-3.060221438147707,-4.891574968529609,-5.546303624728241,-4.215225097484183,-3.7157592517056135,34
-5.735218564038898,-2.9656758838133794,-4.863917089949594,-5.626293739948028,-4.231620980899219,-3.742698018375229,35
-5.708435075262707,-2.878925891901963,-4.829320454296045,-5.705061217679483,-4.254310307100965,-3.7705142634939195,36
-5.671793938665187,-2.8055733679602537,-4.786301816890042,-5.7786511806585015,-4.285875841053197,-3.798391372779039,37
-5.6228757468821415,-2.751220217535049,-4.7333779330526635,-5.843108751620982,-4.328900347719687,-3.825512731947943,38
-5.559261092549365,-2.7214683461731446,-4.669065558104992,-5.894479053302821,-4.385966592064209,-3.8510617267179863,39
-5.478530568302659,-2.7219196594213377,-4.591881447368106,-5.928807208439916,-4.459657339050539,-3.874221742806526,40
-5.372018529686894,-2.7586815018814086,-4.49286459663438,-5.946114653292652,-4.557819053419192,-3.8961271982252206,41
-5.237419744826904,-2.8293374592465574,-4.3685748498999315,-5.950514651094382,-4.6821324593228395,-3.9182551844588445,42
-5.081855425228448,-2.926703798700711,-4.225810234791473,-5.944190065040468,-4.8259317108434825,-3.9403030974344286,43
-4.912446782397281,-3.043596787427794,-4.071368778935715,-5.929323758326264,-4.982550962063125,-3.9619683330790023,44
-4.7363150278391535,-3.1728326926117325,-3.912048509959359,-5.908098594147126,-5.14532436706377,-3.9829482873195943,45
-4.560581373059823,-3.3072277814364526,-3.7546474554891165,-5.882697435698412,-5.30758607992742,-4.002940356083236,46
-4.39236702956504,-3.4395983210858803,-3.6059636431516933,-5.855303146175476,-5.462670254736081,-4.021641935296957,47
-4.238793208860562,-3.5627605787439416,-3.4727951005737983,-5.828098588773679,-5.603911045571754,-4.038750420887787,48
-4.106981122452145,-3.66953082159456,-3.3619398553821402,-5.803266626688375,-5.724642606516441,-4.053963208782755,49
-4.0040519818455405,-3.752725316821663,-3.2801959352034267,-5.782990123114921,-5.818199091652148,-4.066977694908893,50
-3.9275521129479727,-3.8193532570070214,-3.2279476178250293,-5.770246743570662,-5.891866257208944,-4.0773090292456455,51
-3.8687334034056367,-3.880758435023842,-3.1983585844789015,-5.764427036695978,-5.95660447463701,-4.085001662301714,52
-3.825275407332742,-3.93625901849321,-3.1873959679586266,-5.7623331903707715,-6.011259820848522,-4.090546940798005,53
-3.7948576788434965,-3.9851731750362083,-3.191026901057783,-5.76076739247495,-6.054678372755655,-4.094436211455426,54
-3.7751597720521106,-4.026819072273919,-3.205218516569952,-5.756531830888414,-6.085706207270582,-4.097160820994882,55
-3.763861241072793,-4.060514877827426,-3.2259379472887155,-5.746428693491071,-6.103189401305477,-4.099212116137285,56
-3.7586416400197535,-4.085578759317815,-3.249152326007651,-5.7272601681628235,-6.105974031772514,-4.101081443603539,57
-3.7571805230072015,-4.101328884366166,-3.270828785520343,-5.695828442783576,-6.092906175583868,-4.103260150114553,58
-3.7571574441493456,-4.107083420593565,-3.2869344586203697,-5.648935705233235,-6.062831909651713,-4.106239582391234,59
-3.756251957560395,-4.102160535621094,-3.293436478101312,-5.583384143391704,-6.014597310888222,-4.11051108715449,60
-3.759266277454256,-4.076144991813015,-3.293718280639128,-5.493312970285149,-5.938920832033684,-4.11646226537086,61
-3.7712746889424342,-4.023957631468351,-3.293841785934522,-5.378782442756352,-5.831842718923783,-4.123798906163035,62
-3.7903648524855456,-3.952920742110323,-3.2937918513182023,-5.245476314410146,-5.7001917381137845,-4.131989638486153,63
-3.814624428544203,-3.870356611262159,-3.2935533341208756,-5.099078338851365,-5.5507966561589575,-4.1405030912953515,64
-3.8421410775790203,-3.7835875264470786,-3.2931110916732473,-4.9452722696848355,-5.390486239614566,-4.148807893545762,65
-3.8710024600506125,-3.699935775188307,-3.2924499813060244,-4.789741860515391,-5.226089255035876,-4.156372674192523,66
-3.899296236419591,-3.626723645009067,-3.291554860349912,-4.638170864947864,-5.064434468978156,-4.162666062190772,67
-3.925110067146572,-3.571273423432583,-3.2904105861356174,-4.496243036587083,-4.912350647996672,-4.167156686495642,68
-3.946531612692169,-3.5409073979820787,-3.289002015993848,-4.369642129037883,-4.776666558646691,-4.169313176062271,69
-3.9616485335169944,-3.5429478561807763,-3.2873140072553086,-4.264051895905095,-4.664210967483481,-4.168604159845794,70
-3.9718268026079833,-3.584417114058321,-3.2849833070603274,-4.175909054261431,-4.570297998141446,-4.164007086433066,71
-3.9798084607764954,-3.6616229749404305,-3.2818238117735383,-4.097339739483018,-4.485242702137947,-4.155504923159605,72
-3.985745270219793,-3.7658159572944405,-3.278086102562108,-4.027561832629808,-4.408375237852674,-4.144074577103545,73
